panel,kind,stage,condition,proposed,baseline,proposed_nmae,baseline_nmae,gain_pct,ci_low,ci_high,bonf4_low,bonf4_high,seed_gains,primary_family
electricity,standard,selected,POINT8,MAG_ONLY,DELTA_XY_DEFAULT,0.16919802103330317,0.17139063156655215,1.2793059417588903,0.6435783091149649,1.9399497411768711,0.5083240500180118,2.095849667781097,"{""81551"": 0.41534116735707505, ""81552"": 2.1376239602643787}",False
electricity,standard,selected,POINT8,MAG_ONLY,B0,0.16919802103330317,0.1687854486149175,-0.24443601138088855,-0.4812840321623246,-0.0026441375167697194,-0.5457147665423225,0.060747698901386135,"{""81551"": -0.20652840269623773, ""81552"": -0.28278780226609346}",False
electricity,standard,selected,POINT8,MAG_ONLY,PLAIN,0.16919802103330317,0.168922657420961,-0.16301165074379398,-0.2941671797558798,-0.02171334835092246,-0.3274719523693495,0.015078875304758587,"{""81551"": -0.15327779949212417, ""81552"": -0.17285399299844517}",False
electricity,standard,selected,REFERENCE,C3,DELTA_XY_BUDGET,0.1668529712937166,0.16856747234038716,1.0171007626005535,0.6630882289579937,1.3845204164032943,0.5884460793381254,1.4593213359343538,"{""81551"": 1.3989764585374598, ""81552"": 0.6290410063314433}",False
electricity,standard,selected,REFERENCE,C3,DELTA_XY_DEFAULT,0.1668529712937166,0.16938284342493132,1.493582277909944,0.8399671208900733,2.2163058144542003,0.6649563748092631,2.3915586677066387,"{""81551"": 0.624553780662418, ""81552"": 2.354586546752091}",False
electricity,standard,selected,REFERENCE,C3,B0,0.1668529712937166,0.1665240673577794,-0.19751135145560372,-0.4284435723723329,0.0344395819880802,-0.48767909243488683,0.08863102496016492,"{""81551"": -0.19609672003335632, ""81552"": -0.19893779354380747}",False
electricity,standard,selected,REFERENCE,C3,PLAIN,0.1668529712937166,0.16661426404841104,-0.14326939333129118,-0.2545918029556071,-0.027191269535802372,-0.27755939589836326,0.0035222657212482865,"{""81551"": -0.1842549849252917, ""81552"": -0.10197672778886613}",False
electricity,standard,selected,REFERENCE,MAG_ONLY,DELTA_XY_BUDGET,0.16688962836409063,0.16856747234038716,0.9953545325212421,0.6382095144562114,1.3619518394749468,0.555450747710312,1.4455742205519126,"{""81551"": 1.4105205534604925, ""81552"": 0.573465350750646}",False
electricity,standard,selected,REFERENCE,MAG_ONLY,DELTA_XY_DEFAULT,0.16688962836409063,0.16938284342493132,1.4719407293133924,0.7997204430601904,2.2040775516275173,0.6379881502275393,2.3752702408017994,"{""81551"": 0.6361885441057424, ""81552"": 2.299975945002053}",False
electricity,standard,selected,REFERENCE,MAG_ONLY,B0,0.16688962836409063,0.1665240673577794,-0.21952442797703586,-0.4505349091079569,0.016047781021505503,-0.5126728158042114,0.07142868082191957,"{""81551"": -0.18436587576917685, ""81552"": -0.2549765166553586}",False
electricity,standard,selected,REFERENCE,MAG_ONLY,PLAIN,0.16688962836409063,0.16661426404841104,-0.16527055306596594,-0.2890691966401554,-0.03139096758798977,-0.320020931720059,0.0015367396499525554,"{""81551"": -0.1725255270779158, ""81552"": -0.15796122303697313}",False
electricity,standard,selected,SHIFT4,C3,DELTA_XY_BUDGET,0.1891298565410685,0.19123957692466698,1.103181892328453,0.7718638112645713,1.4647448533204244,0.6912817445913009,1.5864255197386012,"{""81551"": 1.2148586736472566, ""81552"": 0.9908084532484596}",False
electricity,standard,selected,SHIFT4,C3,DELTA_XY_DEFAULT,0.1891298565410685,0.19394532868337083,2.4829018440366335,1.8165928811683747,3.2168870781754264,1.6319216699174917,3.3787537725283734,"{""81551"": 1.6756818314065058, ""81552"": 3.2800953124010768}",False
electricity,standard,selected,SHIFT4,C3,B0,0.1891298565410685,0.1913074833711303,1.1382862769864888,0.850041785678283,1.4940657053368545,0.7869864453416476,1.6140876733095493,"{""81551"": 1.5439025243531357, ""81552"": 0.7276873980603282}",False
electricity,standard,selected,SHIFT4,C3,PLAIN,0.1891298565410685,0.1890930825942609,-0.019447536791461495,-0.2808324865099754,0.2574925278303687,-0.3487509281079702,0.31901437325444965,"{""81551"": -0.11878647199161652, ""81552"": 0.08008678616836518}",False
electricity,standard,selected,SHIFT4,MAG_ONLY,DELTA_XY_BUDGET,0.1891601232133997,0.19123957692466698,1.0873553187614626,0.7168451930936074,1.4764704771859167,0.6505031177183326,1.5695008747351562,"{""81551"": 1.2088939671749732, ""81552"": 0.9650584926704009}",False
electricity,standard,selected,SHIFT4,MAG_ONLY,DELTA_XY_DEFAULT,0.1891601232133997,0.19394532868337083,2.4672960686685674,1.7642168671078586,3.211626930525877,1.5833421871893492,3.404140708430122,"{""81551"": 1.669744949714691, ""81552"": 3.2549407414575904}",False
electricity,standard,selected,SHIFT4,MAG_ONLY,B0,0.1891601232133997,0.1913074833711303,1.1224653212152602,0.8158143154021289,1.4594688643599791,0.7599584785328791,1.581039921925619,"{""81551"": 1.5379576857472044, ""81552"": 0.7018690058882671}",False
electricity,standard,selected,SHIFT4,MAG_ONLY,PLAIN,0.1891601232133997,0.1890930825942609,-0.03545376606011175,-0.3505164108585501,0.2950758511700534,-0.4400494136588982,0.381271976331671,"{""81551"": -0.12483170476293992, ""81552"": 0.05409996831817754}",False
electricity,standard,selected,SHIFT8,C3,DELTA_XY_BUDGET,0.20170921753328036,0.20744958913021155,2.7671163972892154,2.146003028703319,3.4962908762446885,1.9458663891643448,3.6582683875415607,"{""81551"": 2.354657249799774, ""81552"": 3.174154242030358}",False
electricity,standard,selected,SHIFT8,C3,DELTA_XY_DEFAULT,0.20170921753328036,0.20968454196306366,3.803487064481925,3.0134259794933484,4.680887554644679,2.8204819329932516,4.971754364623553,"{""81551"": 2.9232423933999385, ""81552"": 4.663807091241723}",False
electricity,standard,selected,SHIFT8,C3,B0,0.20170921753328036,0.21003227646690217,3.962752331989028,3.2324660479982232,4.815888545158995,3.0544760046164043,5.084185189300136,"{""81551"": 3.4115530898322644, ""81552"": 4.505099894864717}",False
electricity,standard,selected,SHIFT8,C3,PLAIN,0.20170921753328036,0.20440405615988777,1.3183880384934565,0.9523989213514836,1.7189945817356755,0.8475551192902415,1.8429286360667283,"{""81551"": 0.21547089682657505, ""81552"": 2.392077838931772}",False
electricity,standard,selected,SHIFT8,MAG_ONLY,DELTA_XY_BUDGET,0.20142407913574514,0.20744958913021155,2.904565885008492,2.2752537882973436,3.6445763420203154,2.076586590936921,3.8145009708507844,"{""81551"": 2.4256070450493827, ""81552"": 3.377229359981271}",False
electricity,standard,selected,SHIFT8,MAG_ONLY,DELTA_XY_DEFAULT,0.20142407913574514,0.20968454196306366,3.9394715270778535,3.137362892034051,4.837186751087521,2.9314597669483953,5.133373061576454,"{""81551"": 2.993779050670986, ""81552"": 4.863757925323064}",False
electricity,standard,selected,SHIFT8,MAG_ONLY,B0,0.20142407913574514,0.21003227646690217,4.098511655428139,3.3378715155730556,4.96801399587451,3.1570848634649518,5.245138064791736,"{""81551"": 3.4817349371046413, ""81552"": 4.705383589272472}",False
electricity,standard,selected,SHIFT8,MAG_ONLY,PLAIN,0.20142407913574514,0.20440405615988777,1.4578854647637973,1.045113207066923,1.9028938931837982,0.9283850917756127,2.036652793952077,"{""81551"": 0.2879750399792158, ""81552"": 2.596793224071292}",False
electricity,standard,selected,SHIFT_POINT,C3,DELTA_XY_BUDGET,0.19343185599964854,0.19593725171649573,1.2786724805512129,0.8835993844252404,1.6701793863072292,0.7559101057661931,1.7826290671645735,"{""81551"": 1.526810017682645, ""81552"": 1.0260820055137287}",False
electricity,standard,selected,SHIFT_POINT,C3,DELTA_XY_DEFAULT,0.19343185599964854,0.19909208160918584,2.84301895072262,2.2314398553188646,3.430039082065585,2.085709080069099,3.526063066253887,"{""81551"": 1.8699209443680864, ""81552"": 3.809092524651758}",False
electricity,standard,selected,SHIFT_POINT,C3,B0,0.19343185599964854,0.19622145590940776,1.4216589601940055,1.118215082062597,1.7350461729082614,1.0565083165563254,1.840232976733394,"{""81551"": 1.9158035251249261, ""81552"": 0.9160906262326574}",False
electricity,standard,selected,SHIFT_POINT,C3,PLAIN,0.19343185599964854,0.19354566144187224,0.05880030654051849,-0.1738245058370108,0.292736301282373,-0.2226103958643673,0.35081371987833687,"{""81551"": 0.013332320375225581, ""81552"": 0.10480794663974002}",False
