source,layer,arm,rank,holdout_direction_inner,holdout_direction_cosine,direction_defined,update_squared_norm,holdout_gradient_squared_norm,calibration_projection_energy,min_eigenvalue,eighth_eigenvalue,positive_eigenvalues
electricity,encoder.block.3.layer.0.SelfAttention.q,RANDOM_ORTHO,8,-4.829405393511195e-09,-0.004205437036678486,True,1.0088277634399662e-07,1.3072180307849273e-05,1.0088277634399662e-07,,,
electricity,encoder.block.3.layer.0.SelfAttention.q,MEAN_SVD,8,-4.5222838735272225e-07,-0.0556287164845048,True,5.055563062792738e-06,1.3072180307849273e-05,5.055563062792738e-06,-1.4276251627874363e-23,2.334673635158306e-07,500.0
electricity,encoder.block.3.layer.0.SelfAttention.q,SECOND_MOMENT,8,-5.713661847696503e-07,-0.07619629349954629,True,4.301434818927741e-06,1.3072180307849273e-05,4.301434818927743e-06,6.144753429648468e-22,2.412953535212133e-06,512.0
electricity,encoder.block.3.layer.0.SelfAttention.q,CROSS_BLOCK,8,-5.074683763694899e-07,-0.06480690715660734,True,4.690588630443517e-06,1.3072180307849273e-05,4.690588630443518e-06,-2.708726179088945e-07,1.0532468533048316e-07,96.0
electricity,encoder.block.3.layer.0.SelfAttention.q,FULL_GRADIENT,512,-4.5784367770045435e-07,-0.04869551596102825,True,6.762518554210366e-06,1.3072180307849273e-05,6.762518554210366e-06,,,
electricity,encoder.block.3.layer.0.SelfAttention.v,RANDOM_ORTHO,8,3.082721938042616e-07,0.021350103450699768,True,1.6952864293275873e-06,0.00012297749805170282,1.6952864293275873e-06,,,
electricity,encoder.block.3.layer.0.SelfAttention.v,MEAN_SVD,8,1.1044408601332522e-05,0.12298186376558837,True,6.558086445746794e-05,0.00012297749805170282,6.558086445746794e-05,-2.319484836032607e-22,2.586608996677337e-06,509.0
electricity,encoder.block.3.layer.0.SelfAttention.v,SECOND_MOMENT,8,1.0321692451742848e-05,0.11937252021744038,True,6.079494223943143e-05,0.00012297749805170282,6.0794942239431465e-05,2.7293179170946666e-20,2.3698470336054906e-05,512.0
electricity,encoder.block.3.layer.0.SelfAttention.v,CROSS_BLOCK,8,9.89212796975294e-06,0.11557799873780501,True,5.956668867411868e-05,0.00012297749805170282,5.956668867411868e-05,-1.8579998764788798e-06,1.1241396017605976e-06,131.0
electricity,encoder.block.3.layer.0.SelfAttention.v,FULL_GRADIENT,512,1.122040997807122e-05,0.10650969867974001,True,9.024299205916275e-05,0.00012297749805170282,9.024299205916275e-05,,,
electricity,encoder.block.4.layer.0.SelfAttention.q,RANDOM_ORTHO,8,1.6668618728329938e-08,0.007671871929750353,True,2.1028159669477954e-07,2.2448910626967626e-05,2.1028159669477954e-07,,,
electricity,encoder.block.4.layer.0.SelfAttention.q,MEAN_SVD,8,7.891888978757663e-07,0.055779218313145376,True,8.917062602063591e-06,2.2448910626967626e-05,8.917062602063593e-06,-1.3326247697042143e-22,5.373246126175041e-07,495.0
electricity,encoder.block.4.layer.0.SelfAttention.q,SECOND_MOMENT,8,7.270328213313786e-07,0.0554383533285973,True,7.66111743073604e-06,2.2448910626967626e-05,7.661117430736032e-06,3.7812254529997535e-21,4.911858676664685e-06,512.0
electricity,encoder.block.4.layer.0.SelfAttention.q,CROSS_BLOCK,8,6.459560453700434e-07,0.050915198412150676,True,7.169944305004324e-06,2.2448910626967626e-05,7.169944305004318e-06,-8.042670317998074e-07,2.2093139597237216e-07,113.0
electricity,encoder.block.4.layer.0.SelfAttention.q,FULL_GRADIENT,512,1.1396299449544793e-06,0.06533839737258573,True,1.3551753013911731e-05,2.2448910626967626e-05,1.3551753013911731e-05,,,
electricity,encoder.block.4.layer.0.SelfAttention.v,RANDOM_ORTHO,8,3.1110207686521016e-07,0.01267918592116428,True,2.5715848301382607e-06,0.00023411121844709942,2.571584830138261e-06,,,
electricity,encoder.block.4.layer.0.SelfAttention.v,MEAN_SVD,8,2.2808776657032675e-05,0.12930577972701635,True,0.00013290639708923825,0.00023411121844709942,0.00013290639708923835,-7.118837793252625e-23,4.943252763650261e-06,508.0
electricity,encoder.block.4.layer.0.SelfAttention.v,SECOND_MOMENT,8,2.3027130052867294e-05,0.1354945219866806,True,0.0001233712394816642,0.00023411121844709942,0.0001233712394816643,-6.148794202134375e-20,5.044756608296164e-05,511.0
electricity,encoder.block.4.layer.0.SelfAttention.v,CROSS_BLOCK,8,1.8849169625063177e-05,0.11204406999620117,True,0.00012088835496240878,0.00023411121844709942,0.00012088835496240886,-4.504610726547122e-06,2.059218077480273e-06,141.0
electricity,encoder.block.4.layer.0.SelfAttention.v,FULL_GRADIENT,512,2.7535230810453324e-05,0.1299853949634449,True,0.00019167527761963075,0.00023411121844709942,0.00019167527761963075,,,
electricity,encoder.block.5.layer.0.SelfAttention.q,RANDOM_ORTHO,8,8.691737108841026e-10,0.0002052723998643043,True,3.0679021165853813e-07,5.8440045547606325e-05,3.067902116585381e-07,,,
electricity,encoder.block.5.layer.0.SelfAttention.q,MEAN_SVD,8,-3.098893956395563e-07,-0.010730347021039054,True,1.4271688222546467e-05,5.8440045547606325e-05,1.4271688222546462e-05,-1.8466662423776544e-22,7.286032181467914e-07,492.0
electricity,encoder.block.5.layer.0.SelfAttention.q,SECOND_MOMENT,8,-4.4657561574726866e-07,-0.017012291518488803,True,1.1791086721399145e-05,5.8440045547606325e-05,1.1791086721399147e-05,1.1961170864555682e-20,6.872226979590675e-06,512.0
electricity,encoder.block.5.layer.0.SelfAttention.q,CROSS_BLOCK,8,-1.6178187179488186e-07,-0.005900200171086431,True,1.28651742931711e-05,5.8440045547606325e-05,1.286517429317109e-05,-6.495119894632314e-07,3.264985043126884e-07,119.0
electricity,encoder.block.5.layer.0.SelfAttention.q,FULL_GRADIENT,512,-6.479384086476517e-07,-0.01795445153640362,True,2.2284998951291826e-05,5.8440045547606325e-05,2.2284998951291826e-05,,,
electricity,encoder.block.5.layer.0.SelfAttention.v,RANDOM_ORTHO,8,9.564559926529486e-07,0.02013667064142517,True,5.216659195788501e-06,0.000432476174177419,5.2166591957885e-06,,,
electricity,encoder.block.5.layer.0.SelfAttention.v,MEAN_SVD,8,5.6849946374622064e-05,0.17672541265533487,True,0.00023927643166649575,0.000432476174177419,0.00023927643166649578,-3.973228466754527e-22,8.493298375024464e-06,509.0
electricity,encoder.block.5.layer.0.SelfAttention.v,SECOND_MOMENT,8,4.73753596062634e-05,0.16462598467906492,True,0.000191489992151318,0.000432476174177419,0.00019148999215131795,1.643676517889742e-19,0.00011454896665874593,512.0
electricity,encoder.block.5.layer.0.SelfAttention.v,CROSS_BLOCK,8,5.045987940964365e-05,0.165325984023701,True,0.0002154011400235913,0.000432476174177419,0.00021540114002359156,-2.287805821729067e-05,3.4557454387130773e-06,140.0
electricity,encoder.block.5.layer.0.SelfAttention.v,FULL_GRADIENT,512,6.524339023036174e-05,0.17104628204123568,True,0.0003364213712525536,0.000432476174177419,0.0003364213712525536,,,
electricity,decoder.block.0.layer.0.SelfAttention.q,RANDOM_ORTHO,8,0.0,,False,0.0,0.0,0.0,,,
electricity,decoder.block.0.layer.0.SelfAttention.q,MEAN_SVD,8,0.0,,False,0.0,0.0,0.0,0.0,0.0,0.0
electricity,decoder.block.0.layer.0.SelfAttention.q,SECOND_MOMENT,8,0.0,,False,0.0,0.0,0.0,0.0,0.0,0.0
electricity,decoder.block.0.layer.0.SelfAttention.q,CROSS_BLOCK,8,0.0,,False,0.0,0.0,0.0,0.0,0.0,0.0
electricity,decoder.block.0.layer.0.SelfAttention.q,FULL_GRADIENT,512,0.0,,False,0.0,0.0,0.0,,,
electricity,decoder.block.0.layer.0.SelfAttention.v,RANDOM_ORTHO,8,-6.82933703686998e-10,-0.017762996772771024,True,1.9793817964668585e-09,7.467840726774518e-07,1.9793817964668577e-09,,,
