panel,baseline,q,w,absolute_nmae_benefit
electricity,C0,1.0,0.08,-5.907596674991191e-05
electricity,C0,1.0,0.09,1.387850915701087e-05
electricity,C0,1.0,0.1,8.683298506393386e-05
electricity,C0,1.0,0.11,0.00015978746097085664
electricity,C0,1.0,0.12,0.00023274193687777942
electricity,C0,1.0,0.13,0.0003056964127847023
electricity,C0,1.0,0.14,0.0003786508886916252
electricity,C0,1.0,0.15,0.00045160536459854786
electricity,C0,1.0,0.16,0.0005245598405054707
electricity,C0,1.0,0.17,0.0005975143164123937
electricity,C0,1.0,0.18,0.0006704687923193163
electricity,C0,1.0,0.19,0.0007434232682262392
electricity,C0,1.0,0.2,0.0008163777441331623
electricity,C0,1.0,0.21,0.0008893322200400848
electricity,C0,1.0,0.22,0.0009622866959470077
electricity,C0,1.0,0.23,0.0010352411718539305
electricity,C0,1.0,0.24,0.0011081956477608534
electricity,C0,1.0,0.25,0.0011811501236677763
electricity,C0,1.0,0.26,0.0012541045995746992
electricity,C0,1.0,0.27,0.001327059075481622
electricity,C0,1.0,0.28,0.001400013551388545
electricity,C0,1.0,0.29,0.0014729680272954674
electricity,C0,1.0,0.3,0.0015459225032023903
electricity,C0,1.0,0.31,0.0016188769791093134
electricity,C0,1.0,0.32,0.001691831455016236
electricity,C0,1.0,0.33,0.001764785930923159
electricity,C0,1.0,0.34,0.0018377404068300822
electricity,C0,1.0,0.35000000000000003,0.0019106948827370047
electricity,C0,1.0,0.36,0.001983649358643927
electricity,C0,1.0,0.37,0.0020566038345508505
electricity,C0,1.0,0.38,0.002129558310457773
electricity,C0,1.0,0.39,0.0022025127863646962
electricity,C0,1.0,0.4,0.002275467262271619
electricity,C0,1.0,0.41000000000000003,0.0023484217381785416
electricity,C0,1.0,0.42,0.0024213762140854645
electricity,C0,1.0,0.43,0.0024943306899923873
electricity,C0,1.0,0.44,0.00256728516589931
electricity,C0,1.0,0.45,0.002640239641806233
electricity,C0,1.0,0.46,0.0027131941177131556
electricity,C0,1.0,0.47000000000000003,0.002786148593620079
electricity,C0,1.0,0.48,0.0028591030695270013
electricity,C0,1.0,0.49,0.0029320575454339242
electricity,C0,1.0,0.5,0.003005012021340847
electricity,C0,1.0,0.51,0.00307796649724777
electricity,C0,1.0,0.52,0.003150920973154693
electricity,C0,1.0,0.53,0.0032238754490616158
electricity,C0,1.0,0.54,0.0032968299249685386
electricity,C0,1.0,0.55,0.0033697844008754615
electricity,C0,1.0,0.56,0.0034427388767823844
electricity,C0,1.0,0.5700000000000001,0.0035156933526893073
electricity,C0,1.0,0.58,0.0035886478285962293
electricity,C0,1.0,0.59,0.0036616023045031526
electricity,C0,1.0,0.6,0.003734556780410075
electricity,C0,1.0,0.61,0.0038075112563169984
electricity,C0,1.0,0.62,0.0038804657322239213
electricity,C0,1.0,0.63,0.003953420208130844
electricity,C0,1.0,0.64,0.004026374684037767
electricity,C0,1.0,0.65,0.00409932915994469
electricity,C0,1.0,0.66,0.004172283635851612
electricity,C0,1.0,0.67,0.004245238111758535
electricity,C0,1.0,0.68,0.004318192587665459
electricity,C0,1.0,0.6900000000000001,0.0043911470635723815
electricity,C0,1.0,0.7000000000000001,0.004464101539479304
electricity,C0,1.0,0.71,0.004537056015386226
electricity,C0,1.0,0.72,0.004610010491293149
electricity,C0,1.0,0.73,0.004682964967200072
electricity,C0,1.0,0.74,0.0047559194431069955
electricity,C0,1.0,0.75,0.004828873919013918
electricity,C0,1.0,0.76,0.00490182839492084
electricity,C0,1.0,0.77,0.004974782870827764
electricity,C0,1.0,0.78,0.005047737346734687
electricity,C0,1.0,0.79,0.0051206918226416095
electricity,C0,1.0,0.8,0.005193646298548533
electricity,C0,1.0,0.81,0.005266600774455455
electricity,C0,1.0,0.8200000000000001,0.005339555250362378
electricity,C0,1.0,0.8300000000000001,0.005412509726269301
electricity,C0,1.0,0.84,0.0054854642021762235
electricity,C0,1.0,0.85,0.005558418678083146
electricity,C0,1.0,0.86,0.005631373153990069
electricity,C0,1.0,0.87,0.005704327629896992
electricity,C0,1.0,0.88,0.005777282105803915
electricity,C0,1.0,0.89,0.0058502365817108375
electricity,C0,1.0,0.9,0.005923191057617761
electricity,C0,1.0,0.91,0.005996145533524683
electricity,C0,1.0,0.92,0.006069100009431606
electricity,C0,1.0,0.93,0.00614205448533853
electricity,C0,1.0,0.9400000000000001,0.006215008961245452
electricity,C0,1.0,0.9500000000000001,0.006287963437152375
electricity,C0,1.0,0.96,0.006360917913059297
electricity,C0,1.0,0.97,0.00643387238896622
electricity,C0,1.0,0.98,0.006506826864873143
electricity,C0,1.0,0.99,0.006579781340780066
electricity,C0,1.0,1.0,0.006652735816686989
electricity,C2,0.0,0.0,-0.00015750186309440584
electricity,C2,0.0,0.01,-0.00013587912098275866
electricity,C2,0.0,0.02,-0.0001142563788711115
electricity,C2,0.0,0.03,-9.263363675946434e-05
electricity,C2,0.0,0.04,-7.101089464781716e-05
electricity,C2,0.0,0.05,-4.938815253617e-05
electricity,C2,0.0,0.06,-2.7765410424522834e-05
electricity,C2,0.0,0.07,-6.142668312875658e-06
electricity,C2,0.0,0.08,1.548007379877149e-05
electricity,C2,0.0,0.09,3.710281591041864e-05
electricity,C2,0.0,0.1,5.8725558022065816e-05
electricity,C2,0.0,0.11,8.034830013371299e-05
electricity,C2,0.0,0.12,0.00010197104224536014
electricity,C2,0.0,0.13,0.0001235937843570073
electricity,C2,0.0,0.14,0.00014521652646865447
electricity,C2,0.0,0.15,0.0001668392685803016
electricity,C2,0.0,0.16,0.00018846201069194882
electricity,C2,0.0,0.17,0.000210084752803596
electricity,C2,0.0,0.18,0.0002317074949152431
electricity,C2,0.0,0.19,0.00025333023702689026
electricity,C2,0.0,0.2,0.00027495297913853747
electricity,C2,0.0,0.21,0.00029657572125018456
