panel,kind,condition,new,baseline,seed,gain_pct
electricity,shape,STEP6_D63,C3,SEASONAL,81553,16.70866981242025
electricity,shape,STEP6_D63,FIX_C3_GC3,FIX_C2_GC2,81551,-0.3384259877665219
electricity,shape,STEP6_D63,FIX_C3_GC3,FIX_C2_GC2,81552,-0.4454125503634776
electricity,shape,STEP6_D63,FIX_C3_GC3,FIX_C2_GC2,81553,-0.4815133782659186
electricity,shape,STEP6_D63,FIX_C3_GC3,FIX_C3_GC2,81551,-0.4602046162128781
electricity,shape,STEP6_D63,FIX_C3_GC3,FIX_C3_GC2,81552,-1.4921593203132133
electricity,shape,STEP6_D63,FIX_C3_GC3,FIX_C3_GC2,81553,1.4701994449430766
electricity,shape,STEP6_D63,FIX_C3_GC3,FIX_C2_GC3,81551,2.24473533397217
electricity,shape,STEP6_D63,FIX_C3_GC3,FIX_C2_GC3,81552,0.6083038001827301
electricity,shape,STEP6_D63,FIX_C3_GC3,FIX_C2_GC3,81553,0.2663726983289205
electricity,shape,STEP8_D31,C0,F0,81551,36.89958396947076
electricity,shape,STEP8_D31,C0,F0,81552,35.30411514535039
electricity,shape,STEP8_D31,C0,F0,81553,36.81774150638149
electricity,shape,STEP8_D31,C0,PERSISTENCE,81551,58.78223481467708
electricity,shape,STEP8_D31,C0,PERSISTENCE,81552,57.74006007970735
electricity,shape,STEP8_D31,C0,PERSISTENCE,81553,58.72877457403192
electricity,shape,STEP8_D31,C0,SEASONAL,81551,11.03934381550652
electricity,shape,STEP8_D31,C0,SEASONAL,81552,8.79000914476552
electricity,shape,STEP8_D31,C0,SEASONAL,81553,10.923960119515442
electricity,shape,STEP8_D31,C3,C0,81551,0.9998104068562386
electricity,shape,STEP8_D31,C3,C0,81552,3.952922697852168
electricity,shape,STEP8_D31,C3,C0,81553,0.8601160948349729
electricity,shape,STEP8_D31,C3,C2,81551,-0.5411146214052032
electricity,shape,STEP8_D31,C3,C2,81552,1.5245925923105583
electricity,shape,STEP8_D31,C3,C2,81553,-0.6273577700045996
electricity,shape,STEP8_D31,C3,M_RECENCY,81551,0.2548205470652043
electricity,shape,STEP8_D31,C3,M_RECENCY,81552,0.0605124776558718
electricity,shape,STEP8_D31,C3,M_RECENCY,81553,-0.0146196867661929
electricity,shape,STEP8_D31,C3,F0,81551,37.53046849571358
electricity,shape,STEP8_D31,C3,F0,81552,37.86149346234614
electricity,shape,STEP8_D31,C3,F0,81553,37.36118228076533
electricity,shape,STEP8_D31,C3,PERSISTENCE,81551,59.19433432047351
electricity,shape,STEP8_D31,C3,PERSISTENCE,81552,59.41056283691528
electricity,shape,STEP8_D31,C3,PERSISTENCE,81553,59.08375502645629
electricity,shape,STEP8_D31,C3,SEASONAL,81551,11.928781714046687
electricity,shape,STEP8_D31,C3,SEASONAL,81552,12.395469575990967
electricity,shape,STEP8_D31,C3,SEASONAL,81553,11.690117475169105
electricity,shape,STEP8_D31,FIX_C3_GC3,FIX_C2_GC2,81551,0.6872285758575236
electricity,shape,STEP8_D31,FIX_C3_GC3,FIX_C2_GC2,81552,0.979211352395104
electricity,shape,STEP8_D31,FIX_C3_GC3,FIX_C2_GC2,81553,-0.6273577700045552
electricity,shape,STEP8_D31,FIX_C3_GC3,FIX_C3_GC2,81551,1.631218418916036
electricity,shape,STEP8_D31,FIX_C3_GC3,FIX_C3_GC2,81552,1.5795412926698835
electricity,shape,STEP8_D31,FIX_C3_GC3,FIX_C3_GC2,81553,-0.3582000508683292
electricity,shape,STEP8_D31,FIX_C3_GC3,FIX_C2_GC3,81551,-0.6718892827965117
electricity,shape,STEP8_D31,FIX_C3_GC3,FIX_C2_GC3,81552,1.3560685604360412
electricity,shape,STEP8_D31,FIX_C3_GC3,FIX_C2_GC3,81553,-0.3655606779312759
electricity,shape,STEP8_D33,C0,F0,81551,32.37402951717468
electricity,shape,STEP8_D33,C0,F0,81552,31.049659915449254
electricity,shape,STEP8_D33,C0,F0,81553,34.41389178753334
electricity,shape,STEP8_D33,C0,PERSISTENCE,81551,57.82831145100914
electricity,shape,STEP8_D33,C0,PERSISTENCE,81552,57.00243195576553
electricity,shape,STEP8_D33,C0,PERSISTENCE,81553,59.10037358533741
electricity,shape,STEP8_D33,C0,SEASONAL,81551,8.980482836507175
electricity,shape,STEP8_D33,C0,SEASONAL,81552,7.1979800371474445
electricity,shape,STEP8_D33,C0,SEASONAL,81553,11.725985453363885
electricity,shape,STEP8_D33,C3,C0,81551,3.53334793872262
electricity,shape,STEP8_D33,C3,C0,81552,5.041688870376437
electricity,shape,STEP8_D33,C3,C0,81553,1.4421696430323871
electricity,shape,STEP8_D33,C3,C2,81551,0.0392863071584259
electricity,shape,STEP8_D33,C3,C2,81552,3.2677079061351755
electricity,shape,STEP8_D33,C3,C2,81553,0.3469165216697045
electricity,shape,STEP8_D33,C3,M_RECENCY,81551,0.3177858508488729
electricity,shape,STEP8_D33,C3,M_RECENCY,81552,0.2122504596994923
electricity,shape,STEP8_D33,C3,M_RECENCY,81553,0.0812157856592499
electricity,shape,STEP8_D33,C3,F0,81551,34.76349035127074
electricity,shape,STEP8_D33,C3,F0,81552,34.52592153757875
electricity,shape,STEP8_D33,C3,F0,81553,35.3597547302199
electricity,shape,STEP8_D33,C3,PERSISTENCE,81551,59.31838393907943
electricity,shape,STEP8_D33,C3,PERSISTENCE,81552,59.17023555838424
electricity,shape,STEP8_D33,C3,PERSISTENCE,81553,59.690215581603326
electricity,shape,STEP8_D33,C3,SEASONAL,81551,12.196519070038736
electricity,shape,STEP8_D33,C3,SEASONAL,81552,11.876769149099095
electricity,shape,STEP8_D33,C3,SEASONAL,81553,12.99904649384147
electricity,shape,STEP8_D33,FIX_C3_GC3,FIX_C2_GC2,81551,1.490191378258876
electricity,shape,STEP8_D33,FIX_C3_GC3,FIX_C2_GC2,81552,2.048621383580751
electricity,shape,STEP8_D33,FIX_C3_GC3,FIX_C2_GC2,81553,0.3469165216697045
electricity,shape,STEP8_D33,FIX_C3_GC3,FIX_C3_GC2,81551,-0.2412198349748928
electricity,shape,STEP8_D33,FIX_C3_GC3,FIX_C3_GC2,81552,2.8194655712852623
electricity,shape,STEP8_D33,FIX_C3_GC3,FIX_C3_GC2,81553,-0.5075085227448595
electricity,shape,STEP8_D33,FIX_C3_GC3,FIX_C2_GC3,81551,0.5226885413832871
electricity,shape,STEP8_D33,FIX_C3_GC3,FIX_C2_GC3,81552,1.827033918429965
electricity,shape,STEP8_D33,FIX_C3_GC3,FIX_C2_GC3,81553,0.9079845234336804
electricity,standard,FAULT,C0,F0,81551,1.1907937233620047
