panel,stage,arm,seed,condition,checkpoint_step,absolute_correction_nmae,response_distortion_from_B0,ideal_response_error,B0_ideal_response_error,mean_response_to_true_shift_ratio
electricity,selected,TRP,81552,SHIFT_POINT,768,3.9613499605327705e-05,3.283946878422754e-05,,,
electricity_transfer,fixed1024,ANCHOR,81551,REFERENCE,1024,3.9147737478900915e-05,0.0,,,
electricity_transfer,fixed1024,ANCHOR,81551,SHIFT4,1024,5.603396358742605e-05,5.990311949347349e-05,0.19086430908506818,0.1908625361211774,0.991822568982297
electricity_transfer,fixed1024,ANCHOR,81551,SHIFT8,1024,8.399805513447826e-05,8.710294496477182e-05,0.25697407861565624,0.2569809797716983,0.9878885244247465
electricity_transfer,fixed1024,ANCHOR,81551,SHIFT_POINT,1024,6.504908281732874e-05,6.962824757609243e-05,,,
electricity_transfer,selected,ANCHOR,81551,REFERENCE,1024,3.9147737478900915e-05,0.0,,,
electricity_transfer,selected,ANCHOR,81551,SHIFT4,1024,5.603396358742605e-05,5.990311949347349e-05,0.19086430908506818,0.1908625361211774,0.991822568982297
electricity_transfer,selected,ANCHOR,81551,SHIFT8,1024,8.399805513447826e-05,8.710294496477182e-05,0.25697407861565624,0.2569809797716983,0.9878885244247465
electricity_transfer,selected,ANCHOR,81551,SHIFT_POINT,1024,6.504908281732874e-05,6.962824757609243e-05,,,
electricity_transfer,fixed1024,ANCHOR,81552,REFERENCE,1024,3.678969063152274e-05,0.0,,,
electricity_transfer,fixed1024,ANCHOR,81552,SHIFT4,1024,6.1787082017729e-05,5.7522031126054014e-05,0.18353133367547625,0.18352666565042586,0.9720459897000086
electricity_transfer,fixed1024,ANCHOR,81552,SHIFT8,1024,8.825682516119103e-05,8.348550382517633e-05,0.3093675983079213,0.309340235587847,0.9687305863442012
electricity_transfer,fixed1024,ANCHOR,81552,SHIFT_POINT,1024,7.293255208306676e-05,6.921163163961229e-05,,,
electricity_transfer,selected,ANCHOR,81552,REFERENCE,0,0.0,0.0,,,
electricity_transfer,selected,ANCHOR,81552,SHIFT4,0,0.0,0.0,0.18352666565042586,0.18352666565042586,0.9720625057820786
electricity_transfer,selected,ANCHOR,81552,SHIFT8,0,0.0,0.0,0.309340235587847,0.309340235587847,0.9687423317091297
electricity_transfer,selected,ANCHOR,81552,SHIFT_POINT,0,0.0,0.0,,,
electricity_transfer,fixed1024,B0,81551,REFERENCE,768,0.0,0.0,,,
electricity_transfer,fixed1024,B0,81551,SHIFT4,768,0.0,0.0,0.1908625361211774,0.1908625361211774,0.9918243473505282
electricity_transfer,fixed1024,B0,81551,SHIFT8,768,0.0,0.0,0.2569809797716983,0.2569809797716983,0.9878859147644582
electricity_transfer,fixed1024,B0,81551,SHIFT_POINT,768,0.0,0.0,,,
electricity_transfer,selected,B0,81551,REFERENCE,768,0.0,0.0,,,
electricity_transfer,selected,B0,81551,SHIFT4,768,0.0,0.0,0.1908625361211774,0.1908625361211774,0.9918243473505282
electricity_transfer,selected,B0,81551,SHIFT8,768,0.0,0.0,0.2569809797716983,0.2569809797716983,0.9878859147644582
electricity_transfer,selected,B0,81551,SHIFT_POINT,768,0.0,0.0,,,
electricity_transfer,fixed1024,B0,81552,REFERENCE,512,0.0,0.0,,,
electricity_transfer,fixed1024,B0,81552,SHIFT4,512,0.0,0.0,0.18352666565042586,0.18352666565042586,0.9720625057820786
electricity_transfer,fixed1024,B0,81552,SHIFT8,512,0.0,0.0,0.309340235587847,0.309340235587847,0.9687423317091297
electricity_transfer,fixed1024,B0,81552,SHIFT_POINT,512,0.0,0.0,,,
electricity_transfer,selected,B0,81552,REFERENCE,512,0.0,0.0,,,
electricity_transfer,selected,B0,81552,SHIFT4,512,0.0,0.0,0.18352666565042586,0.18352666565042586,0.9720625057820786
electricity_transfer,selected,B0,81552,SHIFT8,512,0.0,0.0,0.309340235587847,0.309340235587847,0.9687423317091297
electricity_transfer,selected,B0,81552,SHIFT_POINT,512,0.0,0.0,,,
electricity_transfer,fixed1024,C3,81551,REFERENCE,1024,0.022097336810171612,0.0,,,
electricity_transfer,fixed1024,C3,81551,SHIFT4,1024,0.06171611911569326,0.0525691950276611,0.17885676186463084,0.1908625361211774,0.986222622064404
electricity_transfer,fixed1024,C3,81551,SHIFT8,1024,0.10698318130619244,0.09737075806788192,0.23657304187420553,0.2569809797716983,0.9874774777321973
electricity_transfer,fixed1024,C3,81551,SHIFT_POINT,1024,0.06365336671423191,0.05499134521118281,,,
