arm,seed,lead,pinball,raw_pinball,nmae,raw_mae,coverage,width,crossing
G0,92401,25,0.16985223981735817,31.50773848427667,0.2163525465526774,38.86184589068095,0.7916666666666666,0.6558477878570557,0.0
G0,92401,26,0.17600397349559668,32.957821043332416,0.21702912525609105,40.70150303840637,0.8229166666666666,0.6693558692932129,0.0
G0,92401,27,0.17600311147590122,32.065653571376096,0.22752139242501757,41.259863336881004,0.8125,0.6932328343391418,0.0
G0,92401,28,0.1900463215019418,38.42996867762672,0.23731453189086507,48.890294233957924,0.7604166666666666,0.7049143314361572,0.0
G0,92401,29,0.18151794831479365,36.785318891207375,0.2260030449565145,46.941673278808594,0.7395833333333334,0.6920484900474548,0.0
G0,92401,30,0.17644611238864297,29.95982935428619,0.22276420892840318,37.83969032764435,0.8020833333333334,0.6846333146095276,0.0
G0,92401,31,0.2083698532870909,42.50932376119825,0.25834815267748995,51.409549514452614,0.8020833333333334,0.6784502863883972,0.0
G0,92401,32,0.18995109648677988,32.93000509385709,0.22560717486786283,39.23951657613119,0.7916666666666666,0.6854384541511536,0.0
G0,92401,33,0.1730426502941775,26.051661025153265,0.21277047009010538,33.90725040435791,0.7916666666666666,0.7003583908081055,0.0
G0,92401,34,0.18589381886645998,26.249954582143715,0.23242801849782516,33.82252287864685,0.8229166666666666,0.7388604283332825,0.0
G0,92401,35,0.1720414623658946,31.70806465943655,0.21576678676023595,41.88813328742981,0.8229166666666666,0.766423225402832,0.0
G0,92401,36,0.19634435964381,38.332393029001025,0.24055237622238146,47.54115645090739,0.7708333333333334,0.7683990597724915,0.0
G0,92401,37,0.19493676478522456,40.439517939532244,0.2453386382889883,51.37737270196279,0.7395833333333334,0.7490949034690857,0.0
G0,92401,38,0.18782151399350536,33.6138175646464,0.23400882766338935,42.63033572832743,0.78125,0.7450631260871887,0.0
G0,92401,39,0.19737578277865142,36.41995171176063,0.24369728548605205,45.99996840953827,0.71875,0.7430276870727539,0.0
G0,92401,40,0.2003403413335574,33.82671444151136,0.25214261890831735,43.45403734842936,0.7395833333333334,0.7341871857643127,0.0
G0,92401,41,0.19054182018069674,30.401574952514085,0.2434100876791713,38.785280068715416,0.8229166666666666,0.7160729765892029,0.0
G0,92401,42,0.20422945673888496,31.469900936550562,0.27079556639276897,41.95277758439382,0.8229166666666666,0.7280397415161133,0.0
G0,92401,43,0.20049137957171556,32.88713619885621,0.26704209604855483,43.46624672412872,0.78125,0.7477266192436218,0.0
G0,92401,44,0.1756824471449788,33.36130299744783,0.23298871120711362,43.79533569018046,0.84375,0.7544681429862976,0.0
G0,92401,45,0.20477066693357904,36.902296544887406,0.2654373533117322,48.69945196310679,0.78125,0.7465861439704895,0.0013020833333333333
G0,92401,46,0.19031511422868438,37.52350829089129,0.2426474399049622,47.959824085235596,0.78125,0.7353870272636414,0.0
G0,92401,47,0.20105928990802113,42.153340887140345,0.24967358592647249,52.22425917784373,0.7604166666666666,0.7061899304389954,0.0
G0,92401,48,0.20109511784136544,35.99039773499524,0.25567227463248865,45.879279931386314,0.8125,0.7021377086639404,0.0
G0,92401,49,0.19248933503715163,30.659844522122985,0.24203155108638563,37.71479288736979,0.8020833333333334,0.6904311776161194,0.0013020833333333333
G0,92401,50,0.1766469389200154,29.403067479310213,0.22672498450782488,38.05180565516154,0.8125,0.7019104957580566,0.0
G0,92401,51,0.16641861604717298,28.165033655696444,0.21102387484848975,35.793795903523765,0.7916666666666666,0.7307999730110168,0.0
G0,92401,52,0.1846901215424638,32.79021010133955,0.23252422000035286,41.99008973439535,0.7604166666666666,0.7407028079032898,0.0
G0,92401,53,0.16013510206498166,29.77462152286812,0.19745288793627222,37.78684731324514,0.8229166666666666,0.7254005074501038,0.0
G0,92401,54,0.16498515866989563,27.87224778422603,0.21038037383955896,35.684701124827065,0.8229166666666666,0.7174489498138428,0.0
G0,92401,55,0.16712149083355843,30.67549919817182,0.21378260437699204,38.59276314576467,0.78125,0.7039373517036438,0.0
G0,92401,56,0.17393959059634867,27.827278395935338,0.2202050246221762,35.04931120077769,0.8020833333333334,0.7088038921356201,0.0
G0,92401,57,0.15882574895332452,24.624636140576115,0.1998942293747623,31.38130720456441,0.8229166666666666,0.7238256335258484,0.0013020833333333333
G0,92401,58,0.17852664849731395,26.88797308427316,0.22525282626423646,34.71846612294515,0.8125,0.7643048763275146,0.0
G0,92401,59,0.1673622143933002,27.975966887120848,0.21942059683317108,36.52967572212219,0.875,0.7964475750923157,0.0013020833333333333
G0,92401,60,0.2141605852304743,43.50112177795834,0.27528697383799444,55.32388174533844,0.7395833333333334,0.8074797987937927,0.0013020833333333333
G0,92401,61,0.24325253655630844,48.38190999914099,0.3034245718683633,60.06662901242574,0.7604166666666666,0.791938841342926,0.0
G0,92401,62,0.23932884004217972,47.026406100944236,0.29175702174682666,56.26633485158285,0.7083333333333334,0.7925642132759094,0.0
G0,92401,63,0.2085235635074959,38.7334733221266,0.2623751243349302,48.36357148488363,0.7708333333333334,0.790252149105072,0.0
G0,92401,64,0.2007637645186692,33.506910093625386,0.26045928837516136,43.19177770614624,0.8020833333333334,0.7798423767089844,0.0
G0,92402,1,0.10661874495098961,17.72206054351948,0.13251820376116594,22.39560906092326,0.8854166666666666,0.5065637230873108,0.0
G0,92402,2,0.12084031549553775,20.44260977992305,0.15787024904601057,26.68195919195811,0.8541666666666666,0.5521956086158752,0.0
G0,92402,3,0.14026856622678655,23.15597939932788,0.18318485767910228,30.07847309112549,0.8229166666666666,0.5988006591796875,0.0
G0,92402,4,0.14729806018518823,24.099180477636832,0.19005136370581366,30.69131100177765,0.8333333333333334,0.6230455040931702,0.0
G0,92402,5,0.12835610077231166,22.391948451819243,0.1608243435023331,27.63305648167928,0.8541666666666666,0.619633674621582,0.0
G0,92402,6,0.13678208110952536,21.877659989286354,0.17566797955623914,28.59406344095866,0.8854166666666666,0.6237899661064148,0.0
G0,92402,7,0.15523740412223316,26.907431019677052,0.1947978290072372,33.16753383477529,0.7916666666666666,0.6184114813804626,0.0
G0,92402,8,0.13881785348142056,22.270801934489498,0.17895066196069212,28.463956435521443,0.84375,0.6210594177246094,0.0
G0,92402,9,0.13992575319153502,20.454437280584266,0.17608009990882398,25.86150399843852,0.875,0.6321553587913513,0.0
G0,92402,10,0.14474223665150035,23.36090271119718,0.19011858410726248,31.546998818715412,0.8645833333333334,0.6562412977218628,0.0
G0,92402,11,0.13521846621789593,21.233780599523474,0.169701824306658,26.365286270777386,0.8854166666666666,0.6881402134895325,0.0
G0,92402,12,0.15307789654479834,24.987380297978717,0.18844777692340905,30.79202961921692,0.8333333333333334,0.7057216763496399,0.0
