panel,kind,condition,channel,A,D,total,gate,weights,interaction,contribution,leave_out_MAG_gain_pct
electricity_transfer,standard,REFERENCE,83,0.4511713337441996,0.4512765864610819,-0.0001052527168823,-3.181689532857912e-05,-7.343582155375228e-05,-4.960514375124125e-05,-6.578294805145712e-06,-0.0343637600495406
electricity_transfer,standard,REFERENCE,21,0.2637311741849352,0.2638089244704438,-7.775028550865981e-05,4.2355099324487e-06,-8.198579544110851e-05,-1.0746864496091746e-06,-4.859392844291238e-06,-0.0333421855964561
electricity_transfer,standard,REFERENCE,79,0.3934910102900817,0.393415239154385,7.577113569673388e-05,-2.4710363553948067e-06,7.824217205212869e-05,-8.288015721336084e-06,4.735695981045868e-06,-0.0389917691355505
electricity_transfer,standard,REFERENCE,313,0.1417483605023272,0.1416602489112774,8.811159104982202e-05,0.0,8.811159104982202e-05,0.0,5.5069744406138765e-06,-0.0366940497558417
electricity_transfer,standard,REFERENCE,14,0.224320965106377,0.2244349192117449,-0.0001139541053678,0.0,-0.0001139541053678,0.0,-7.122131585492533e-06,-0.031991170503502
electricity_transfer,standard,REFERENCE,129,0.2380069488078222,0.2380546363018217,-4.768749399947092e-05,0.0,-4.768749399947092e-05,0.0,-2.9804683749669325e-06,-0.0339326678528485
electricity_transfer,standard,REFERENCE,262,0.1538115553275984,0.1539852464927187,-0.0001736911651202,-1.0417470060475331e-06,-0.0001726494181141,-1.379746129592796e-05,-1.0855697820014163e-05,-0.0297806802576363
electricity_transfer,standard,REFERENCE,189,0.1881930422583749,0.1882859012826432,-9.285902426828252e-05,-4.979870840193801e-06,-8.787915342808872e-05,-4.1188456366692e-06,-5.8036890167676575e-06,-0.0322497402707411
electricity_transfer,standard,REFERENCE,225,0.1583776115487509,0.1584901278281656,-0.0001125162794146,-1.767944553232592e-05,-9.483683388236686e-05,3.213977798621759e-06,-7.0322674634182986e-06,-0.0314624836326837
electricity_transfer,standard,POINT4,288,0.2854218036665838,0.2856640105020707,-0.0002422068354868,1.3346357732785252e-05,-0.0002555531932196,-1.578531132861993e-06,-1.5137927217929307e-05,-0.0311841651426102
electricity_transfer,standard,POINT4,43,0.2625797767356853,0.2626233784932416,-4.360175755629969e-05,4.96273248903889e-06,-4.856449004533858e-05,-1.4581118957246453e-06,-2.7251098472687307e-06,-0.0364415401626139
electricity_transfer,standard,POINT4,100,0.2285521395344844,0.228709767823378,-0.0001576282888936,-5.877431629025542e-07,-0.0001570405457307,-1.0606537090007695e-06,-9.85176805585325e-06,-0.0330024680346538
electricity_transfer,standard,POINT4,144,0.1979184338295526,0.1980286315290648,-0.0001101976995121,1.5938444427598952e-06,-0.0001117915439549,-3.127908406175273e-07,-6.8873562195110455e-06,-0.0340092798624115
electricity_transfer,standard,POINT4,149,0.2128567139541408,0.2130175546796612,-0.0001608407255204,1.8720765999971637e-05,-0.0001795614915203,1.3977829108058337e-07,-1.005254534502606e-05,-0.0327751500107039
electricity_transfer,standard,POINT4,147,0.2201564984106696,0.2202239998623367,-6.750145166711796e-05,6.118918905143045e-05,-0.0001286906407185,-7.145727960289339e-06,-4.218840729194873e-06,-0.0353733217852759
electricity_transfer,standard,POINT4,11,0.2693798716627933,0.269328724070649,5.11475921443072e-05,-2.4221364241822085e-05,7.536895638612928e-05,-2.592030414833024e-05,3.1967245090192e-06,-0.0391160325251651
electricity_transfer,standard,POINT4,83,0.4512794700084024,0.4513670764765358,-8.760646813343875e-05,2.265842775350801e-06,-8.987231090878955e-05,-5.1887432212405216e-05,-5.475404258339922e-06,-0.0371585128648888
electricity_transfer,standard,POINT4,21,0.2639998786245692,0.2640716149590774,-7.173633450818784e-05,6.082644062987974e-06,-7.781897857117581e-05,-2.0839012505602383e-06,-4.48352090676174e-06,-0.0356829835314657
electricity_transfer,standard,POINT4,79,0.3957449237694203,0.3956963538830435,4.85698863768036e-05,-6.919249055575838e-06,5.548913543237943e-05,-8.552162132524632e-06,3.0356178985502247e-06,-0.0404512096360159
electricity_transfer,standard,POINT4,313,0.1448813567475267,0.1448077976345354,7.355911299131157e-05,4.905683271577699e-06,6.865342971973387e-05,1.2187732110757743e-06,4.597444561956973e-06,-0.038416874220226
electricity_transfer,standard,POINT4,14,0.2261734850137475,0.2262980891005165,-0.0001246040867689,-1.4405498831998598e-06,-0.0001231635368857,1.0489330651286545e-07,-7.78775542306133e-06,-0.0338788744782047
electricity_transfer,standard,POINT4,129,0.2409240587282628,0.2410042424250313,-8.018369676857096e-05,-8.100571427804848e-07,-7.937363962579047e-05,-1.4772822795050544e-06,-5.011481048035685e-06,-0.0352276793639332
electricity_transfer,standard,POINT4,262,0.1563746877656433,0.1565723221457877,-0.0001976343801443,-3.1360368899183144e-05,-0.0001662740112451,-1.3061143555676002e-05,-1.2352148759020924e-05,-0.0312996872465134
electricity_transfer,standard,POINT4,189,0.1890484721242238,0.1891434034787137,-9.493135448995772e-05,-9.279316097232648e-06,-8.565203839272506e-05,-3.699492289843676e-06,-5.933209655622357e-06,-0.034338955705809
electricity_transfer,standard,POINT4,225,0.1594476831377215,0.1595531474159297,-0.0001054642782082,-2.8686781722242483e-05,-7.677749648596355e-05,6.174487345078639e-06,-6.591517388012877e-06,-0.0337863278223338
electricity_transfer,standard,POINT8,288,0.2886615242457756,0.2888072365211716,-0.000145712275396,-4.131974648935444e-06,-0.000141580300747,-1.3355107353341111e-06,-9.10701721225024e-06,-0.0266079769381299
