panel,kind,stage,arm,b,i,o,step,condition,nmae,mae,pinball
electricity,standard,selected,MAG_ONLY,81551,81551,81551,768,BURST16,0.17765027456903001,11.87992848488284,0.14787460150378864
electricity,standard,selected,MAG_ONLY,81551,81551,81551,768,BURST4,0.17005895223157602,11.154980165476445,0.14123794438959753
electricity,standard,selected,MAG_ONLY,81551,81551,81551,768,BURST8,0.17956678607337842,12.187705173753784,0.1493764996947622
electricity,standard,selected,MAG_ONLY,81551,81551,81551,768,FAULT,0.17279266810553473,11.412154551654263,0.14365430007694907
electricity,standard,selected,MAG_ONLY,81551,81551,81551,768,POINT16,0.1709991345245697,11.181413919992337,0.14179734885556092
electricity,standard,selected,MAG_ONLY,81551,81551,81551,768,POINT4,0.16836168083364886,10.980852925873478,0.140267218150016
electricity,standard,selected,MAG_ONLY,81551,81551,81551,768,POINT8,0.17011918040100535,11.088046639946697,0.14137218786796915
electricity,standard,selected,MAG_ONLY,81551,81551,81551,768,REFERENCE,0.1675246167036819,10.905884707943187,0.139686709457596
electricity,standard,selected,MAG_ONLY,81551,81551,81551,768,SHIFT4,0.18951514161766686,12.529905634088921,0.15527086203970222
electricity,standard,selected,MAG_ONLY,81551,81551,81551,768,SHIFT8,0.20107860279960618,13.228403467783092,0.16528688580901454
electricity,standard,selected,MAG_ONLY,81551,81551,81551,768,SHIFT_POINT,0.1948228950883304,12.821578958851703,0.15937710916379738
electricity,standard,selected,MAG_ONLY,81551,81551,81552,1024,BURST16,0.1780687237765209,11.91218912621116,0.14829471075691
electricity,standard,selected,MAG_ONLY,81551,81551,81552,1024,BURST4,0.17026533190424087,11.164129359953222,0.14152716004105861
electricity,standard,selected,MAG_ONLY,81551,81551,81552,1024,BURST8,0.17980756527876854,12.213277968839975,0.14966981607325314
electricity,standard,selected,MAG_ONLY,81551,81551,81552,1024,FAULT,0.17304289699080444,11.430968605176531,0.1439674337909054
electricity,standard,selected,MAG_ONLY,81551,81551,81552,1024,POINT16,0.17128285300010324,11.200509378006245,0.1421560355083837
electricity,standard,selected,MAG_ONLY,81551,81551,81552,1024,POINT4,0.1685583759893497,10.996193726328784,0.1405449320330258
electricity,standard,selected,MAG_ONLY,81551,81551,81552,1024,POINT8,0.17027453199584344,11.0995120717198,0.14161194833280116
electricity,standard,selected,MAG_ONLY,81551,81551,81552,1024,REFERENCE,0.1677171197523219,10.921055749699008,0.13993998904442084
electricity,standard,selected,MAG_ONLY,81551,81551,81552,1024,SHIFT4,0.1896870996622794,12.540374075170424,0.1552945319081724
electricity,standard,selected,MAG_ONLY,81551,81551,81552,1024,SHIFT8,0.20098818618687922,13.182221234080393,0.16527612606857264
electricity,standard,selected,MAG_ONLY,81551,81551,81552,1024,SHIFT_POINT,0.19557903840260896,12.852677995790602,0.159867976455488
electricity,standard,selected,MAG_ONLY,81551,81552,81551,768,BURST16,0.1773811723959018,11.845025750226341,0.14765517724647947
electricity,standard,selected,MAG_ONLY,81551,81552,81551,768,BURST4,0.16992217619231414,11.145671089630923,0.1410813389583403
electricity,standard,selected,MAG_ONLY,81551,81552,81551,768,BURST8,0.17921422927005534,12.154139829046471,0.1490413711646395
electricity,standard,selected,MAG_ONLY,81551,81552,81551,768,FAULT,0.17258480075401958,11.394516146915825,0.1434508431974981
electricity,standard,selected,MAG_ONLY,81551,81552,81551,768,POINT16,0.17079348092707122,11.168429736586404,0.14159464464820648
electricity,standard,selected,MAG_ONLY,81551,81552,81551,768,POINT4,0.16822689522752432,10.973380271854694,0.1401316559968578
electricity,standard,selected,MAG_ONLY,81551,81552,81551,768,POINT8,0.16997085051125063,11.080450204150111,0.14120087117046495
electricity,standard,selected,MAG_ONLY,81551,81552,81551,768,REFERENCE,0.1674124564184959,10.900388600042788,0.139552860583014
electricity,standard,selected,MAG_ONLY,81551,81552,81551,768,SHIFT4,0.18950390965448993,12.517186865621992,0.15529185603074921
electricity,standard,selected,MAG_ONLY,81551,81552,81551,768,SHIFT8,0.20101696355584311,13.238927600938275,0.16520179691595643
electricity,standard,selected,MAG_ONLY,81551,81552,81551,768,SHIFT_POINT,0.19478641624328333,12.816207334038726,0.15940601941499863
electricity,standard,selected,MAG_ONLY,81551,81552,81552,1024,BURST16,0.1776715027186985,11.87052791955648,0.14795260902679555
electricity,standard,selected,MAG_ONLY,81551,81552,81552,1024,BURST4,0.17005470249417423,11.148209718819999,0.14129920383384917
electricity,standard,selected,MAG_ONLY,81551,81552,81552,1024,BURST8,0.17938950280926452,12.173603736784571,0.1492695364229797
electricity,standard,selected,MAG_ONLY,81551,81552,81552,1024,FAULT,0.17277154837501732,11.408901602870174,0.14369579543470556
electricity,standard,selected,MAG_ONLY,81551,81552,81552,1024,POINT16,0.17104665528159316,11.185466056569567,0.1419004548807102
electricity,standard,selected,MAG_ONLY,81551,81552,81552,1024,POINT4,0.1683988248382441,10.986547712891479,0.14038171325924015
electricity,standard,selected,MAG_ONLY,81551,81552,81552,1024,POINT8,0.17006810210812934,11.089054472598946,0.14137125518465868
electricity,standard,selected,MAG_ONLY,81551,81552,81552,1024,REFERENCE,0.1675863662700934,10.91460275555437,0.13976153308291034
electricity,standard,selected,MAG_ONLY,81551,81552,81552,1024,SHIFT4,0.18948654938804188,12.514025570547872,0.15521078544904018
electricity,standard,selected,MAG_ONLY,81551,81552,81552,1024,SHIFT8,0.2006634935515435,13.19192058969072,0.16491752133006646
electricity,standard,selected,MAG_ONLY,81551,81552,81552,1024,SHIFT_POINT,0.19523312943614174,12.825010162143153,0.15968330434696934
electricity,standard,selected,MAG_ONLY,81552,81551,81551,768,BURST16,0.17668980901110196,11.803532795107458,0.14688132139227064
electricity,standard,selected,MAG_ONLY,81552,81551,81551,768,BURST4,0.16944412794230018,11.106691227687406,0.14065809622006784
electricity,standard,selected,MAG_ONLY,81552,81551,81551,768,BURST8,0.17865408184806805,12.190497520277859,0.1487375022137788
electricity,standard,selected,MAG_ONLY,81552,81551,81551,768,FAULT,0.1716439201913173,11.344992760327537,0.14266770702454268
electricity,standard,selected,MAG_ONLY,81552,81551,81551,768,POINT16,0.1693008326864314,11.06827666801837,0.14052659440553472
electricity,standard,selected,MAG_ONLY,81552,81551,81551,768,POINT4,0.1672333440860233,10.906085591392184,0.13918724995233647
electricity,standard,selected,MAG_ONLY,81552,81551,81551,768,POINT8,0.16854132557397886,10.99487275948195,0.14001547796326758
electricity,standard,selected,MAG_ONLY,81552,81551,81551,768,REFERENCE,0.16646340537826582,10.838195188014652,0.1387262679031046
electricity,standard,selected,MAG_ONLY,81552,81551,81551,768,SHIFT4,0.18898480554046135,12.459956515593372,0.15483960513135056
electricity,standard,selected,MAG_ONLY,81552,81551,81551,768,SHIFT8,0.20261297192332886,13.067747641603853,0.1668006508629705
electricity,standard,selected,MAG_ONLY,81552,81551,81551,768,SHIFT_POINT,0.1923693963451498,12.663088832995424,0.15772284835673211
electricity,standard,selected,MAG_ONLY,81552,81551,81552,768,BURST16,0.17636071166952294,11.781363566231448,0.14662028814923636
electricity,standard,selected,MAG_ONLY,81552,81551,81552,768,BURST4,0.1692409841827752,11.091746200756461,0.1405056627992125
electricity,standard,selected,MAG_ONLY,81552,81551,81552,768,BURST8,0.17852401278099836,12.180540838093293,0.14865879630884368
electricity,standard,selected,MAG_ONLY,81552,81551,81552,768,FAULT,0.17146903668612176,11.332468647585605,0.1425430680463007
electricity,standard,selected,MAG_ONLY,81552,81551,81552,768,POINT16,0.16919591483815516,11.060285810912319,0.1404810632529705
electricity,standard,selected,MAG_ONLY,81552,81551,81552,768,POINT4,0.1671013640441115,10.896886277281737,0.13907973951226107
electricity,standard,selected,MAG_ONLY,81552,81551,81552,768,POINT8,0.16839123260116745,10.983989192238369,0.13991285825528021
electricity,standard,selected,MAG_ONLY,81552,81551,81552,768,REFERENCE,0.1663600154171256,10.831386525082053,0.13862821914104698
electricity,standard,selected,MAG_ONLY,81552,81551,81552,768,SHIFT4,0.18873144929009222,12.451691165357525,0.15468414986411796
electricity,standard,selected,MAG_ONLY,81552,81551,81552,768,SHIFT8,0.20189751244329687,13.034796765869329,0.16629054973806862
electricity,standard,selected,MAG_ONLY,81552,81551,81552,768,SHIFT_POINT,0.19246386745150626,12.660039833216343,0.15781384509525614
electricity,standard,selected,MAG_ONLY,81552,81552,81551,768,BURST16,0.176388544319168,11.777187299052457,0.14654741480995204
electricity,standard,selected,MAG_ONLY,81552,81552,81551,768,BURST4,0.16921748990555047,11.095411476984737,0.14043528503875233
electricity,standard,selected,MAG_ONLY,81552,81552,81551,768,BURST8,0.17843516187913572,12.171064686343016,0.1485269570418244
electricity,standard,selected,MAG_ONLY,81552,81552,81551,768,FAULT,0.17144562151129702,11.333958795833192,0.142461758299164
electricity,standard,selected,MAG_ONLY,81552,81552,81551,768,POINT16,0.1690925743265504,11.065350307348126,0.14031836459612132
electricity,standard,selected,MAG_ONLY,81552,81552,81551,768,POINT4,0.1671160857699483,10.903505623347883,0.1390524767230468
electricity,standard,selected,MAG_ONLY,81552,81552,81551,768,POINT8,0.16842387286742933,10.991233381922939,0.13989005158528706
electricity,standard,selected,MAG_ONLY,81552,81552,81551,768,REFERENCE,0.16641330950998803,10.839023017833824,0.13863584591304906
electricity,standard,selected,MAG_ONLY,81552,81552,81551,768,SHIFT4,0.18883630920351163,12.449539483371613,0.15480997488857978
electricity,standard,selected,MAG_ONLY,81552,81552,81551,768,SHIFT8,0.20253594302436218,13.06868623852476,0.1667528521214937
electricity,standard,selected,MAG_ONLY,81552,81552,81551,768,SHIFT_POINT,0.19208468166625034,12.647134797799001,0.1575794447478923
electricity,standard,selected,MAG_ONLY,81552,81552,81552,768,BURST16,0.17605497513898477,11.757282738217327,0.14629892835201644
