arm,seed,mode,lead,crps,pinball,nmae,raw_mae,coverage,width,negative_mass
TARGET,92302,cal,21,0.5574293314357688,0.6177550886265427,0.7926604318488705,363.4785194712237,0.9380165289256198,3.453494084004239,0.03764921946740128
TARGET,92302,cal,24,0.5825352505917057,0.6447264906631776,0.8329775255222839,381.9661302172448,0.9586776859504132,3.5476769424274246,0.03764921946740129
CONTROL,92301,raw,3,0.30669054259287304,0.32830288304264504,0.41815454082645925,191.74691621134104,0.8347107438016529,1.3534690705032708,0.01974288337924701
CONTROL,92301,raw,6,0.3019021764470104,0.3286836953711135,0.4100422855796928,188.02699982824404,0.8760330578512396,1.644684976521325,0.02800734618916437
CONTROL,92301,raw,9,0.33127095813364665,0.362385715523327,0.44845576859868236,205.64170011410044,0.859504132231405,1.8850129669190399,0.03168044077134986
CONTROL,92301,raw,12,0.3712733870024418,0.4059892255465385,0.5066608975643097,232.33196148202438,0.8760330578512396,2.0691290042230484,0.03076216712580349
CONTROL,92301,raw,15,0.38641641717139524,0.42434561159366113,0.5338264650061917,244.78887220650665,0.9008264462809917,2.2437706387818,0.02938475665748393
CONTROL,92301,raw,18,0.37048916997681897,0.41093955335812693,0.5106775454110366,234.1738160188533,0.9173553719008265,2.3810733158003425,0.02800734618916437
CONTROL,92301,raw,21,0.398834461388843,0.44130324891938,0.5496386733563563,252.0396417034559,0.9214876033057852,2.493294015205561,0.027089072543618
CONTROL,92301,raw,24,0.45800557372837736,0.5019879072586712,0.6457569689142459,296.1151806855005,0.9049586776859504,2.5668144469328236,0.025252525252525252
CONTROL,92301,cal,3,0.26704452729288136,0.29405995285509634,0.3644805554062041,167.1344340300757,0.8760330578512396,1.6918363381290886,0.0
CONTROL,92301,cal,6,0.3019021764470104,0.3286836953711135,0.4100422855796928,188.02699982824404,0.8760330578512396,1.644684976521325,0.02800734618916437
CONTROL,92301,cal,9,0.33536179914198055,0.35869786718424085,0.44845576859868236,205.64170011410044,0.7520661157024794,1.4137597251892804,0.027089072543617997
CONTROL,92301,cal,12,0.3749717025986637,0.4010085815067362,0.5066608975643097,232.33196148202438,0.743801652892562,1.551846753167286,0.023415977961432504
CONTROL,92301,cal,15,0.3897437174725042,0.4181906132892036,0.5338264650061917,244.78887220650665,0.743801652892562,1.6828279790863496,0.020202020202020204
CONTROL,92301,cal,18,0.3672212230676437,0.3975590106036247,0.5106775454110366,234.1738160188533,0.8305785123966942,1.7858049868502566,0.019283746556473826
CONTROL,92301,cal,21,0.38023715703715794,0.4227059445676949,0.5144713435098813,235.91348165717008,0.9049586776859504,2.493294015205561,0.0009182736455463728
CONTROL,92301,cal,24,0.43976628052540095,0.4837486140556947,0.6251389040497739,286.6606609565167,0.8677685950413223,2.5668144469328236,0.0018365472910927456
CONTROL,92302,raw,3,0.2776932556713376,0.3008894087114197,0.38661773744985556,177.28555275783066,0.8966942148760331,1.5009725478380662,0.012855831037649219
CONTROL,92302,raw,6,0.30273540034350144,0.3314261860664398,0.4155283461864134,190.54266114668414,0.8884297520661157,1.813533230314758,0.021120293847566574
CONTROL,92302,raw,9,0.3474404470804386,0.38071891495594323,0.47613508949637645,218.33419512914233,0.8966942148760331,2.071285147497883,0.02662993572084481
CONTROL,92302,raw,12,0.3862911771992165,0.4233546235473467,0.5371582042912267,246.3166583983366,0.9008264462809917,2.2699341589081183,0.03168044077134986
CONTROL,92302,raw,15,0.40175950157963347,0.44217325139309194,0.5674233958851537,260.19491772612264,0.9380165289256198,2.4567336301086384,0.028466483011937556
CONTROL,92302,raw,18,0.3811685257796926,0.4242106232224086,0.5294687663404629,242.7906270618281,0.9462809917355371,2.6038445401867114,0.03305785123966942
CONTROL,92302,raw,21,0.39861793442863425,0.44372370103221004,0.5491444405570428,251.81300871037254,0.9504132231404959,2.722393788165056,0.0303030303030303
CONTROL,92302,raw,24,0.45363934404449013,0.5002240349446214,0.6430450655087326,294.8716234254443,0.9380165289256198,2.7964448162996707,0.030303030303030304
CONTROL,92302,cal,3,0.27118086757177096,0.3001760588718735,0.3660826265409146,167.86907199197563,0.9008264462809917,1.8762156847975824,0.0004591368227731864
CONTROL,92302,cal,6,0.30273540034350144,0.3314261860664398,0.4155283461864134,190.54266114668414,0.8884297520661157,1.813533230314758,0.021120293847566574
