arm,seed,mode,group,crps,pinball,nmae,raw_mae,coverage,width,negative_mass
CONTROL,92302,cal,2019-02,0.45593611950163015,0.4897944921930379,0.6291149701867852,288.48390654155185,0.8125,2.1361174997179875,0.0
CONTROL,92302,cal,2019-03,0.4617838944551869,0.5008533770875538,0.6493845333622469,297.77861902790687,0.8104838709677419,2.3727323952350092,0.002240143369175627
CONTROL,92302,cal,2019-04,0.28834963774139133,0.31721448454549556,0.4020715861442233,184.37199459075927,0.875,1.792002689641277,0.02083333333333333
CONTROL,92302,cal,2019-05,0.3630543964931417,0.391561783708972,0.4830116885163618,221.48749499167167,0.8185483870967742,1.7544337651021276,0.003136200716845878
CONTROL,92302,cal,2019-06,0.3906876806925122,0.42462412153468443,0.5607930687840723,257.1545471191406,0.8375,2.06880577368882,0.002777777777777778
CONTROL,92302,cal,2019-07,0.28141977521984546,0.30626653553192906,0.37854380649512903,173.5832101760372,0.8508064516129032,1.5344035063408967,0.04973118279569892
CONTROL,92302,cal,2019-08,0.271717696137543,0.29790089629590616,0.37250168507262055,170.81256430943807,0.8791666666666667,1.61542916172937,0.02546296296296296
MOMENTS,92301,raw,2019-01,0.43360985345700737,0.47774824794626625,0.6086552456984669,279.1019946067564,0.9274193548387096,2.639637688412541,0.006720430107526881
MOMENTS,92301,raw,2019-02,0.4645575206295767,0.5041843235255239,0.6463073729450353,296.36757128579274,0.8794642857142857,2.429125213042364,0.0
MOMENTS,92301,raw,2019-03,0.4644647103733906,0.5091220999083743,0.6417585702653446,294.28169441223145,0.8588709677419355,2.6433149471660284,0.004480286738351254
MOMENTS,92301,raw,2019-04,0.281522384934223,0.31514463895859246,0.3857118661279093,176.8701608022054,0.9625,2.0700100677664426,0.046296296296296294
MOMENTS,92301,raw,2019-05,0.3751789796376121,0.4082380376686832,0.506795644014295,232.39375015997118,0.8790322580645161,2.016178896479653,0.012096774193548387
MOMENTS,92301,raw,2019-06,0.3777549675279136,0.4163518239433156,0.5399446315653569,247.594388961792,0.925,2.3237543696670673,0.008333333333333333
MOMENTS,92301,raw,2019-07,0.3026297429759345,0.33104210125278216,0.39929166711347475,183.09724841579313,0.9233870967741935,1.7538766935007009,0.08333333333333334
MOMENTS,92301,raw,2019-08,0.2797550784915787,0.31031725458410797,0.37296620226960914,171.02557106018065,0.8958333333333334,1.8560481026915574,0.052777777777777785
MOMENTS,92301,cal,2019-01,0.42970249187511994,0.46813422384811354,0.6033110116184385,276.65136857186593,0.8185483870967742,2.29933144648682,0.0
MOMENTS,92301,cal,2019-02,0.4610313379081184,0.49553125228077877,0.6326810819093788,290.1191654205322,0.8080357142857143,2.115709955901425,0.0
MOMENTS,92301,cal,2019-03,0.46540911944011765,0.5043190275849972,0.640268753349652,293.59853120003976,0.7862903225806451,2.30404194839998,0.00044802867383512545
MOMENTS,92301,cal,2019-04,0.26867274580501327,0.29795548332427063,0.3682238397311049,168.85093631744385,0.8791666666666667,1.8036108318543627,0.03009259259259259
MOMENTS,92301,cal,2019-05,0.3628675853141051,0.3916767689703556,0.4814812874695565,220.78572171734226,0.8185483870967742,1.7576440945584249,0.006720430107526881
MOMENTS,92301,cal,2019-06,0.37250090965598553,0.4060997390338495,0.5266336827236818,241.49058488210042,0.8125,2.023790580686687,0.0009259259259259259
MOMENTS,92301,cal,2019-07,0.2833124985930629,0.30808684908159084,0.3809448977502844,174.6842429253363,0.8508064516129032,1.529759447897113,0.04525089605734767
MOMENTS,92301,cal,2019-08,0.2703017586457469,0.29693519433140847,0.3571077854999816,163.75361245473226,0.8666666666666667,1.6178654910867443,0.024074074074074078
MOMENTS,92302,raw,2019-01,0.4420917829680738,0.4871801125537339,0.6255328679186803,286.84131511565175,0.9233870967741935,2.7118081883466503,0.009856630824372761
MOMENTS,92302,raw,2019-02,0.45634798850703046,0.49619202260402867,0.6292576141803204,288.54931667872836,0.875,2.491683650397035,0.0
MOMENTS,92302,raw,2019-03,0.4600119021866177,0.5058779232639263,0.6532293096687442,299.541660985639,0.8991935483870968,2.7677939515293115,0.0035842293906810036
MOMENTS,92302,raw,2019-04,0.2846420812095583,0.3179480883432176,0.39473853263263375,181.00938517252604,0.9625,2.061352729325441,0.03703703703703704
MOMENTS,92302,raw,2019-05,0.3618253128175745,0.39513011470685105,0.48811414311966445,223.8272518034904,0.8911290322580645,2.0433282543662115,0.006720430107526881
MOMENTS,92302,raw,2019-06,0.3843424984097555,0.4240247546159358,0.5581984867608349,255.96478818257648,0.925,2.411779872461625,0.0125
