arm,seed,mode,series,origin,crps,pinball,nmae,raw_mae,coverage,width,negative_mass,native_pinball
FULL9,92301,raw,0,7848,0.1329982893002573,0.14757181836233968,0.20354653426693542,1.8459037808934227,0.796875,0.4667612102192996,0.47395833333333337,
FULL9,92301,raw,0,7872,0.21690885890955286,0.24090121761529612,0.33394185810415467,3.028420703369193,0.75,0.4483461481934969,0.3622685185185185,
FULL9,92301,raw,0,7896,0.18850474982485824,0.20928378703535983,0.3015817943642394,2.7349567825876875,0.703125,0.4410581785661254,0.47048611111111105,
FULL9,92301,raw,0,7920,0.11922687485888703,0.13126094316764575,0.18413774659526932,1.6698911817366024,0.84375,0.435094320353871,0.3759645061728395,
FULL9,92301,raw,0,7944,0.07241866879199946,0.07884443259792798,0.09982696434152546,0.9053014416422229,0.828125,0.41514423747450896,0.4878472222222222,
FULL9,92301,raw,0,7968,0.05615530740834959,0.06022586210651114,0.06643324866224014,0.6024636347865453,0.9375,0.4252754633446585,0.39872685185185186,
FULL9,92301,raw,0,7992,0.08323771121200634,0.09081327525998203,0.11216020873842383,1.017148015424027,0.890625,0.46053989074809754,0.441358024691358,
FULL9,92301,raw,0,8016,0.08990029614422418,0.09872743718841269,0.1336065453013115,1.2116385474801064,0.9375,0.4739014002865164,0.3329475308641975,
FULL9,92301,raw,0,8040,0.06685331077108661,0.07256647545514017,0.09462954425587801,0.8581675642635673,1.0,0.47407039690156766,0.37326388888888884,
FULL9,92301,raw,0,8064,0.060872192679426174,0.0655084507085891,0.07860634150923992,0.712857841164805,0.96875,0.43723066170894737,0.3516589506172839,
FULL9,92301,raw,0,8088,0.07862977314801727,0.08585996090102913,0.10882951882546107,0.9869429661193863,0.90625,0.4296090256518458,0.40682870370370366,
FULL9,92301,raw,0,8112,0.08064035001906078,0.0876775402928176,0.11526851801413895,1.0453363599954173,0.9375,0.4461758114887192,0.40586419753086417,
FULL9,92301,raw,0,8136,0.07746340462739029,0.08467874646538939,0.12036444119314348,1.0915497917158064,0.984375,0.44955165442320866,0.4155092592592593,
FULL9,92301,raw,0,8160,0.07078273224326881,0.0774921806282171,0.10491813616403944,0.9514717847050633,0.984375,0.4391324402037421,0.38271604938271603,
FULL9,92301,raw,0,8184,0.0847167676572845,0.0932307202886922,0.13181713789988125,1.1954109369253274,0.90625,0.4004551589420561,0.3620756172839506,
FULL9,92301,raw,0,8208,0.12837763924756107,0.14242796287435142,0.20663848585667915,1.8739437824115157,0.828125,0.38934995851858323,0.3667052469135802,
FULL9,92301,raw,0,8232,0.08619866895546975,0.09455850488397333,0.11733100138647888,1.0640404163859785,0.921875,0.3901627553421003,0.3748070987654321,
FULL9,92301,raw,0,8256,0.05208396961547851,0.05645501755734867,0.06644910857926145,0.6026074637193233,0.96875,0.3910674160569344,0.38695987654320985,
FULL9,92301,raw,0,8280,0.05078195813877606,0.05467292322717083,0.06299772165842156,0.5713078486733139,0.921875,0.38630989016340234,0.410108024691358,
FULL9,92301,raw,0,8304,0.0492008650983306,0.053182330623548324,0.04932098950869914,0.44727757875807583,0.984375,0.41129190179791675,0.37191358024691357,
FULL9,92301,raw,0,8328,0.051230366969373616,0.05496442781781177,0.05329663101126283,0.48333150474354625,0.953125,0.43431187521544856,0.39988425925925924,
FULL9,92301,raw,0,8352,0.0508257280961151,0.05440206129848729,0.0517251437810593,0.46908014826476574,1.0,0.42687522517600796,0.39679783950617287,
FULL9,92301,raw,0,8376,0.09539829213890605,0.10463605212556243,0.14710641750891543,1.3340649264864624,0.96875,0.44351791138105534,0.3499228395061728,
FULL9,92301,raw,0,8400,0.19174442296745764,0.21168722136920315,0.29990317734675176,2.719733897509286,0.75,0.4265102556826905,0.3055555555555555,
FULL9,92301,raw,0,8424,0.2360265782406978,0.2602884340519722,0.35112931187605856,3.184288677322911,0.75,0.43088491992331024,0.37094907407407407,
FULL9,92301,raw,0,8448,0.15404122683045612,0.16891613613115947,0.21829157426756504,1.9796222211734857,0.828125,0.39694426955584616,0.36304012345679015,
FULL9,92301,raw,0,8472,0.0658443486925772,0.07226244471762956,0.09833833166513195,0.8918014687951654,0.953125,0.3915602510661223,0.4160879629629629,
FULL9,92301,raw,0,8496,0.14636729625357234,0.16102111821723636,0.21968326555517761,1.9922430610167794,0.828125,0.39207042901511036,0.3487654320987654,
FULL9,92301,raw,0,8520,0.1969427227616981,0.21716716164549815,0.3004017086884505,2.7242549319344107,0.78125,0.41072114576822116,0.40682870370370366,
FULL9,92301,raw,0,8544,0.12585158709142708,0.13948100692894724,0.18921713401613324,1.7159546555194538,0.859375,0.4259744603478852,0.2822145061728395,
FULL9,92301,raw,0,8568,0.06343322407310197,0.06899216952020623,0.08863403096280528,0.8037960138171911,0.984375,0.4153263590870626,0.34085648148148145,
FULL9,92301,raw,0,8592,0.07294365250773156,0.08073598203565029,0.1113057041391136,1.009398763999343,0.96875,0.4159215449226005,0.31192129629629634,
FULL9,92301,raw,0,8616,0.11727092913484649,0.12962727317029502,0.17944856813116822,1.627366398461163,0.921875,0.4240059448700778,0.3915895061728395,
FULL9,92301,raw,1,7008,0.07551076153744565,0.08233578545716377,0.10521442035315025,0.9037163306493312,0.96875,0.46159848462821074,0.3518518518518518,
FULL9,92301,raw,1,7032,0.10915521295256946,0.12035908697428338,0.16961763890378395,1.4568937387957703,0.90625,0.4859115027600853,0.3732638888888889,
FULL9,92301,raw,1,7056,0.2004379922088585,0.2211063684624927,0.31487275241923507,2.704530875926139,0.78125,0.49074335919956275,0.3306327160493827,
FULL9,92301,raw,1,7080,0.26714745245908955,0.296530341751176,0.4142299127507076,3.5579375482921023,0.703125,0.5246655155670645,0.294945987654321,
FULL9,92301,raw,1,7104,0.1776106839283888,0.19600495003269008,0.2530306748415353,2.173351829929743,0.84375,0.5116824589963487,0.32233796296296297,
