candidate,baseline,seed,mode,metric,candidate_score,baseline_score,gain_pct
CONTEXT3,F0_MEDIAN,92301,cal,pinball,0.12050282157224276,0.12465883106300557,3.333906996658953
CONTEXT3,F0_MEDIAN,92301,cal,nmae,0.16096778712214543,0.1667649632979875,3.4762554802853063
CONTEXT3,F0_MEDIAN,92302,cal,crps,0.11001893307008942,0.11346852444862325,3.0401306400135275
CONTEXT3,F0_MEDIAN,92302,cal,pinball,0.1205382492720104,0.12465883106300557,3.3054872694197934
CONTEXT3,F0_MEDIAN,92302,cal,nmae,0.16133789350628577,0.1667649632979875,3.254322541362753
CONTEXT3,CHRONOS2,92301,raw,crps,0.10991856732961797,0.11635243536241638,5.529637615884964
CONTEXT3,CHRONOS2,92301,raw,pinball,0.12050282157224276,0.1256717357357811,4.11302838563935
CONTEXT3,CHRONOS2,92301,raw,nmae,0.16096778712214543,0.16907720866586726,4.796283075472207
CONTEXT3,CHRONOS2,92302,raw,crps,0.11001893307008942,0.11635243536241638,5.443377504389368
CONTEXT3,CHRONOS2,92302,raw,pinball,0.1205382492720104,0.1256717357357811,4.084837719249479
CONTEXT3,CHRONOS2,92302,raw,nmae,0.16133789350628577,0.16907720866586726,4.5773852198352944
CONTEXT3,CHRONOS2,92301,cal,crps,0.10991856732961797,0.11635243536241638,5.529637615884964
CONTEXT3,CHRONOS2,92301,cal,pinball,0.12050282157224276,0.1256717357357811,4.11302838563935
CONTEXT3,CHRONOS2,92301,cal,nmae,0.16096778712214543,0.16907720866586726,4.796283075472207
CONTEXT3,CHRONOS2,92302,cal,crps,0.11001893307008942,0.11635243536241638,5.443377504389368
CONTEXT3,CHRONOS2,92302,cal,pinball,0.1205382492720104,0.1256717357357811,4.084837719249479
CONTEXT3,CHRONOS2,92302,cal,nmae,0.16133789350628577,0.16907720866586726,4.5773852198352944
FULL9,F0_NATIVE,92301,raw,crps,0.10998070021858683,0.11472769573134443,4.137619501984546
FULL9,F0_NATIVE,92301,raw,pinball,0.12077572350254412,0.1261566493089507,4.265273242339374
FULL9,F0_NATIVE,92301,raw,nmae,0.16076661769687944,0.16820316278987701,4.42116840709319
FULL9,F0_NATIVE,92302,raw,crps,0.11002468494332578,0.11472769573134443,4.099281135247068
FULL9,F0_NATIVE,92302,raw,pinball,0.12078830370912609,0.1261566493089507,4.255301348942641
FULL9,F0_NATIVE,92302,raw,nmae,0.160916443403664,0.16820316278987701,4.332094156467036
FULL9,F0_NATIVE,92301,cal,crps,0.10998070021858683,0.11472769573134443,4.137619501984546
FULL9,F0_NATIVE,92301,cal,pinball,0.12077572350254412,0.1261566493089507,4.265273242339374
FULL9,F0_NATIVE,92301,cal,nmae,0.16076661769687944,0.16820316278987701,4.42116840709319
