symbol,n_train,n_first,n_second,ar_order,xi,theta,threshold,n_exceedances,se,se_resid,kurtosis,xi_first,xi_second,theta_first,theta_second,se_first,se_second
GS,3020,1510,1510,0,0.2814321898462462,0.1986308535617084,3.2565072344996473,151,0.9432044966446627,0.9432044966446627,16.01535134726703,0.3729915875890032,0.054710415435806535,0.45487216301286654,0.6656326530612245,0.9368245216024713,0.936986866504668
HD,3020,1510,1510,0,-0.0734504673030815,0.36727513338654794,3.215014228331434,151,0.944785115933399,0.9447851159333989,5.268709371897236,-0.22820143244242616,0.09359096025772409,0.20473014128582206,0.7723255626685993,0.9328812027792472,0.9339496897482474
IBM,3020,1510,1510,0,0.06507943430347451,0.6412431695729152,3.0556953142501015,151,0.9458246835627888,0.9458246835627889,5.939033998777763,-0.08325830428885617,0.2968220456310561,0.5252920161185889,0.7804564989017286,0.9388136982978834,0.9387913661097554
INTC,3020,1510,1510,0,0.13248572567938577,0.579707508385377,3.02858788209174,151,0.9408446023125265,0.9408446023125265,5.493891101456024,0.12594002507034388,0.11211906820636508,0.6186595939583732,0.8136580878420299,0.9317257340373462,0.9353014363021751
INTU,3020,1510,1510,0,0.1940023334168906,0.5313911737357843,3.2760191266078085,151,0.9382320665466098,0.9382320665466098,8.877490429134024,0.05266133341953716,0.3469319003663241,0.560387229368201,0.5875927170478861,0.9308914592266561,0.9374596810304981
ISRG,3020,1510,1510,0,0.3043499142959926,0.3981388754631867,3.2034749494410426,151,0.9426063838595407,0.9426063838595408,17.89418659439787,0.3559288012714594,0.4138904041795076,0.5250799752101221,0.8365870620653457,0.9362171560712238,0.9425760790741065
JNJ,3020,1510,1510,0,0.12917272061307672,0.5688266516731556,3.0500380471850246,151,0.9431390278528229,0.9431390278528229,11.972824224257504,0.1399965917837205,-0.30807824889685187,0.5823836953029862,0.5314733331963873,0.9339891329864481,0.9354581707592947
JPM,3020,1510,1510,0,0.3222762563541153,0.33707364770517,3.9216831384797364,151,0.9401372165699526,0.9401372165699526,16.33555512370318,0.23241048697519973,0.0639939532405261,0.4750388237996784,0.47685572226866724,0.9418548157193583,0.9430531260733469
KO,3020,1510,1510,0,0.06803004160353102,0.593634947557894,3.1414853891724164,151,0.941839668988703,0.941839668988703,12.931734350341133,0.03470610280992752,0.11367829281033776,0.4041252816044977,0.8923848848008773,0.9422007203640272,0.9355304308325649
LIN,3020,1510,1510,0,0.11056044021241629,0.48230885936278795,3.2732705224169734,151,0.9450875335486161,0.945087533548616,9.879028028248632,0.15975808625197874,-0.11237222245770381,0.36879984360717927,0.6122074777218133,0.9436524793133818,0.9327542538407257
LLY,3020,1510,1510,0,0.19820116808501573,0.6192555798855212,3.1080639164804413,151,0.9408283233898521,0.9408283233898521,9.804815733644922,0.2398439938243408,0.19372832028982012,0.595733069418917,0.7987359018687742,0.9367025079518831,0.9356419952254981
LMT,3020,1510,1510,0,0.17070454213987507,0.415498134438217,2.848977571039632,151,0.938389752824473,0.938389752824473,7.036305015792239,0.1423152175227242,0.11595521352473685,0.4137777777777778,0.7729006337823043,0.9340634156691873,0.9399457409463692
LOW,3020,1510,1510,0,0.054123871243618914,0.46134420666978604,2.9712576477603916,151,0.9431448717140737,0.9431448717140737,5.173481807902094,-0.0861791041453171,0.1825586318507681,0.39988949806621615,0.9309539349224366,0.9305809330463891,0.9351846732273571
LRCX,3020,1510,1510,0,0.07710496851868572,0.6183220753117532,3.0843909633533286,151,0.9431065504219776,0.9431065504219776,3.4863943514024243,0.20400735201792225,-0.001980844044841879,0.5407468048861224,0.7386908291538511,0.9369590876485837,0.9318055119928792
MCD,3020,1510,1510,0,0.2246320008342968,0.4450567166158734,3.0578257081574702,151,0.942765114434989,0.942765114434989,5.058615939106097,0.17814597823016548,0.14673485077528076,0.539552657871515,0.5044498667565976,0.9407755855619957,0.9305464011834816
MDLZ,3020,1510,1510,0,0.07490546495226377,0.6330159004564744,3.044716547179187,151,0.9419189353058053,0.9419189353058051,4.902311623760812,0.10761488615964843,0.10232703078398592,0.679493409652863,0.6732588395429078,0.9420753260493342,0.9413572840668214
MDT,3020,1510,1510,0,0.3987766840204868,0.5702762698081276,2.9559849318219,151,0.9415438248156558,0.9415438248156559,11.891413019748738,0.3778655036967348,0.2703109100973726,0.467443293267221,0.6968000573723465,0.9390192010081158,0.9331492435299452
MMM,3020,1510,1510,0,-0.003697044003292709,0.5701487185579592,3.364481718929774,151,0.9410280563122695,0.9410280563122695,6.585498523879362,0.03756849459559032,0.03372398989709497,0.339568350717385,0.6757824738757148,0.9339800551610666,0.9332295739904943
MO,3020,1510,1510,0,0.22720800704766583,0.6465324521682373,2.950285780040258,151,0.9453244903300053,0.9453244903300053,16.57926789501651,0.27915891440979956,-0.019939652735306776,0.5079447372624182,0.728035737600955,0.9433530148519838,0.9417792752394296
