origin_time,ALL,RECENT_OR_PLANNED_CHANGE,RECENT_PAST_CHANGE,CHANGE_IN_PLAN,NO_RECENT_OR_PLANNED_CHANGE,MULTIPLE_CHANGES_IN_CONTEXT,past_changes_in_context,plan_changes,last_observed_change_age_s,recent_window_s,age_resolution_s,no_change_does_not_prove_thermal_settling,PERSISTENCE,CURRENT_PLAN_TUNED,CURRENT_PLAN_A1,HISTORY_SUMMARY_PLAN_TUNED,HISTORY_SUMMARY_PLAN_A1,HISTORY_LAGS_PLAN_TUNED,HISTORY_LAGS_PLAN_A1
1668570.0,True,False,False,False,True,True,2,0,3540,900,30,True,0.194030838004871,0.10829324782943103,0.12778572630979473,0.046589228143288135,0.05468803650229195,0.06214348595048212,0.06526423397742179
1669170.0,True,False,False,False,True,False,1,0,4140,900,30,True,0.17966454992203845,0.08647063422462224,0.0824213895497716,0.07397190891672002,0.06994165996325895,0.10733486874036657,0.10896847084661658
1669770.0,True,False,False,False,True,False,1,0,4740,900,30,True,0.16735811670694525,0.08807468864362704,0.07737424521656257,0.07786072100321727,0.06639755882548001,0.11076258836812751,0.11101375787380145
1670370.0,True,False,False,False,True,False,1,0,5340,900,30,True,0.15704943193470816,0.09154897238741076,0.0763182160342391,0.08356778845245381,0.06627983138996,0.14161807564842094,0.14067655297728265
1670970.0,True,False,False,False,True,False,1,0,5940,900,30,True,0.14883081473075588,0.09868340267388097,0.08199387241554443,0.08873515108205651,0.0688447980187334,0.1404174343859154,0.14233667710110087
1671570.0,True,True,False,True,False,False,1,1,6540,900,30,True,0.34665311502812224,0.08957370711286786,0.08225187037335029,0.07130868896426061,0.0608900841068305,0.145187834480195,0.15241924930197115
1672170.0,True,True,False,True,False,False,1,1,7140,900,30,True,1.2235225046675244,0.08118740347537899,0.07420371578936055,0.024144363236058553,0.01642569456498298,0.1554459716822066,0.1583702778791519
1672770.0,True,True,True,False,False,False,1,0,540,900,30,True,0.050824699942116545,0.06616905544887951,0.11900366158081396,0.027881069380574292,0.06004044280513199,0.17804884446216343,0.19014536024810696
1673370.0,True,False,False,False,True,False,1,0,1140,900,30,True,0.029697402369384916,0.05448907642094885,0.018970435599080324,0.05489887959594171,0.022853410095579344,0.17058028090951893,0.1780905587886385
1673970.0,True,False,False,False,True,False,1,0,1740,900,30,True,0.013331604594975488,0.07193285063365616,0.0410223169171843,0.12824664934992142,0.09401119488685859,0.1640913750924047,0.16697239847397896
1674570.0,True,False,False,False,True,False,1,0,2340,900,30,True,0.0034865390641205824,0.08647073739717825,0.060356877630482586,0.10795593998812289,0.10483320743488207,0.18146669729964818,0.1771733518115885
1675170.0,True,False,False,False,True,False,1,0,2940,900,30,True,0.0025746101228700507,0.09409960412632662,0.08087708517829431,0.11777912081247639,0.12432903995171311,0.1864954469127478,0.1847216736409905
1675770.0,True,False,False,False,True,False,1,0,3540,900,30,True,0.006530319660237182,0.09914970147369408,0.08205004234119997,0.11824289271267503,0.11787511420322781,0.19243690151650034,0.19005471280321445
1676370.0,True,False,False,False,True,False,1,0,4140,900,30,True,0.009686696518245223,0.10329493204377324,0.08764896800412127,0.11937616116387631,0.11602474901117527,0.18055419145920268,0.1774523802898803
1676970.0,True,True,False,True,False,False,1,1,4740,900,30,True,0.4343133511055479,0.05546601454004379,0.05464055880278238,0.06365377371156455,0.0700797028007912,0.11682016098831127,0.12143869591733202
1677570.0,True,True,False,True,False,False,1,1,5340,900,30,True,1.7019626278348141,0.07978369165926248,0.08710706669761521,0.08009896880839165,0.08078266921712043,0.056816375519732294,0.05644182877656666
1678170.0,True,True,True,False,False,True,2,0,540,900,30,True,0.20709726040891308,0.01766325546260532,0.0673292201642937,0.0587653054456041,0.022950100051248985,0.06339263850259158,0.08025711579133675
1678770.0,True,False,False,False,True,True,2,0,1140,900,30,True,0.16389905858720605,0.04720364420373547,0.09086732823640584,0.07897766836342347,0.13391419749146583,0.023721489565612805,0.023949885979256656
1679370.0,True,False,False,False,True,True,2,0,1740,900,30,True,0.12536689444253094,0.027672076467837314,0.06568632368739599,0.03600775761551063,0.09012139952227281,0.032617251613781185,0.03373408624083254
1679970.0,True,False,False,False,True,False,1,0,2340,900,30,True,0.09426518102609786,0.006786391209036916,0.021230287110766237,0.04345939936090417,0.041998266450247,0.0077729296045655856,0.00839353406660166
1680570.0,True,False,False,False,True,False,1,0,2940,900,30,True,0.0687971947367051,0.02105175643119613,0.019957430470361713,0.028982702418574036,0.015023267338009797,0.0168412587862349,0.015389433479602607
1681170.0,True,False,False,False,True,False,1,0,3540,900,30,True,0.04709917826256931,0.03300064511976567,0.03567739450366692,0.025999855302112945,0.009953712176951512,0.026562652911642694,0.02446646018619655
1681770.0,True,False,False,False,True,False,1,0,4140,900,30,True,0.02745420186813021,0.04909662465623039,0.056612575190471644,0.008433524564816252,0.01229035533687958,0.025472100433764428,0.027706185582640805
1682370.0,True,False,False,False,True,False,1,0,4740,900,30,True,0.009032790329532267,0.0634237053491025,0.08457018872433271,0.010700640575493026,0.03236534647840017,0.033886194167486866,0.041686705973777785
1682970.0,True,False,False,False,True,False,1,0,5340,900,30,True,0.008298737167319815,0.07992768661119953,0.11107713204548304,0.021588087367791785,0.05165948670801678,0.02371967121857589,0.03609797187744448
1683570.0,True,False,False,False,True,False,1,0,5940,900,30,True,0.024741924654694002,0.09662044581446973,0.13550957883982165,0.03500378950662934,0.0698554244057372,0.06276289367719225,0.07326998692890546
1684170.0,True,True,False,True,False,False,1,1,6540,900,30,True,0.8725292738695392,0.23912321903921452,0.26731746427640435,0.16917188994211757,0.19062434712068732,0.209498581326352,0.2144746814315397
1684770.0,True,True,False,True,False,False,1,1,7140,900,30,True,3.300451911923511,0.5392796037101183,0.5851593522421656,0.43312975214459093,0.4772448228641622,0.5229606124132753,0.5415827523819587
1685370.0,True,True,True,False,False,False,1,0,540,900,30,True,0.512244810492454,0.07529153260712747,0.12279427546476805,0.047948471189454264,0.12116956309475882,0.0822572196490152,0.10895837002366307
1685970.0,True,False,False,False,True,False,1,0,1140,900,30,True,0.463975306144287,0.191499646915463,0.4005871716525898,0.1755227303684535,0.40557995800051383,0.10431862410194223,0.14658282247037657
1686570.0,True,False,False,False,True,False,1,0,1740,900,30,True,0.4234664660782073,0.15386695797280178,0.285880895438216,0.2011693569484085,0.31735571546513675,0.13122265049342824,0.16389689895218756
1687170.0,True,False,False,False,True,False,1,0,2340,900,30,True,0.39419824506467194,0.12159488038017609,0.20061259503839324,0.1419575150847398,0.23451335802572734,0.06632016809970764,0.09644190331517659
1687770.0,True,False,False,False,True,False,1,0,2940,900,30,True,0.37123808205520276,0.11115572226648661,0.1541320926046448,0.16383443033259368,0.21900176185054457,0.04891410898355086,0.07366541162506147
1688370.0,True,False,False,False,True,False,1,0,3540,900,30,True,0.35198037014912037,0.15892767283220716,0.2200884781143202,0.1933981000796886,0.2683280920066276,0.07920231405730267,0.11372884413837407
1688970.0,True,False,False,False,True,False,1,0,4140,900,30,True,0.3370379851193756,0.1701163136680331,0.23566831909443522,0.20085591773589234,0.2795765658889195,0.11835901966258765,0.14832808814306872
1689570.0,True,True,False,True,False,False,1,1,4740,900,30,True,3.0888524811750284,0.8615024193035291,0.885278667620535,0.8661791015240188,0.8917907885060515,0.8550432000692619,0.8627212362073844
1690170.0,True,True,False,True,False,False,1,1,5340,900,30,True,9.836319190588936,3.1117491042380587,3.074171047799439,3.094541307464531,3.0403224555234942,3.1134452170107596,3.0951296207539087
1690770.0,True,True,True,False,False,True,2,0,540,900,30,True,0.0,0.018933320436633493,0.027665756489187742,0.02004933427370285,0.023572577933725823,0.09825373232735804,0.07924583246172763
1691370.0,True,True,False,True,False,True,2,1,1140,900,30,True,2.153719489981364,0.6370110928914755,0.6335121292955478,0.6291578054283623,0.6374592559988533,0.618297325059613,0.636974671541778
1691970.0,True,True,False,True,False,True,2,1,1740,900,30,True,6.085744396349658,1.981852558205253,1.9966400274082028,1.9735441585176754,1.9879161926759064,1.82143640840265,1.8315348270021388
1692570.0,True,True,True,False,False,True,2,0,540,900,30,True,0.14541832562394272,0.24326400277140958,0.17215144387297035,0.06515100354722562,0.3245226471664997,0.08880675354687734,0.08450651469093487
1693170.0,True,False,False,False,True,True,2,0,1140,900,30,True,0.04542482905199184,0.1594112790140836,0.08015529652467611,0.08750322229582821,0.10825231002057384,0.08090532252774665,0.03198263978298807
1693770.0,True,False,False,False,True,True,2,0,1740,900,30,True,0.06676576352536662,0.13325934555988017,0.12537912448178948,0.18597246807121526,0.16914389984849929,0.061878556013779944,0.06523930883206504
1694370.0,True,False,False,False,True,True,2,0,2340,900,30,True,0.06352664285024995,0.15247745418377007,0.2052991076490495,0.06385461278536203,0.028474819886586525,0.16113736529915362,0.1392281927706468
1694970.0,True,False,False,False,True,True,2,0,2940,900,30,True,0.05646894694240624,0.10622287525399657,0.13988938589877004,0.05390107594462658,0.037335913083645283,0.12327440407756285,0.10237021072378524
1695570.0,True,False,False,False,True,True,2,0,3540,900,30,True,0.04784780244308043,0.039335019950029464,0.08997813228583026,0.05796390662782187,0.122869363071455,0.08407565991117659,0.13260179520988422
1696170.0,True,False,False,False,True,True,2,0,4140,900,30,True,0.03781599008831146,0.04851263476142928,0.10187151153874842,0.023814436297753143,0.08426977043078712,0.01665297697148844,0.019497389539693207
1696770.0,True,True,False,True,False,True,2,1,4740,900,30,True,2.4526323006799164,0.97221343556072,0.9759982842146901,0.9644866867197758,0.966238758011256,1.0066672221658943,1.006949183371946
1697370.0,True,True,False,True,False,True,2,1,5340,900,30,True,7.890886006050054,3.873733040371394,3.908752789251582,4.03278242135404,4.0439061752983285,3.9732743004148916,4.000478809897555
1697970.0,True,True,True,False,False,True,2,0,540,900,30,True,0.0,0.008167705923921176,0.039135244874061455,0.0822732146160907,0.09493201607725724,0.17925085048428666,0.0782851298810499
1698570.0,True,True,False,True,False,True,2,1,1140,900,30,True,2.854427309410295,0.9513784050098707,0.9555922435119897,0.9364102605370306,0.9642841946623377,0.9077169960866134,0.9284937420502142
1699170.0,True,True,False,True,False,True,2,1,1740,900,30,True,9.1979970865985,3.5993564180504563,3.6269463027693556,3.3117636800086037,3.25558435213311,3.2060507610674582,3.2050699814073065
1699770.0,True,True,True,False,False,True,2,0,540,900,30,True,0.212261139078214,0.3980051300290313,0.14653531373122253,0.5012651733954802,0.2497960800455966,0.32912546009427124,0.3376607576620548
1700370.0,True,False,False,False,True,True,2,0,1140,900,30,True,0.2806373776485714,0.12905658644940368,0.13339360936818898,0.13986615021303048,0.0941974351597139,0.20485715538349042,0.13423904348665588
1700970.0,True,False,False,False,True,True,2,0,1740,900,30,True,0.2419699958804339,0.17576571598726975,0.13653662077210432,0.0771328018403248,0.07144281831099684,0.12008249871558405,0.14531740493501008
1701570.0,True,False,False,False,True,True,2,0,2340,900,30,True,0.20033084745851207,0.21302461784733281,0.2752347303367742,0.15049723923789315,0.2121250427822133,0.3264372970021517,0.30702386724109376
1702170.0,True,True,False,True,False,True,2,1,2940,900,30,True,0.5458755836625547,0.12429929989495084,0.22186948603227846,0.08253314576906329,0.1860210706662239,0.2366177564189987,0.23252181806423852
1702770.0,True,True,False,True,False,True,2,1,3540,900,30,True,1.6151125426079338,0.17285491258897803,0.19725946928212465,0.07462421132118115,0.09802602486871402,0.198314718198687,0.2565878301202019
1703370.0,True,True,True,False,False,True,3,0,540,900,30,True,0.30627397592576244,0.028878811177474973,0.02604643543465007,0.15536755082246145,0.149870952260477,0.07931906515785651,0.12647977132834473
1703970.0,True,False,False,False,True,True,3,0,1140,900,30,True,0.25642670174776944,0.04197350652317103,0.059205418875611336,0.0889735897130341,0.08016612916333278,0.13627227398643146,0.17429239607987862
1704570.0,True,False,False,False,True,True,3,0,1740,900,30,True,0.21359004128780726,0.05903024439855737,0.10032689896654763,0.08853238272590337,0.18097716292934365,0.16650183907118313,0.22609699290924634
1705170.0,True,False,False,False,True,True,2,0,2340,900,30,True,0.17989103680238258,0.021433477177532724,0.03706630656484814,0.11123852832530663,0.13717770126211992,0.15292899025413173,0.15961437436003506
1705770.0,True,False,False,False,True,True,2,0,2940,900,30,True,0.15355189902009178,0.06048110999785005,0.025119482892275377,0.08095147852793806,0.0903491311850909,0.08322829980685924,0.07445005160491482
1706370.0,True,False,False,False,True,True,2,0,3540,900,30,True,0.1325802186747372,0.1807386136965628,0.19899527472654768,0.057902098452569814,0.08444642953262284,0.060773242975731515,0.06510890987816917
1706970.0,True,False,False,False,True,False,1,0,4140,900,30,True,0.11553596458452375,0.14810883333311534,0.13332353980447162,0.11271796539649397,0.11253291671797001,0.13368885278852077,0.13529775066717775
1707570.0,True,True,False,True,False,False,1,1,4740,900,30,True,3.4281316700054996,1.2047504548864008,1.2117360988106252,1.2046467371465706,1.2135300474256894,1.1961925312673296,1.1990999033651841
1708170.0,True,True,False,True,False,False,1,1,5340,900,30,True,11.007624221045242,4.078402022926457,4.110524143037462,4.138510064551743,4.155694069078383,4.057519788748749,4.0619874200263855
1708770.0,True,True,True,False,False,True,2,0,540,900,30,True,0.0,0.03225396602641884,0.051758557188298936,0.08947817821654099,0.07271462316689205,0.04434885383069134,0.02772036033069867
1709370.0,True,False,False,False,True,True,2,0,1140,900,30,True,0.0,0.05676895356523346,0.04206473810273792,0.1446135950026303,0.13271536665346087,0.08122354371192272,0.0826610230636599
1709970.0,True,False,False,False,True,True,2,0,1740,900,30,True,0.0,0.15399651444858667,0.14985957799422067,0.2601467790356859,0.3009067759377634,0.3319731761058108,0.3345442751918919
1710570.0,True,False,False,False,True,False,1,0,2340,900,30,True,0.0,0.052135949298017674,0.06621022664575851,0.20958865476299024,0.24287735246275208,0.06669175315015537,0.05272677237598108
1711170.0,True,False,False,False,True,False,1,0,2940,900,30,True,0.0,0.05307067758510774,0.03527472547819078,0.1804665820962195,0.17042725037901693,0.024640673509717697,0.03529141235955535
1711770.0,True,False,False,False,True,False,1,0,3540,900,30,True,0.0,0.059467019420571886,0.0716816765662088,0.21507807650594374,0.2380731928141529,0.04409465537984071,0.1093652108500597
1712370.0,True,False,False,False,True,False,1,0,4140,900,30,True,0.0,0.0483743919097833,0.01908070229009695,0.11648871513269038,0.1497248377232059,0.01940297028206146,0.03963322826037749
1712970.0,True,False,False,False,True,False,1,0,4740,900,30,True,0.0,0.06678064807986933,0.06927977168517145,0.08608269740269255,0.09022111489321863,0.0626000645901513,0.0803599060472815
1713570.0,True,False,False,False,True,False,1,0,5340,900,30,True,0.0,0.09051807075513428,0.10504289092341233,0.04632943486423642,0.03413298347027573,0.16480238905524136,0.1683477913593246
1714170.0,True,False,False,False,True,False,1,0,5940,900,30,True,0.0,0.11421229567427342,0.1272675662238176,0.02857587349740432,0.02827591097340966,0.12156669506786102,0.10649704093309159
1714770.0,True,False,False,False,True,False,1,0,6540,900,30,True,0.0,0.15754665837580434,0.156297530237066,0.09586601665040462,0.09454278341283194,0.16763276886368697,0.14183762475087558
1715370.0,True,False,False,False,True,False,1,0,7140,900,30,True,0.0,0.2634147660853595,0.23660644198911882,0.21873345817186493,0.20365860286098042,0.3880336251034085,0.3637099615701667
1715970.0,True,False,False,False,True,False,0,0,,900,30,True,0.0,0.3318330212841943,0.35647904328592783,0.3686330160232311,0.3989547360090531,0.3550251332142921,0.36766486521489505
1716570.0,True,False,False,False,True,False,0,0,,900,30,True,0.0,0.3318330212841943,0.35647904328592783,0.3686330160232311,0.3989547360090531,0.3550251332142921,0.36766486521489505
1717170.0,True,False,False,False,True,False,0,0,,900,30,True,0.0,0.3318330212841943,0.35647904328592783,0.3686330160232311,0.3989547360090531,0.3550251332142921,0.36766486521489505
1717770.0,True,False,False,False,True,False,0,0,,900,30,True,0.0,0.3318330212841943,0.35647904328592783,0.3686330160232311,0.3989547360090531,0.3550251332142921,0.36766486521489505
1718370.0,True,True,False,True,False,False,0,1,,900,30,True,2.570710550216891,0.9620307264152833,0.9773852262149376,1.0200482327420464,1.0413706242629757,0.9876006427257171,1.004475996546205
1718970.0,True,True,False,True,False,False,0,1,,900,30,True,5.972916313231349,0.9599403698458521,0.9759727176360153,0.949218543169881,0.9680357188253291,0.9499096059124724,0.9543588552598957
1719570.0,True,True,True,False,False,False,1,0,540,900,30,True,0.6401979022265853,0.08904912120280338,0.05526807661440216,0.04201197155483859,0.07002514600736731,0.09808590563740154,0.16875065083558904
1720170.0,True,False,False,False,True,False,1,0,1140,900,30,True,0.10621298211937642,0.046676161887342006,0.35278155254315685,0.03481451251317556,0.3002375896040064,0.11267930644997932,0.2345756999458331
1720770.0,True,False,False,False,True,False,1,0,1740,900,30,True,0.1876885449901522,0.09075418404013362,0.07612722307878243,0.1526027793822891,0.145388837519954,0.1782337396214454,0.20677854723595032
1721370.0,True,False,False,False,True,False,1,0,2340,900,30,True,0.18155640849508548,0.028376843653834763,0.08288696488383493,0.0812061977618896,0.10919326438735387,0.03572707627949399,0.04858513498478298
1721970.0,True,False,False,False,True,False,1,0,2940,900,30,True,0.16588641994593065,0.01921979884000583,0.04477397479991699,0.04485399765159362,0.065437600805429,0.026941907199159232,0.029640154878522177
1722570.0,True,False,False,False,True,False,1,0,3540,900,30,True,0.15148741739523833,0.11150775170647952,0.1427117191212915,0.052639052286728355,0.08488981883341845,0.10036881437294104,0.12184277761724237
1723170.0,True,False,False,False,True,False,1,0,4140,900,30,True,0.13923182055845207,0.09467638877817422,0.11794332203084916,0.0202869392865883,0.06398183255603082,0.07421201358151469,0.07835388694348921
1723770.0,True,True,False,True,False,False,1,1,4740,900,30,True,0.4788058704938881,0.08201053568953967,0.08550282244787581,0.08938657556010222,0.08958687693483587,0.10972839319222202,0.1131304577379429
1724370.0,True,True,False,True,False,False,1,1,5340,900,30,True,1.7689810661778835,0.26912650367729235,0.2645621394621249,0.2995437872645444,0.27431660125629,0.38782000204554,0.3668491387178714
1724970.0,True,True,True,False,False,True,2,0,540,900,30,True,0.14026669856220336,0.004470953681421482,0.09735742807533446,0.02148412182578075,0.06200167935091561,0.03931803086983147,0.07959902188942844
1725570.0,True,False,False,False,True,True,2,0,1140,900,30,True,0.10854629795530286,0.016198227142410815,0.029072757348258923,0.06698558270406162,0.07648066950188574,0.04413030888536772,0.0565763951405548
1726170.0,True,False,False,False,True,True,2,0,1740,900,30,True,0.08233006811767041,0.05224834575491097,0.06477171949484842,0.04701635401190174,0.023075719703230864,0.026616412538985893,0.02672832140175577
1726770.0,True,False,False,False,True,False,1,0,2340,900,30,True,0.0643682484167698,0.057290667250435946,0.05764155657332518,0.04964677769379288,0.07536685248289246,0.05916076698540943,0.05460438119440596
