dataset,seed,arm,role,channel,mse
electricity,41001,PRIOR,selected,column_026,0.13739221231844173
electricity,41001,PRIOR,selected,column_027,0.3069674630551062
electricity,41001,PRIOR,selected,column_028,0.3504746195078363
electricity,41001,PRIOR,selected,column_029,0.52693955420883
electricity,41001,PRIOR,selected,column_030,0.3339268221902821
electricity,41001,PRIOR,selected,column_031,0.22630584189747552
electricity,41001,PRIOR,matched_old_epoch,column_000,0.3389584304438852
electricity,41001,PRIOR,matched_old_epoch,column_001,0.18456580140506018
electricity,41001,PRIOR,matched_old_epoch,column_002,0.0005847689717635057
electricity,41001,PRIOR,matched_old_epoch,column_003,0.17181551533765324
electricity,41001,PRIOR,matched_old_epoch,column_004,0.27601116097433276
electricity,41001,PRIOR,matched_old_epoch,column_005,0.13607401815578252
electricity,41001,PRIOR,matched_old_epoch,column_006,0.7196145768155634
electricity,41001,PRIOR,matched_old_epoch,column_007,0.20943324876137717
electricity,41001,PRIOR,matched_old_epoch,column_008,0.2487051180447224
electricity,41001,PRIOR,matched_old_epoch,column_009,0.6421667909808858
electricity,41001,PRIOR,matched_old_epoch,column_010,0.17661686182009423
electricity,41001,PRIOR,matched_old_epoch,column_011,0.54421479776338
electricity,41001,PRIOR,matched_old_epoch,column_012,0.1497350278384228
electricity,41001,PRIOR,matched_old_epoch,column_013,0.22421744751061673
electricity,41001,PRIOR,matched_old_epoch,column_014,0.1438989894882953
electricity,41001,PRIOR,matched_old_epoch,column_015,0.2935567238532473
electricity,41001,PRIOR,matched_old_epoch,column_016,0.256734346555309
electricity,41001,PRIOR,matched_old_epoch,column_017,0.4145204462970709
electricity,41001,PRIOR,matched_old_epoch,column_018,0.12160769361759581
electricity,41001,PRIOR,matched_old_epoch,column_019,0.6019979553261595
electricity,41001,PRIOR,matched_old_epoch,column_020,0.38385920086428776
electricity,41001,PRIOR,matched_old_epoch,column_021,0.21266644345939653
electricity,41001,PRIOR,matched_old_epoch,column_022,0.1847632460156153
electricity,41001,PRIOR,matched_old_epoch,column_023,0.1976391894768692
electricity,41001,PRIOR,matched_old_epoch,column_024,0.22930664635506584
electricity,41001,PRIOR,matched_old_epoch,column_025,0.6725644027867885
electricity,41001,PRIOR,matched_old_epoch,column_026,0.16309863692175747
electricity,41001,PRIOR,matched_old_epoch,column_027,0.3529010717670226
electricity,41001,PRIOR,matched_old_epoch,column_028,0.40487018796667124
electricity,41001,PRIOR,matched_old_epoch,column_029,0.627316610154374
electricity,41001,PRIOR,matched_old_epoch,column_030,0.36104533789026294
electricity,41001,PRIOR,matched_old_epoch,column_031,0.24455390383933048
traffic,41000,SIDE,selected,column_000,0.6030989995083416
traffic,41000,SIDE,selected,column_001,0.36409556423133554
traffic,41000,SIDE,selected,column_002,0.3994917562125803
traffic,41000,SIDE,selected,column_003,0.7001074126711186
traffic,41000,SIDE,selected,column_004,0.33728748978537226
traffic,41000,SIDE,selected,column_005,0.35707277609073934
traffic,41000,SIDE,selected,column_006,0.26855654832778103
traffic,41000,SIDE,selected,column_007,0.1927108507232453
traffic,41000,SIDE,selected,column_008,0.5352033706565328
traffic,41000,SIDE,selected,column_009,0.37960757179113547
traffic,41000,SIDE,selected,column_010,0.436084821480664
traffic,41000,SIDE,selected,column_011,0.2093764341989573
traffic,41000,SIDE,selected,column_012,1.1191720726028878
traffic,41000,SIDE,selected,column_013,0.3781639128919923
traffic,41000,SIDE,selected,column_014,0.34744022415991754
traffic,41000,SIDE,selected,column_015,0.6409149358770705
traffic,41000,SIDE,selected,column_016,0.28582177387217245
traffic,41000,SIDE,selected,column_017,0.17715365606251313
traffic,41000,SIDE,selected,column_018,0.21578594447104152
traffic,41000,SIDE,selected,column_019,0.4517223161496303
traffic,41000,SIDE,selected,column_020,0.057998808623145534
traffic,41000,SIDE,selected,column_021,0.6984585583993987
traffic,41000,SIDE,selected,column_022,0.27213607497470854
traffic,41000,SIDE,selected,column_023,0.3660830409600431
traffic,41000,SIDE,selected,column_024,0.24612607601295972
traffic,41000,SIDE,selected,column_025,0.50233307602059
traffic,41000,SIDE,selected,column_026,0.2492644838806623
traffic,41000,SIDE,selected,column_027,0.1132846036356231
traffic,41000,SIDE,selected,column_028,0.4367320898295115
traffic,41000,SIDE,selected,column_029,0.8402127857667876
traffic,41000,SIDE,selected,column_030,0.2995240331469777
traffic,41000,SIDE,selected,column_031,0.30016805890995896
traffic,41000,SIDE,matched_old_epoch,column_000,0.8350791324403046
traffic,41000,SIDE,matched_old_epoch,column_001,0.49248200962188854
traffic,41000,SIDE,matched_old_epoch,column_002,0.47268853069668376
traffic,41000,SIDE,matched_old_epoch,column_003,0.8793128367473402
traffic,41000,SIDE,matched_old_epoch,column_004,0.5054943963990048
traffic,41000,SIDE,matched_old_epoch,column_005,0.5237969369033862
traffic,41000,SIDE,matched_old_epoch,column_006,0.44503339492128857
traffic,41000,SIDE,matched_old_epoch,column_007,0.265839569670576
traffic,41000,SIDE,matched_old_epoch,column_008,0.6350390636730675
traffic,41000,SIDE,matched_old_epoch,column_009,0.5046249635466682
traffic,41000,SIDE,matched_old_epoch,column_010,0.5697700303254785
traffic,41000,SIDE,matched_old_epoch,column_011,0.3325007058027
traffic,41000,SIDE,matched_old_epoch,column_012,1.3002781749607928
traffic,41000,SIDE,matched_old_epoch,column_013,0.4612014075936387
traffic,41000,SIDE,matched_old_epoch,column_014,0.39845941224109654
traffic,41000,SIDE,matched_old_epoch,column_015,0.767333249459331
traffic,41000,SIDE,matched_old_epoch,column_016,0.34749695319241747
traffic,41000,SIDE,matched_old_epoch,column_017,0.23423726165284786
traffic,41000,SIDE,matched_old_epoch,column_018,0.26017464820422037
traffic,41000,SIDE,matched_old_epoch,column_019,0.7452946766636074
traffic,41000,SIDE,matched_old_epoch,column_020,0.1556742504925757
traffic,41000,SIDE,matched_old_epoch,column_021,0.9160277611209638
traffic,41000,SIDE,matched_old_epoch,column_022,0.36145874000146244
traffic,41000,SIDE,matched_old_epoch,column_023,0.4493130177070449
traffic,41000,SIDE,matched_old_epoch,column_024,0.3650655608355249
traffic,41000,SIDE,matched_old_epoch,column_025,0.635144837631415
traffic,41000,SIDE,matched_old_epoch,column_026,0.3766258124306596
traffic,41000,SIDE,matched_old_epoch,column_027,0.11958458725570716
traffic,41000,SIDE,matched_old_epoch,column_028,0.512821011698931
traffic,41000,SIDE,matched_old_epoch,column_029,1.0290926875332218
traffic,41000,SIDE,matched_old_epoch,column_030,0.39088212847995574
traffic,41000,SIDE,matched_old_epoch,column_031,0.44771394220044863
traffic,41000,PRIOR,selected,column_000,0.6116742580668263
traffic,41000,PRIOR,selected,column_001,0.3779839812192868
traffic,41000,PRIOR,selected,column_002,0.39562686743814085
traffic,41000,PRIOR,selected,column_003,0.7106763794028983
traffic,41000,PRIOR,selected,column_004,0.3376945095930753
traffic,41000,PRIOR,selected,column_005,0.3661093850906063
traffic,41000,PRIOR,selected,column_006,0.2828888628878299
traffic,41000,PRIOR,selected,column_007,0.18510273331757082
traffic,41000,PRIOR,selected,column_008,0.5310931217004019
traffic,41000,PRIOR,selected,column_009,0.36913235165029773
traffic,41000,PRIOR,selected,column_010,0.4275469772353529
traffic,41000,PRIOR,selected,column_011,0.2148173924231605
traffic,41000,PRIOR,selected,column_012,1.105224547132853
traffic,41000,PRIOR,selected,column_013,0.38707257524632077
traffic,41000,PRIOR,selected,column_014,0.3546531123257725
traffic,41000,PRIOR,selected,column_015,0.6595948998129473
traffic,41000,PRIOR,selected,column_016,0.2776265637455774
traffic,41000,PRIOR,selected,column_017,0.18584798464932764
traffic,41000,PRIOR,selected,column_018,0.20601313767121432
traffic,41000,PRIOR,selected,column_019,0.44359664325564413
traffic,41000,PRIOR,selected,column_020,0.059414667322958685
traffic,41000,PRIOR,selected,column_021,0.7168536170988284
traffic,41000,PRIOR,selected,column_022,0.2785169161652922
traffic,41000,PRIOR,selected,column_023,0.3695416710434627
traffic,41000,PRIOR,selected,column_024,0.2536475965360494
traffic,41000,PRIOR,selected,column_025,0.5157863974407418
traffic,41000,PRIOR,selected,column_026,0.26556666376132365
traffic,41000,PRIOR,selected,column_027,0.1166114917887545
traffic,41000,PRIOR,selected,column_028,0.42456557594129857
traffic,41000,PRIOR,selected,column_029,0.8144787207427634
traffic,41000,PRIOR,selected,column_030,0.2895422649626382
traffic,41000,PRIOR,selected,column_031,0.29867581601257986
traffic,41000,PRIOR,matched_old_epoch,column_000,0.849058654748679
traffic,41000,PRIOR,matched_old_epoch,column_001,0.5100074554298674
traffic,41000,PRIOR,matched_old_epoch,column_002,0.47159890609887917
traffic,41000,PRIOR,matched_old_epoch,column_003,0.8940434564162536
traffic,41000,PRIOR,matched_old_epoch,column_004,0.5371423609330253
traffic,41000,PRIOR,matched_old_epoch,column_005,0.5261518577729521
traffic,41000,PRIOR,matched_old_epoch,column_006,0.44216245583394287
traffic,41000,PRIOR,matched_old_epoch,column_007,0.2667416701021105
traffic,41000,PRIOR,matched_old_epoch,column_008,0.6367900240260158
traffic,41000,PRIOR,matched_old_epoch,column_009,0.5226952940606531
traffic,41000,PRIOR,matched_old_epoch,column_010,0.5829174370005542
traffic,41000,PRIOR,matched_old_epoch,column_011,0.34865761565132786
traffic,41000,PRIOR,matched_old_epoch,column_012,1.3187096996541414
traffic,41000,PRIOR,matched_old_epoch,column_013,0.46237522030871436
traffic,41000,PRIOR,matched_old_epoch,column_014,0.40902292002868057
traffic,41000,PRIOR,matched_old_epoch,column_015,0.7925287018008418
traffic,41000,PRIOR,matched_old_epoch,column_016,0.35449549373800004
traffic,41000,PRIOR,matched_old_epoch,column_017,0.24251058487439534
traffic,41000,PRIOR,matched_old_epoch,column_018,0.2647853202756702
traffic,41000,PRIOR,matched_old_epoch,column_019,0.7694832580010292
traffic,41000,PRIOR,matched_old_epoch,column_020,0.16817016553183464
