source,seed,arm,round,batch,wall_ms,cuda_stream_ms
electricity,81552,TOKEN_GATE,2,32,10.947805480100214,10.923840045928955
electricity,81552,TOKEN_GATE,3,1,10.408916510641575,10.382416248321533
electricity,81552,TOKEN_GATE,3,32,10.924899514066055,10.899648189544678
electricity,81552,TOKEN_GATE,4,1,10.652763477992266,10.630304336547852
electricity,81552,TOKEN_GATE,4,32,10.908741009188816,10.885120391845703
electricity,81552,TOKEN_GATE,5,1,10.33821448800154,10.31934404373169
electricity,81552,TOKEN_GATE,5,32,11.008731526089832,10.952352046966553
electricity,81552,TOKEN_GATE_ENTROPY,0,1,10.601449495879933,10.581247806549072
electricity,81552,TOKEN_GATE_ENTROPY,0,32,10.974551521940157,10.953248023986816
electricity,81552,TOKEN_GATE_ENTROPY,1,1,10.3974774829112,10.37771224975586
electricity,81552,TOKEN_GATE_ENTROPY,1,32,10.98939249641262,10.961296081542969
electricity,81552,TOKEN_GATE_ENTROPY,2,1,10.035982995759696,10.01793622970581
electricity,81552,TOKEN_GATE_ENTROPY,2,32,11.012313480023295,10.952271938323975
electricity,81552,TOKEN_GATE_ENTROPY,3,1,10.46042499365285,10.431951999664307
electricity,81552,TOKEN_GATE_ENTROPY,3,32,10.960102983517572,10.93991994857788
electricity,81552,TOKEN_GATE_ENTROPY,4,1,10.782491997815669,10.758240222930908
electricity,81552,TOKEN_GATE_ENTROPY,4,32,11.435469496063888,11.401119709014893
electricity,81552,TOKEN_GATE_ENTROPY,5,1,10.521054995479062,10.495920181274414
electricity,81552,TOKEN_GATE_ENTROPY,5,32,10.98401250783354,10.960303783416748
ettm1,81551,B0,0,1,10.16902647097595,10.145679950714111
ettm1,81551,B0,0,32,10.440991463838145,10.419391632080078
ettm1,81551,B0,1,1,9.922480472596362,9.904032230377197
ettm1,81551,B0,1,32,10.423065978102386,10.39628791809082
ettm1,81551,B0,2,1,10.166933992877603,10.14902400970459
ettm1,81551,B0,2,32,10.717852012021467,10.69604778289795
ettm1,81551,B0,3,1,10.1569524849765,10.129168033599854
