source,seed,round,batch,baseline,wall_ratio,cuda_ratio
electricity,81552,5,32,TOKEN_GATE,1.0108697328339886,1.0134736126441726
electricity,81552,5,32,TOKEN_GATE_ENTROPY,1.0131446489780513,1.0127383342042475
electricity,81552,5,32,PETSA_XY_OFFLINE,0.9854344089237609,0.9851603107115094
ettm1,81551,0,1,B0,1.05907419396516,1.0590012714648702
ettm1,81551,0,1,PLAIN,1.023950971673241,1.02379126919665
ettm1,81551,0,1,TOKEN_GATE,1.0596907891504093,1.0591065000059459
ettm1,81551,0,1,TOKEN_GATE_ENTROPY,1.011588639225375,1.0111654315804193
ettm1,81551,0,1,PETSA_XY_OFFLINE,1.0286885573564601,1.0280938523492678
ettm1,81551,0,32,B0,1.0918974560357515,1.0915554713897475
ettm1,81551,0,32,PLAIN,1.0180604179230865,1.0177496197354314
ettm1,81551,0,32,TOKEN_GATE,0.9987377496218292,0.999486755694663
ettm1,81551,0,32,TOKEN_GATE_ENTROPY,1.0298359532980537,1.02947356063217
ettm1,81551,0,32,PETSA_XY_OFFLINE,1.0384704824480497,1.0382838033274089
ettm1,81551,1,1,B0,1.1092255634247952,1.1078332140361644
ettm1,81551,1,1,PLAIN,1.0603377740264552,1.0601571134515366
ettm1,81551,1,1,TOKEN_GATE,1.0284370478403086,1.0273161809368836
ettm1,81551,1,1,TOKEN_GATE_ENTROPY,1.0768424607587908,1.0755815026972526
ettm1,81551,1,1,PETSA_XY_OFFLINE,1.0232815496307668,1.0225687877939071
ettm1,81551,1,32,B0,1.0628666792764783,1.0629148015218004
ettm1,81551,1,32,PLAIN,1.034139163962807,1.0332298511881275
ettm1,81551,1,32,TOKEN_GATE,0.9937939549300804,0.9939383588684897
ettm1,81551,1,32,TOKEN_GATE_ENTROPY,1.0310115573260956,1.0306440725484987
ettm1,81551,1,32,PETSA_XY_OFFLINE,1.0315913371537837,1.0309749343870904
ettm1,81551,2,1,B0,1.056561939868571,1.056483057779522
ettm1,81551,2,1,PLAIN,1.0370328625728753,1.0375160630832363
ettm1,81551,2,1,TOKEN_GATE,0.9749827656048186,0.97512925879022
ettm1,81551,2,1,TOKEN_GATE_ENTROPY,1.022004597717343,1.0219707796479678
ettm1,81551,2,1,PETSA_XY_OFFLINE,0.9871856064626721,0.9880107292472342
ettm1,81551,2,32,B0,1.056888775868087,1.0572278712392067
ettm1,81551,2,32,PLAIN,1.073019482023064,1.0731704381150355
ettm1,81551,2,32,TOKEN_GATE,1.0299576262897816,1.0308845041235284
ettm1,81551,2,32,TOKEN_GATE_ENTROPY,1.0110178099854628,1.0115270059313661
ettm1,81551,2,32,PETSA_XY_OFFLINE,1.0372312885421917,1.0381575120953477
ettm1,81551,3,1,B0,1.0869935642610968,1.0876202106117456
ettm1,81551,3,1,PLAIN,1.0638501816789612,1.0637712954718213
ettm1,81551,3,1,TOKEN_GATE,1.0256997630359945,1.0261139618386197
ettm1,81551,3,1,TOKEN_GATE_ENTROPY,1.0246102711127003,1.0253850341791773
ettm1,81551,3,1,PETSA_XY_OFFLINE,1.0534058148846825,1.0537896055922438
ettm1,81551,3,32,B0,1.0714043698084739,1.0710210079165179
ettm1,81551,3,32,PLAIN,1.015854273572305,1.0160728243056663
ettm1,81551,3,32,TOKEN_GATE,1.053099147707529,1.0529478229337184
ettm1,81551,3,32,TOKEN_GATE_ENTROPY,1.0362405348006252,1.044542034121842
ettm1,81551,3,32,PETSA_XY_OFFLINE,0.9800997256465455,0.9794551543201204
ettm1,81551,4,1,B0,1.0444706411666034,1.044607166398598
ettm1,81551,4,1,PLAIN,1.0240322505927604,1.024665768345671
ettm1,81551,4,1,TOKEN_GATE,1.0203159208898815,1.0253301279672002
ettm1,81551,4,1,TOKEN_GATE_ENTROPY,1.0370600635685905,1.0375073358625033
ettm1,81551,4,1,PETSA_XY_OFFLINE,1.0109227344271363,1.0108656229472646
