scope,policy,variant,case,method,baseline,method_score,baseline_score,gain_percent,ci_low,ci_high,bootstrap_seed,replicates
ADDITIONAL,SELECTED,RAW,S2,PATH,DROP,0.11675027325466295,0.11889111509338625,1.8006743708659148,-0.04443293313345146,3.3706207376151265,61916,2000
ADDITIONAL,SELECTED,RAW,S3,PATH,DROP,0.12190736265462933,0.12583451616463612,3.1208873604033105,1.2614787564181635,4.694070471791226,61916,2000
ADDITIONAL,SELECTED,RAW,MEAN,PATH,DROP,0.11540255440425792,0.1174912042243347,1.7777073899836515,0.0037295319948172276,3.279888891182563,61916,2000
ADDITIONAL,SELECTED,RAW,WORST,PATH,DROP,0.12234837077248846,0.12583451616463612,2.7704206273472254,0.7096185496119887,4.6082805357900085,61916,2000
T0,SELECTED,RAW,S0,PATH,POINT,0.08384523288498315,0.08275631600309943,-1.3158112087093528,-4.043264624465853,1.38728839891401,61916,2000
T0,SELECTED,RAW,S1,PATH,POINT,0.09393909276998502,0.09473086859066748,0.8358160676259899,-1.536339779017598,2.8143236220780268,61916,2000
T0,SELECTED,RAW,S2,PATH,POINT,0.09804647731265038,0.09899944597121671,0.9625999915629759,-1.5732507570600516,2.894277626501081,61916,2000
T0,SELECTED,RAW,S3,PATH,POINT,0.10944795729289222,0.11356809394272153,3.627899797197721,0.9443912429559661,5.69375166480574,61916,2000
T0,SELECTED,RAW,MEAN,PATH,POINT,0.0963196900651277,0.0975136811269263,1.224434405511233,-0.8763631287347976,2.9755232807768714,61916,2000
T0,SELECTED,RAW,WORST,PATH,POINT,0.10944795729289222,0.11356809394272153,3.627899797197721,0.9443912429559661,5.69375166480574,61916,2000
T1,SELECTED,RAW,S0,PATH,POINT,0.07990963802261487,0.07959394900700756,-0.3966243911073206,-1.0952513172621337,0.39419758003159533,61916,2000
T1,SELECTED,RAW,S1,PATH,POINT,0.08966397451644778,0.09007937543239572,0.4611498625006518,-0.1378362605221921,1.0754062042016372,61916,2000
T1,SELECTED,RAW,S2,PATH,POINT,0.09218395981585224,0.09236681120564537,0.19796221976963777,-0.6339869064461324,0.9819826754514652,61916,2000
T1,SELECTED,RAW,S3,PATH,POINT,0.10338015485150329,0.10450280665895526,1.0742790967478424,0.42650852478096335,1.592412359018592,61916,2000
T1,SELECTED,RAW,MEAN,PATH,POINT,0.09128443180160455,0.09163573557600098,0.38336984167608745,-0.19238294071529038,0.9489019568579392,61916,2000
T1,SELECTED,RAW,WORST,PATH,POINT,0.10338015485150329,0.10450280665895526,1.0742790967478424,0.4107792715189831,1.592412359018592,61916,2000
