target,seed,policy,variant,case,method,baseline,method_score,baseline_score,gain_percent
T1,61731,SELECTED,RAW,S2,POINT,FROZEN_WEATHER,0.09235973181231691,0.09604120648989342,3.8332241046596187
T1,61731,SELECTED,RAW,S3,POINT,FROZEN_WEATHER,0.1044827081202862,0.10971268881087423,4.766978867506941
T1,61731,SELECTED,RAW,MEAN,POINT,FROZEN_WEATHER,0.09159750594285292,0.09534380361390113,3.9292513294508447
T1,61731,SELECTED,RAW,WORST,POINT,FROZEN_WEATHER,0.1044827081202862,0.10971268881087423,4.766978867506941
T2,61730,SELECTED,RAW,S0,POINT,FROZEN_WEATHER,0.13605395464329492,0.12856610506327273,-5.824124154914007
T2,61730,SELECTED,RAW,S1,POINT,FROZEN_WEATHER,0.13511264533730688,0.12974294788371551,-4.138720093213895
T2,61730,SELECTED,RAW,S2,POINT,FROZEN_WEATHER,0.13922386840816228,0.1335286213458779,-4.265188245696062
T2,61730,SELECTED,RAW,S3,POINT,FROZEN_WEATHER,0.13822784227993615,0.13157882228344767,-5.053260001191631
T2,61730,SELECTED,RAW,MEAN,POINT,FROZEN_WEATHER,0.13715457766717504,0.13085412414407846,-4.814868132210636
T2,61730,SELECTED,RAW,WORST,POINT,FROZEN_WEATHER,0.13922386840816228,0.1335286213458779,-4.265188245696062
T2,61731,SELECTED,RAW,S0,POINT,FROZEN_WEATHER,0.13780736505732077,0.12856610506327273,-7.187944279326212
T2,61731,SELECTED,RAW,S1,POINT,FROZEN_WEATHER,0.1366769168842175,0.12974294788371551,-5.344389898337032
T2,61731,SELECTED,RAW,S2,POINT,FROZEN_WEATHER,0.14111059309439747,0.1335286213458779,-5.678162233758158
T2,61731,SELECTED,RAW,S3,POINT,FROZEN_WEATHER,0.14046164730276733,0.13157882228344767,-6.750953432448459
T2,61731,SELECTED,RAW,MEAN,POINT,FROZEN_WEATHER,0.13901413058467577,0.13085412414407846,-6.235956637952531
T2,61731,SELECTED,RAW,WORST,POINT,FROZEN_WEATHER,0.14111059309439747,0.1335286213458779,-5.678162233758158
T0,61730,SELECTED,CALIBRATED,S0,PATH,LATEST,0.08317355327033096,0.08498062684319557,2.126453569469407
T0,61730,SELECTED,CALIBRATED,S1,PATH,LATEST,0.0914110171108855,0.09448025135201403,3.2485458042371067
T0,61730,SELECTED,CALIBRATED,S2,PATH,LATEST,0.09575154835846741,0.09873892850948258,3.0255343015275598
T0,61730,SELECTED,CALIBRATED,S3,PATH,LATEST,0.10652459435740112,0.11186584142356168,4.774689930536347
T0,61730,SELECTED,CALIBRATED,MEAN,PATH,LATEST,0.09421517827427126,0.09751641203206346,3.3853109327963757
T0,61730,SELECTED,CALIBRATED,WORST,PATH,LATEST,0.10652459435740112,0.11186584142356168,4.774689930536347
T0,61731,SELECTED,CALIBRATED,S0,PATH,LATEST,0.08365051050094235,0.08481976238840486,1.3785135144664624
T0,61731,SELECTED,CALIBRATED,S1,PATH,LATEST,0.09212596709110403,0.09440452212487366,2.4136079315730945
T0,61731,SELECTED,CALIBRATED,S2,PATH,LATEST,0.09632352609978112,0.09879978315892371,2.5063385565932093
T0,61731,SELECTED,CALIBRATED,S3,PATH,LATEST,0.10732074560056977,0.11208770935028674,4.2528871161240955
T0,61731,SELECTED,CALIBRATED,MEAN,PATH,LATEST,0.09485518732309932,0.09752794425562224,2.740503711959294
T0,61731,SELECTED,CALIBRATED,WORST,PATH,LATEST,0.10732074560056977,0.11208770935028674,4.2528871161240955
T1,61730,SELECTED,CALIBRATED,S0,PATH,LATEST,0.08129086770658299,0.08308614088096357,2.1607372244579803
T1,61730,SELECTED,CALIBRATED,S1,PATH,LATEST,0.08857245135673894,0.09190465382834288,3.6257167975712563
T1,61730,SELECTED,CALIBRATED,S2,PATH,LATEST,0.09108720432905486,0.0940014390372348,3.1002022288462974
T1,61730,SELECTED,CALIBRATED,S3,PATH,LATEST,0.10200443235539047,0.10699749234232475,4.666520567565849
T1,61730,SELECTED,CALIBRATED,MEAN,PATH,LATEST,0.09073873893694182,0.0939974315222165,3.466788966999044
T1,61730,SELECTED,CALIBRATED,WORST,PATH,LATEST,0.10200443235539047,0.10699749234232475,4.666520567565849
T1,61731,SELECTED,CALIBRATED,S0,PATH,LATEST,0.08082382178421242,0.08309437645609093,2.7325010051412097
T1,61731,SELECTED,CALIBRATED,S1,PATH,LATEST,0.08822385951447305,0.09198431150208225,4.088144952331437
T1,61731,SELECTED,CALIBRATED,S2,PATH,LATEST,0.09083805987382076,0.09409610050105754,3.4624608351332933
T1,61731,SELECTED,CALIBRATED,S3,PATH,LATEST,0.10169629219462349,0.10707409952720812,5.02250997797847
T1,61731,SELECTED,CALIBRATED,MEAN,PATH,LATEST,0.09039550834178244,0.09406222199660971,3.898178861817061
T1,61731,SELECTED,CALIBRATED,WORST,PATH,LATEST,0.10169629219462349,0.10707409952720812,5.02250997797847
T2,61730,SELECTED,CALIBRATED,S0,PATH,LATEST,0.13614435987467838,0.12906047955489594,-5.488806754951895
T2,61730,SELECTED,CALIBRATED,S1,PATH,LATEST,0.13653724133857462,0.12999817102883635,-5.030124853285641
T2,61730,SELECTED,CALIBRATED,S2,PATH,LATEST,0.14062253760868862,0.13494854931357986,-4.204556717333892
T2,61730,SELECTED,CALIBRATED,S3,PATH,LATEST,0.13928119613845596,0.13430917329777942,-3.701923493827918
T2,61730,SELECTED,CALIBRATED,MEAN,PATH,LATEST,0.13814633374009938,0.13207909329877288,-4.593641801887562
T2,61730,SELECTED,CALIBRATED,WORST,PATH,LATEST,0.14062253760868862,0.13494854931357986,-4.204556717333892
T2,61731,SELECTED,CALIBRATED,S0,PATH,LATEST,0.13680415678241375,0.12974152215172544,-5.443619369926124
T2,61731,SELECTED,CALIBRATED,S1,PATH,LATEST,0.13727330097021745,0.13131767514671808,-4.53528119260815
T2,61731,SELECTED,CALIBRATED,S2,PATH,LATEST,0.1415401111486521,0.13678033842467047,-3.4798661699488243
T2,61731,SELECTED,CALIBRATED,S3,PATH,LATEST,0.14015562735017498,0.1358694162240756,-3.1546548481746273
T2,61731,SELECTED,CALIBRATED,MEAN,PATH,LATEST,0.13894329906286457,0.1334272379867974,-4.134134198755566
T2,61731,SELECTED,CALIBRATED,WORST,PATH,LATEST,0.1415401111486521,0.13678033842467047,-3.4798661699488243
T0,61730,SELECTED,CALIBRATED,S0,PATH,DROP,0.08317355327033096,0.08502142040586642,2.173413625312662
T0,61730,SELECTED,CALIBRATED,S1,PATH,DROP,0.0914110171108855,0.09389976174937098,2.650427000153859
T0,61730,SELECTED,CALIBRATED,S2,PATH,DROP,0.09575154835846741,0.09839978975707546,2.6913079846470125
T0,61730,SELECTED,CALIBRATED,S3,PATH,DROP,0.10652459435740112,0.11114450748855184,4.156672457814959
T0,61730,SELECTED,CALIBRATED,MEAN,PATH,DROP,0.09421517827427126,0.09711636985021618,2.9873352766577588
T0,61730,SELECTED,CALIBRATED,WORST,PATH,DROP,0.10652459435740112,0.11114450748855184,4.156672457814959
T0,61731,SELECTED,CALIBRATED,S0,PATH,DROP,0.08365051050094235,0.08606072396018381,2.800596309597104
T0,61731,SELECTED,CALIBRATED,S1,PATH,DROP,0.09212596709110403,0.09431285365235816,2.3187577054078945
T0,61731,SELECTED,CALIBRATED,S2,PATH,DROP,0.09632352609978112,0.0989940394320513,2.6976506339083186
T0,61731,SELECTED,CALIBRATED,S3,PATH,DROP,0.10732074560056977,0.11176553408702636,3.9768865444651738
T0,61731,SELECTED,CALIBRATED,MEAN,PATH,DROP,0.09485518732309932,0.0977832877829049,2.994479451648684
T0,61731,SELECTED,CALIBRATED,WORST,PATH,DROP,0.10732074560056977,0.11176553408702636,3.9768865444651738
T1,61730,SELECTED,CALIBRATED,S0,PATH,DROP,0.08129086770658299,0.08323785559653891,2.3390654120081424
T1,61730,SELECTED,CALIBRATED,S1,PATH,DROP,0.08857245135673894,0.0908885118661063,2.548243404820292
T1,61730,SELECTED,CALIBRATED,S2,PATH,DROP,0.09108720432905486,0.09322868841922666,2.2970226509484597
T1,61730,SELECTED,CALIBRATED,S3,PATH,DROP,0.10200443235539047,0.10516578979061936,3.0060701693231358
T1,61730,SELECTED,CALIBRATED,MEAN,PATH,DROP,0.09073873893694182,0.0931302114181228,2.5678804383296154
T1,61730,SELECTED,CALIBRATED,WORST,PATH,DROP,0.10200443235539047,0.10516578979061936,3.0060701693231358
T1,61731,SELECTED,CALIBRATED,S0,PATH,DROP,0.08082382178421242,0.08287110700168286,2.470445118379879
T1,61731,SELECTED,CALIBRATED,S1,PATH,DROP,0.08822385951447305,0.09106349049698156,3.1182979776100703
T1,61731,SELECTED,CALIBRATED,S2,PATH,DROP,0.09083805987382076,0.09357494366840764,2.92480410598515
T1,61731,SELECTED,CALIBRATED,S3,PATH,DROP,0.10169629219462349,0.10576322661233262,3.845319916927437
T1,61731,SELECTED,CALIBRATED,MEAN,PATH,DROP,0.09039550834178244,0.09331819194485116,3.1319548119791754
T1,61731,SELECTED,CALIBRATED,WORST,PATH,DROP,0.10169629219462349,0.10576322661233262,3.845319916927437
T2,61730,SELECTED,CALIBRATED,S0,PATH,DROP,0.13614435987467838,0.13429354295986498,-1.378187568829376
T2,61730,SELECTED,CALIBRATED,S1,PATH,DROP,0.13653724133857462,0.13370297474576132,-2.119823136473
T2,61730,SELECTED,CALIBRATED,S2,PATH,DROP,0.14062253760868862,0.1386286483566395,-1.4382952410526297
T2,61730,SELECTED,CALIBRATED,S3,PATH,DROP,0.13928119613845596,0.1392473604171378,-0.02429900374182577
T2,61730,SELECTED,CALIBRATED,MEAN,PATH,DROP,0.13814633374009938,0.13646813161985089,-1.2297392074827682
T2,61730,SELECTED,CALIBRATED,WORST,PATH,DROP,0.14062253760868862,0.1392473604171378,-0.9875786423751547
T2,61731,SELECTED,CALIBRATED,S0,PATH,DROP,0.13680415678241375,0.13749446476100624,0.5020623774145262
T2,61731,SELECTED,CALIBRATED,S1,PATH,DROP,0.13727330097021745,0.13722361991441004,-0.03620444923286347
T2,61731,SELECTED,CALIBRATED,S2,PATH,DROP,0.1415401111486521,0.14304888852907763,1.0547284889381374
T2,61731,SELECTED,CALIBRATED,S3,PATH,DROP,0.14015562735017498,0.14377523392827457,2.5175452539380414
T2,61731,SELECTED,CALIBRATED,MEAN,PATH,DROP,0.13894329906286457,0.14038555178319212,1.0273512494753956
T2,61731,SELECTED,CALIBRATED,WORST,PATH,DROP,0.1415401111486521,0.14377523392827457,1.5545951264023148
T0,61730,SELECTED,CALIBRATED,S0,PATH,POINT,0.08317355327033096,0.0840940684786449,1.094625607925832
T0,61730,SELECTED,CALIBRATED,S1,PATH,POINT,0.0914110171108855,0.09282685796203166,1.52524913826693
T0,61730,SELECTED,CALIBRATED,S2,PATH,POINT,0.09575154835846741,0.0968179958099909,1.1014971365617072
T0,61730,SELECTED,CALIBRATED,S3,PATH,POINT,0.10652459435740112,0.10990320130300335,3.074166089382057
T0,61730,SELECTED,CALIBRATED,MEAN,PATH,POINT,0.09421517827427126,0.0959105308884177,1.7676396934126164
T0,61730,SELECTED,CALIBRATED,WORST,PATH,POINT,0.10652459435740112,0.10990320130300335,3.074166089382057
T0,61731,SELECTED,CALIBRATED,S0,PATH,POINT,0.08365051050094235,0.08404371869957543,0.4678614948472773
T0,61731,SELECTED,CALIBRATED,S1,PATH,POINT,0.09212596709110403,0.09470465966745831,2.722878246338652
T0,61731,SELECTED,CALIBRATED,S2,PATH,POINT,0.09632352609978112,0.09869860963500773,2.40640019551419
T0,61731,SELECTED,CALIBRATED,S3,PATH,POINT,0.10732074560056977,0.11275217244181288,4.81713719888285
T0,61731,SELECTED,CALIBRATED,MEAN,PATH,POINT,0.09485518732309932,0.0975497901109636,2.7622845572493264
T0,61731,SELECTED,CALIBRATED,WORST,PATH,POINT,0.10732074560056977,0.11275217244181288,4.81713719888285
T1,61730,SELECTED,CALIBRATED,S0,PATH,POINT,0.08129086770658299,0.08235917082586733,1.2971270941314612
T1,61730,SELECTED,CALIBRATED,S1,PATH,POINT,0.08857245135673894,0.08995407009918531,1.5359157633700917
T1,61730,SELECTED,CALIBRATED,S2,PATH,POINT,0.09108720432905486,0.09219575635535159,1.202389426715062
T1,61730,SELECTED,CALIBRATED,S3,PATH,POINT,0.10200443235539047,0.10363326494180916,1.5717275600004397
T1,61730,SELECTED,CALIBRATED,MEAN,PATH,POINT,0.09073873893694182,0.09203556555555334,1.4090494373381668
T1,61730,SELECTED,CALIBRATED,WORST,PATH,POINT,0.10200443235539047,0.10363326494180916,1.5717275600004397
T1,61731,SELECTED,CALIBRATED,S0,PATH,POINT,0.08082382178421242,0.081827467882751,1.226539357146774
T1,61731,SELECTED,CALIBRATED,S1,PATH,POINT,0.08822385951447305,0.08979017478782798,1.7444172227708652
T1,61731,SELECTED,CALIBRATED,S2,PATH,POINT,0.09083805987382076,0.09204981269501966,1.316409871700324
T1,61731,SELECTED,CALIBRATED,S3,PATH,POINT,0.10169629219462349,0.1034830707048103,1.7266384714111076
T1,61731,SELECTED,CALIBRATED,MEAN,PATH,POINT,0.09039550834178244,0.09178763151760225,1.5166783942484046
T1,61731,SELECTED,CALIBRATED,WORST,PATH,POINT,0.10169629219462349,0.1034830707048103,1.7266384714111076
T2,61730,SELECTED,CALIBRATED,S0,PATH,POINT,0.13614435987467838,0.13442275621924057,-1.2807382498763122
T2,61730,SELECTED,CALIBRATED,S1,PATH,POINT,0.13653724133857462,0.1352535707430875,-0.9490844407542003
T2,61730,SELECTED,CALIBRATED,S2,PATH,POINT,0.14062253760868862,0.13931653340249722,-0.937436623130896
T2,61730,SELECTED,CALIBRATED,S3,PATH,POINT,0.13928119613845596,0.13802186740912473,-0.9124124698286636
T2,61730,SELECTED,CALIBRATED,MEAN,PATH,POINT,0.13814633374009938,0.1367536819434875,-1.018365119549312
T2,61730,SELECTED,CALIBRATED,WORST,PATH,POINT,0.14062253760868862,0.13931653340249722,-0.937436623130896
T2,61731,SELECTED,CALIBRATED,S0,PATH,POINT,0.13680415678241375,0.1346044936666954,-1.634167668402734
T2,61731,SELECTED,CALIBRATED,S1,PATH,POINT,0.13727330097021745,0.13609371306037507,-0.8667468050629781
T2,61731,SELECTED,CALIBRATED,S2,PATH,POINT,0.1415401111486521,0.14049882977285993,-0.7411317072715549
T2,61731,SELECTED,CALIBRATED,S3,PATH,POINT,0.14015562735017498,0.1392460279551841,-0.6532318431974491
T2,61731,SELECTED,CALIBRATED,MEAN,PATH,POINT,0.13894329906286457,0.13761076611377862,-0.9683348089089105
T2,61731,SELECTED,CALIBRATED,WORST,PATH,POINT,0.1415401111486521,0.14049882977285993,-0.7411317072715549
T0,61730,SELECTED,CALIBRATED,S0,LATEST,FROZEN_WEATHER,0.08498062684319557,0.0896589137559294,5.217871505190341
T0,61730,SELECTED,CALIBRATED,S1,LATEST,FROZEN_WEATHER,0.09448025135201403,0.0980543608282096,3.6450285800724194
T0,61730,SELECTED,CALIBRATED,S2,LATEST,FROZEN_WEATHER,0.09873892850948258,0.10250785075378258,3.6767157018565393
T0,61730,SELECTED,CALIBRATED,S3,LATEST,FROZEN_WEATHER,0.11186584142356168,0.11422084182876524,2.061795699889931
T0,61730,SELECTED,CALIBRATED,MEAN,LATEST,FROZEN_WEATHER,0.09751641203206346,0.1011104917916717,3.554606150085283
T0,61730,SELECTED,CALIBRATED,WORST,LATEST,FROZEN_WEATHER,0.11186584142356168,0.11422084182876524,2.061795699889931
T0,61731,SELECTED,CALIBRATED,S0,LATEST,FROZEN_WEATHER,0.08481976238840486,0.0896589137559294,5.39728975603891
T0,61731,SELECTED,CALIBRATED,S1,LATEST,FROZEN_WEATHER,0.09440452212487366,0.0980543608282096,3.722260460940063
T0,61731,SELECTED,CALIBRATED,S2,LATEST,FROZEN_WEATHER,0.09879978315892371,0.10250785075378258,3.617349859149239
T0,61731,SELECTED,CALIBRATED,S3,LATEST,FROZEN_WEATHER,0.11208770935028674,0.11422084182876524,1.867551004112191
T0,61731,SELECTED,CALIBRATED,MEAN,LATEST,FROZEN_WEATHER,0.09752794425562224,0.1011104917916717,3.543200584397265
T0,61731,SELECTED,CALIBRATED,WORST,LATEST,FROZEN_WEATHER,0.11208770935028674,0.11422084182876524,1.867551004112191
T1,61730,SELECTED,CALIBRATED,S0,LATEST,FROZEN_WEATHER,0.08308614088096357,0.08703320735057242,4.535126981716239
T1,61730,SELECTED,CALIBRATED,S1,LATEST,FROZEN_WEATHER,0.09190465382834288,0.09498270472920116,3.240643556775837
T1,61730,SELECTED,CALIBRATED,S2,LATEST,FROZEN_WEATHER,0.0940014390372348,0.09684594650878871,2.937146647945421
T1,61730,SELECTED,CALIBRATED,S3,LATEST,FROZEN_WEATHER,0.10699749234232475,0.10949725996625756,2.2829499338185553
T1,61730,SELECTED,CALIBRATED,MEAN,LATEST,FROZEN_WEATHER,0.0939974315222165,0.09708977963870496,3.1850397930614913
T1,61730,SELECTED,CALIBRATED,WORST,LATEST,FROZEN_WEATHER,0.10699749234232475,0.10949725996625756,2.2829499338185553
T1,61731,SELECTED,CALIBRATED,S0,LATEST,FROZEN_WEATHER,0.08309437645609093,0.08703320735057242,4.525664415210808
T1,61731,SELECTED,CALIBRATED,S1,LATEST,FROZEN_WEATHER,0.09198431150208225,0.09498270472920116,3.1567781057271715
T1,61731,SELECTED,CALIBRATED,S2,LATEST,FROZEN_WEATHER,0.09409610050105754,0.09684594650878871,2.8394022742930356
T1,61731,SELECTED,CALIBRATED,S3,LATEST,FROZEN_WEATHER,0.10707409952720812,0.10949725996625756,2.212987283696559
T1,61731,SELECTED,CALIBRATED,MEAN,LATEST,FROZEN_WEATHER,0.09406222199660971,0.09708977963870496,3.1183072547507487
T1,61731,SELECTED,CALIBRATED,WORST,LATEST,FROZEN_WEATHER,0.10707409952720812,0.10949725996625756,2.212987283696559
T2,61730,SELECTED,CALIBRATED,S0,LATEST,FROZEN_WEATHER,0.12906047955489594,0.13240485537487492,2.525870981475813
T2,61730,SELECTED,CALIBRATED,S1,LATEST,FROZEN_WEATHER,0.12999817102883635,0.13579629881615904,4.269724460732318
T2,61730,SELECTED,CALIBRATED,S2,LATEST,FROZEN_WEATHER,0.13494854931357986,0.1397305368143764,3.4222923705997874
T2,61730,SELECTED,CALIBRATED,S3,LATEST,FROZEN_WEATHER,0.13430917329777942,0.1372814236553199,2.1650783320859737
T2,61730,SELECTED,CALIBRATED,MEAN,LATEST,FROZEN_WEATHER,0.13207909329877288,0.13630327866518258,3.099107672080326
T2,61730,SELECTED,CALIBRATED,WORST,LATEST,FROZEN_WEATHER,0.13494854931357986,0.1397305368143764,3.4222923705997874
T2,61731,SELECTED,CALIBRATED,S0,LATEST,FROZEN_WEATHER,0.12974152215172544,0.13240485537487492,2.011507218227649
T2,61731,SELECTED,CALIBRATED,S1,LATEST,FROZEN_WEATHER,0.13131767514671808,0.13579629881615904,3.2980454610947243
T2,61731,SELECTED,CALIBRATED,S2,LATEST,FROZEN_WEATHER,0.13678033842467047,0.1397305368143764,2.111348354458183
T2,61731,SELECTED,CALIBRATED,S3,LATEST,FROZEN_WEATHER,0.1358694162240756,0.1372814236553199,1.0285495252361956
T2,61731,SELECTED,CALIBRATED,MEAN,LATEST,FROZEN_WEATHER,0.1334272379867974,0.13630327866518258,2.110030445745863
T2,61731,SELECTED,CALIBRATED,WORST,LATEST,FROZEN_WEATHER,0.13678033842467047,0.1397305368143764,2.111348354458183
T0,61730,SELECTED,CALIBRATED,S0,DROP,FROZEN_WEATHER,0.08502142040586642,0.0896589137559294,5.172372891653821
T0,61730,SELECTED,CALIBRATED,S1,DROP,FROZEN_WEATHER,0.09389976174937098,0.0980543608282096,4.237036521116533
T0,61730,SELECTED,CALIBRATED,S2,DROP,FROZEN_WEATHER,0.09839978975707546,0.10250785075378258,4.007557437307335
T0,61730,SELECTED,CALIBRATED,S3,DROP,FROZEN_WEATHER,0.11114450748855184,0.11422084182876524,2.6933213684638235
T0,61730,SELECTED,CALIBRATED,MEAN,DROP,FROZEN_WEATHER,0.09711636985021618,0.1011104917916717,3.9502546874017908
T0,61730,SELECTED,CALIBRATED,WORST,DROP,FROZEN_WEATHER,0.11114450748855184,0.11422084182876524,2.6933213684638235
T0,61731,SELECTED,CALIBRATED,S0,DROP,FROZEN_WEATHER,0.08606072396018381,0.0896589137559294,4.013198069230037
T0,61731,SELECTED,CALIBRATED,S1,DROP,FROZEN_WEATHER,0.09431285365235816,0.0980543608282096,3.815747860930467
T0,61731,SELECTED,CALIBRATED,S2,DROP,FROZEN_WEATHER,0.0989940394320513,0.10250785075378258,3.4278460585143145
T0,61731,SELECTED,CALIBRATED,S3,DROP,FROZEN_WEATHER,0.11176553408702636,0.11422084182876524,2.1496144682769627
T0,61731,SELECTED,CALIBRATED,MEAN,DROP,FROZEN_WEATHER,0.0977832877829049,0.1011104917916717,3.2906614831052075
T0,61731,SELECTED,CALIBRATED,WORST,DROP,FROZEN_WEATHER,0.11176553408702636,0.11422084182876524,2.1496144682769627
T1,61730,SELECTED,CALIBRATED,S0,DROP,FROZEN_WEATHER,0.08323785559653891,0.08703320735057242,4.360808787323799
T1,61730,SELECTED,CALIBRATED,S1,DROP,FROZEN_WEATHER,0.0908885118661063,0.09498270472920116,4.310461441130294
T1,61730,SELECTED,CALIBRATED,S2,DROP,FROZEN_WEATHER,0.09322868841922666,0.09684594650878871,3.73506400625016
T1,61730,SELECTED,CALIBRATED,S3,DROP,FROZEN_WEATHER,0.10516578979061936,0.10949725996625756,3.9557795117183563
T1,61730,SELECTED,CALIBRATED,MEAN,DROP,FROZEN_WEATHER,0.0931302114181228,0.09708977963870496,4.078254410831594
T1,61730,SELECTED,CALIBRATED,WORST,DROP,FROZEN_WEATHER,0.10516578979061936,0.10949725996625756,3.9557795117183563
T1,61731,SELECTED,CALIBRATED,S0,DROP,FROZEN_WEATHER,0.08287110700168286,0.08703320735057242,4.782198054731558
T1,61731,SELECTED,CALIBRATED,S1,DROP,FROZEN_WEATHER,0.09106349049698156,0.09498270472920116,4.12623987008309
T1,61731,SELECTED,CALIBRATED,S2,DROP,FROZEN_WEATHER,0.09357494366840764,0.09684594650878871,3.3775320065504486
T1,61731,SELECTED,CALIBRATED,S3,DROP,FROZEN_WEATHER,0.10576322661233262,0.10949725996625756,3.410161455250674
T1,61731,SELECTED,CALIBRATED,MEAN,DROP,FROZEN_WEATHER,0.09331819194485116,0.09708977963870496,3.8846392564581045
T1,61731,SELECTED,CALIBRATED,WORST,DROP,FROZEN_WEATHER,0.10576322661233262,0.10949725996625756,3.410161455250674
T2,61730,SELECTED,CALIBRATED,S0,DROP,FROZEN_WEATHER,0.13429354295986498,0.13240485537487492,-1.4264488863664835
T2,61730,SELECTED,CALIBRATED,S1,DROP,FROZEN_WEATHER,0.13370297474576132,0.13579629881615904,1.5415177649515057
T2,61730,SELECTED,CALIBRATED,S2,DROP,FROZEN_WEATHER,0.1386286483566395,0.1397305368143764,0.7885809951483203
T2,61730,SELECTED,CALIBRATED,S3,DROP,FROZEN_WEATHER,0.1392473604171378,0.1372814236553199,-1.4320486410119861
T2,61730,SELECTED,CALIBRATED,MEAN,DROP,FROZEN_WEATHER,0.13646813161985089,0.13630327866518258,-0.12094570012013946
T2,61730,SELECTED,CALIBRATED,WORST,DROP,FROZEN_WEATHER,0.1392473604171378,0.1397305368143764,0.3457915558432642
T2,61731,SELECTED,CALIBRATED,S0,DROP,FROZEN_WEATHER,0.13749446476100624,0.13240485537487492,-3.8439748842451573
T2,61731,SELECTED,CALIBRATED,S1,DROP,FROZEN_WEATHER,0.13722361991441004,0.13579629881615904,-1.0510751108049758
T2,61731,SELECTED,CALIBRATED,S2,DROP,FROZEN_WEATHER,0.14304888852907763,0.1397305368143764,-2.3748221329096233
T2,61731,SELECTED,CALIBRATED,S3,DROP,FROZEN_WEATHER,0.14377523392827457,0.1372814236553199,-4.730290595804896
T2,61731,SELECTED,CALIBRATED,MEAN,DROP,FROZEN_WEATHER,0.14038555178319212,0.13630327866518258,-2.9949926061846988
T2,61731,SELECTED,CALIBRATED,WORST,DROP,FROZEN_WEATHER,0.14377523392827457,0.1397305368143764,-2.8946407894155013
T0,61730,SELECTED,CALIBRATED,S0,PATH,FROZEN_WEATHER,0.08317355327033096,0.0896589137559294,7.233369459787301
T0,61730,SELECTED,CALIBRATED,S1,PATH,FROZEN_WEATHER,0.0914110171108855,0.0980543608282096,6.7751639613083405
T0,61730,SELECTED,CALIBRATED,S2,PATH,FROZEN_WEATHER,0.09575154835846741,0.10250785075378258,6.59100970865478
T0,61730,SELECTED,CALIBRATED,S3,PATH,FROZEN_WEATHER,0.10652459435740112,0.11422084182876524,6.738041278755401
T0,61730,SELECTED,CALIBRATED,MEAN,PATH,FROZEN_WEATHER,0.09421517827427126,0.1011104917916717,6.819582612264969
T0,61730,SELECTED,CALIBRATED,WORST,PATH,FROZEN_WEATHER,0.10652459435740112,0.11422084182876524,6.738041278755401
T0,61731,SELECTED,CALIBRATED,S0,PATH,FROZEN_WEATHER,0.08365051050094235,0.0896589137559294,6.701400901803462
T0,61731,SELECTED,CALIBRATED,S1,PATH,FROZEN_WEATHER,0.09212596709110403,0.0980543608282096,6.046027618794099
T0,61731,SELECTED,CALIBRATED,S2,PATH,FROZEN_WEATHER,0.09632352609978112,0.10250785075378258,6.033025381495721
T0,61731,SELECTED,CALIBRATED,S3,PATH,FROZEN_WEATHER,0.10732074560056977,0.11422084182876524,6.041013284195354
T0,61731,SELECTED,CALIBRATED,MEAN,PATH,FROZEN_WEATHER,0.09485518732309932,0.1011104917916717,6.186602752818988
T0,61731,SELECTED,CALIBRATED,WORST,PATH,FROZEN_WEATHER,0.10732074560056977,0.11422084182876524,6.041013284195354
T1,61730,SELECTED,CALIBRATED,S0,PATH,FROZEN_WEATHER,0.08129086770658299,0.08703320735057242,6.597872029303839
T1,61730,SELECTED,CALIBRATED,S1,PATH,FROZEN_WEATHER,0.08857245135673894,0.09498270472920116,6.748863796559661
T1,61730,SELECTED,CALIBRATED,S2,PATH,FROZEN_WEATHER,0.09108720432905486,0.09684594650878871,5.94629139094763
T1,61730,SELECTED,CALIBRATED,S3,PATH,FROZEN_WEATHER,0.10200443235539047,0.10949725996625756,6.84293617317553
T1,61730,SELECTED,CALIBRATED,MEAN,PATH,FROZEN_WEATHER,0.09073873893694182,0.09708977963870496,6.54141015192015
T1,61730,SELECTED,CALIBRATED,WORST,PATH,FROZEN_WEATHER,0.10200443235539047,0.10949725996625756,6.84293617317553
T1,61731,SELECTED,CALIBRATED,S0,PATH,FROZEN_WEATHER,0.08082382178421242,0.08703320735057242,7.134501594717064
T1,61731,SELECTED,CALIBRATED,S1,PATH,FROZEN_WEATHER,0.08822385951447305,0.09498270472920116,7.1158693932730195
T1,61731,SELECTED,CALIBRATED,S2,PATH,FROZEN_WEATHER,0.09083805987382076,0.09684594650878871,6.203549917727048
T1,61731,SELECTED,CALIBRATED,S3,PATH,FROZEN_WEATHER,0.10169629219462349,0.10949725996625756,7.124349754539975
T1,61731,SELECTED,CALIBRATED,MEAN,PATH,FROZEN_WEATHER,0.09039550834178244,0.09708977963870496,6.894928922316607
T1,61731,SELECTED,CALIBRATED,WORST,PATH,FROZEN_WEATHER,0.10169629219462349,0.10949725996625756,7.124349754539975
T2,61730,SELECTED,CALIBRATED,S0,PATH,FROZEN_WEATHER,0.13614435987467838,0.13240485537487492,-2.8242955964234673
T2,61730,SELECTED,CALIBRATED,S1,PATH,FROZEN_WEATHER,0.13653724133857462,0.13579629881615904,-0.5456279212872105
T2,61730,SELECTED,CALIBRATED,S2,PATH,FROZEN_WEATHER,0.14062253760868862,0.1397305368143764,-0.6383721229792457
