source,method,seed,variant,crossing_reference,window,lead_start,lead_end,n_origins,n_series,scaled_pinball,pce,coverage80,coverage_deficit80,scaled_width80,scaled_mae,raw_mae,scaled_rmse,raw_quantile_crossing_rate,raw_quantile_crossing_any_rate
Electricity,F0_MEDIAN,0,raw,pre_sort_raw_q,prefix_192,1,192,209,32,0.17560857569903504,0.04151936026936026,0.7101034502093302,0.0898965497906699,0.5195745989512528,0.21513130597398591,71.84699115808608,0.3389867588507979,0.001389206881728469,0.00622539124800638
Electricity,F0_MEDIAN,0,raw,pre_sort_raw_q,prefix_256,1,256,209,32,0.1842708697675306,0.05467184696471292,0.666449003812799,0.133550996187201,0.48470247231531954,0.22320197440085354,74.75899272636426,0.35164246773558105,0.001489593651876495,0.006889087731758373
Electricity,F0_MEDIAN,0,ordered,pre_sort_raw_q,full_256,1,256,209,32,0.18426567572163782,0.05465471428927432,0.6665956050014952,0.13340439499850484,0.4847237006553684,0.22319541737847293,74.7573870377722,0.35164134271539166,0.001489593651876495,0.006889087731758373
Electricity,F0_MEDIAN,0,ordered,pre_sort_raw_q,tail_129_256,129,256,209,32,0.20738900094608304,0.08410848306253324,0.5767244037828947,0.2232755962171053,0.42368619944637254,0.2468461235564991,83.49869914659473,0.38520517286288225,0.0016283829246411484,0.007740075508373205
Electricity,F0_MEDIAN,0,ordered,pre_sort_raw_q,block_1,1,64,209,32,0.14900584021670793,0.02080036591241361,0.8176701741925837,-0.017670174192583692,0.6007072230513308,0.18675373444878834,60.67204471163309,0.29178295851786024,0.001308897465610048,0.005924790669856459
Electricity,F0_MEDIAN,0,ordered,pre_sort_raw_q,block_2,65,128,209,32,0.1732788607776773,0.04658966307814992,0.6952634382476076,0.10473656175239238,0.49081518067739793,0.2123356879521054,71.36010514626626,0.33395920938566137,0.0013927112926136365,0.006151409240430622
Electricity,F0_MEDIAN,0,ordered,pre_sort_raw_q,block_3,129,192,209,32,0.20452379967166212,0.07218437458466241,0.6178042763157895,0.18219572368421055,0.46726435013539325,0.2462830651202741,83.50392210009423,0.38371682348243574,0.0014660118869617223,0.006599973833732057
Electricity,F0_MEDIAN,0,ordered,pre_sort_raw_q,block_4,193,256,209,32,0.21025420222050395,0.096458831738437,0.53564453125,0.26435546875000004,0.3801080487573518,0.24740918199272405,83.49347619309522,0.3865458920993462,0.001790753962320574,0.008880177183014355
Electricity,F0_MEDIAN,0,ordered,pre_sort_raw_q,prefix_64,1,64,209,32,0.14900584021670793,0.02080036591241361,0.8176701741925837,-0.017670174192583692,0.6007072230513308,0.18675373444878834,60.67204471163309,0.29178295851786024,0.001308897465610048,0.005924790669856459
Electricity,F0_MEDIAN,0,ordered,pre_sort_raw_q,prefix_128,1,128,209,32,0.1611423504971926,0.02835932827452153,0.7564668062200957,0.043533193779904354,0.5457612018643643,0.1995447112004469,66.01607492894968,0.31386532852958793,0.0013508043791118423,0.0060380999551435405
Electricity,F0_MEDIAN,0,ordered,pre_sort_raw_q,prefix_192,1,192,209,32,0.1756028335553491,0.04151676440944532,0.7102459629186603,0.08975403708133975,0.519595584621374,0.21512416250705596,71.84535731933119,0.33898579248583466,0.001389206881728469,0.00622539124800638
