panel,kind,arm,trained_b,received_b,i,o,condition,nmae,pinball
electricity,shape,C3,81552,81552,81552,81552,RAMP8_D32,0.4363061336969255,0.3418616483443678
electricity,shape,C3,81552,81552,81552,81552,STEP12_D17,0.3010858627054494,0.24886239360924767
electricity,shape,C3,81552,81552,81552,81552,STEP12_D63,0.21120575431728247,0.17280783531552601
electricity,shape,C3,81552,81552,81552,81552,STEP6_D17,0.2341843314157159,0.19321196914922448
electricity,shape,C3,81552,81552,81552,81552,STEP6_D63,0.1919691918074674,0.15692585652894878
electricity,shape,C3,81552,81552,81552,81552,STEP8_D31,0.20793945759001917,0.17168290501330455
electricity,shape,C3,81552,81552,81552,81552,STEP8_D33,0.21064018693066053,0.17276910128452477
electricity,shape,MAG_ONLY,81551,81551,81551,81551,PAIRED_SHIFT8_D32,0.20558481886616045,0.1691750105650321
electricity,shape,MAG_ONLY,81551,81551,81551,81551,PULSE8_D32,2.985563775685048,2.88343145362442
electricity,shape,MAG_ONLY,81551,81551,81551,81551,RAMP8_D32,0.5378923284382193,0.41755893920906045
electricity,shape,MAG_ONLY,81551,81551,81551,81551,STEP12_D17,0.30090430207206453,0.2465101570509788
electricity,shape,MAG_ONLY,81551,81551,81551,81551,STEP12_D63,0.21725425273288776,0.17668686608528758
electricity,shape,MAG_ONLY,81551,81551,81551,81551,STEP6_D17,0.2389582317281187,0.1955394827900343
electricity,shape,MAG_ONLY,81551,81551,81551,81551,STEP6_D63,0.19644446053883338,0.16008890126018757
electricity,shape,MAG_ONLY,81551,81551,81551,81551,STEP8_D31,0.20803554718910747,0.17114284241128214
electricity,shape,MAG_ONLY,81551,81551,81551,81551,STEP8_D33,0.2093428024939328,0.17152369053097935
electricity,shape,MAG_ONLY,81551,81551,81551,81552,PAIRED_SHIFT8_D32,0.2045216008708411,0.16823611474064348
electricity,shape,MAG_ONLY,81551,81551,81551,81552,PULSE8_D32,2.9943364337163545,2.8916677843546337
electricity,shape,MAG_ONLY,81551,81551,81551,81552,RAMP8_D32,0.5306672950442599,0.4114012750784559
electricity,shape,MAG_ONLY,81551,81551,81551,81552,STEP12_D17,0.2926494145170387,0.24074589063110585
electricity,shape,MAG_ONLY,81551,81551,81551,81552,STEP12_D63,0.21819373187052385,0.17743777429702992
electricity,shape,MAG_ONLY,81551,81551,81551,81552,STEP6_D17,0.23757220486095026,0.19460414294524853
electricity,shape,MAG_ONLY,81551,81551,81551,81552,STEP6_D63,0.19646694789913977,0.16011719681696418
electricity,shape,MAG_ONLY,81551,81551,81551,81552,STEP8_D31,0.20768445282189135,0.17060536424032177
electricity,shape,MAG_ONLY,81551,81551,81551,81552,STEP8_D33,0.2076425926325227,0.17007583051559125
electricity,shape,MAG_ONLY,81551,81551,81552,81551,PAIRED_SHIFT8_D32,0.20514462891531116,0.16875426907851349
electricity,shape,MAG_ONLY,81551,81551,81552,81551,PULSE8_D32,2.9902063251155293,2.8884347540792468
electricity,shape,MAG_ONLY,81551,81551,81552,81551,RAMP8_D32,0.535153523772259,0.41549404944339546
electricity,shape,MAG_ONLY,81551,81551,81552,81551,STEP12_D17,0.2995716491128981,0.24589057041094461
electricity,shape,MAG_ONLY,81551,81551,81552,81551,STEP12_D63,0.21815487412016613,0.1774123875215479
electricity,shape,MAG_ONLY,81551,81551,81552,81551,STEP6_D17,0.2391526223510912,0.19574859153841126
electricity,shape,MAG_ONLY,81551,81551,81552,81551,STEP6_D63,0.1961512140642695,0.15992190062199055
electricity,shape,MAG_ONLY,81551,81551,81552,81551,STEP8_D31,0.20784182948565977,0.17085519601909538
electricity,shape,MAG_ONLY,81551,81551,81552,81551,STEP8_D33,0.20850615952823345,0.17079157508999554
electricity,shape,MAG_ONLY,81551,81551,81552,81552,PAIRED_SHIFT8_D32,0.2043288926257025,0.1679945677235862
electricity,shape,MAG_ONLY,81551,81551,81552,81552,PULSE8_D32,2.9984665172097063,2.896154999740275
electricity,shape,MAG_ONLY,81551,81551,81552,81552,RAMP8_D32,0.5289238434153486,0.41032161491429653
electricity,shape,MAG_ONLY,81551,81551,81552,81552,STEP12_D17,0.29220894963358174,0.24055600486118006
electricity,shape,MAG_ONLY,81551,81551,81552,81552,STEP12_D63,0.2198232474154946,0.17858732274555034
electricity,shape,MAG_ONLY,81551,81551,81552,81552,STEP6_D17,0.23774248331052394,0.19471508258456827
electricity,shape,MAG_ONLY,81551,81551,81552,81552,STEP6_D63,0.19642049782344417,0.1600828282457554
electricity,shape,MAG_ONLY,81551,81551,81552,81552,STEP8_D31,0.20758260460288605,0.17041197885216988
electricity,shape,MAG_ONLY,81551,81551,81552,81552,STEP8_D33,0.20709069886584394,0.16955589261466938
electricity,shape,MAG_ONLY,81551,81552,81551,81551,PAIRED_SHIFT8_D32,0.22642882401340766,0.18641055105799692
electricity,shape,MAG_ONLY,81551,81552,81551,81551,PULSE8_D32,2.9231920462903553,2.8095441470135194
