method,baseline,policy,condition,seed,method_score,baseline_score,gain_percent,ci_low,ci_high,replicates
C3,C0,fixed512,delta1,MEAN,0.6942787441604736,0.7051560315973551,1.5425362543154673,-3.3407687896793954,7.646177877073139,2000
C3,C1,fixed512,delta1,73101,0.6976830401640743,0.6521035040138639,-6.989616812309209,-11.020704095601287,-2.86486328634308,2000
C3,C1,fixed512,delta1,73102,0.690874448156873,0.6481670924670274,-6.588942293767895,-13.01739807370436,-0.08818010850926351,2000
C3,C1,fixed512,delta1,MEAN,0.6942787441604736,0.6501352982404456,-6.789886049796065,-11.7866671810897,-1.5204358198355494,2000
C3,C2,fixed512,delta2,73101,0.6950367986968982,0.6974540817361168,0.34658669330624187,-0.5653468718662608,1.5513867481899035,2000
C3,C2,fixed512,delta2,73102,0.6755403348772862,0.6732407939985302,-0.3415629146740276,-0.5988663581647474,-0.06996955695985856,2000
C3,C2,fixed512,delta2,MEAN,0.6852885667870922,0.6853474378673234,0.008589961379950299,-0.45897571277344973,0.5825079850389576,2000
C3,C0,fixed512,delta2,73101,0.6950367986968982,0.692936015020301,-0.30317137961657475,-6.810367220408955,7.34842076547043,2000
C3,C0,fixed512,delta2,73102,0.6755403348772862,0.6850673497103522,1.3906683535705067,-6.389796587727462,9.031027936275603,2000
C3,C0,fixed512,delta2,MEAN,0.6852885667870922,0.6890016823653267,0.5389124109954951,-6.266964054951138,8.220508652648212,2000
C3,C1,fixed512,delta2,73101,0.6950367986968982,0.6609460623854615,-5.15786964346193,-10.981400124193808,0.801657079049485,2000
C3,C1,fixed512,delta2,73102,0.6755403348772862,0.6593694879532573,-2.4524712197746044,-8.546255239361692,3.804996233206897,2000
C3,C1,fixed512,delta2,MEAN,0.6852885667870922,0.6601577751693595,-3.8067856750282965,-9.803755019453329,2.2521365512664655,2000
C3,C2,fixed512,delta4,73101,0.7050439978931167,0.7081882197163667,0.4439810965098099,-0.7801221542364248,1.970738945733091,2000
C3,C2,fixed512,delta4,73102,0.6924521926147876,0.6906491087782322,-0.26107089890337437,-0.5197324794720596,-0.008054854479146107,2000
C3,C2,fixed512,delta4,MEAN,0.6987480952539522,0.6994186642472995,0.0958751928744894,-0.5296171518826841,0.8452096728199102,2000
C3,C0,fixed512,delta4,73101,0.7050439978931167,0.7380082146312845,4.466646317024678,1.0531963332900836,8.459398434061386,2000
C3,C0,fixed512,delta4,73102,0.6924521926147876,0.7151757256411901,3.1773356130103196,0.49432229347209866,6.180641623069535,2000
C3,C0,fixed512,delta4,MEAN,0.6987480952539522,0.7265919701362373,3.8321198178207703,1.2662820931100078,6.806715879471626,2000
C3,C1,fixed512,delta4,73101,0.7050439978931167,0.6859776035083499,-2.7794485253241477,-7.5831859296027115,3.26159813989319,2000
C3,C1,fixed512,delta4,73102,0.6924521926147876,0.6838285020330096,-1.2610896673858953,-4.318691903098796,2.1683243034764845,2000
C3,C1,fixed512,delta4,MEAN,0.6987480952539522,0.6849030527706798,-2.0214601799866805,-5.860682937616496,2.652584841475337,2000
C3,C2,fixed512,irregular,73101,0.6977351539060915,0.7019044975339933,0.594004404096279,-0.46641266546127347,2.049832277849557,2000
C3,C2,fixed512,irregular,73102,0.6824988321692151,0.6801743129295277,-0.3417534587090917,-0.7033989373711709,-0.0049400464571779665,2000
C3,C2,fixed512,irregular,MEAN,0.6901169930376534,0.6910394052317606,0.1334818517039271,-0.40818795090564625,0.817263592074162,2000
C3,C0,fixed512,irregular,73101,0.6977351539060915,0.6943853092551393,-0.4824187099444219,-4.412536083293315,5.815078895927528,2000
C3,C0,fixed512,irregular,73102,0.6824988321692151,0.6856565222513173,0.46053526505284226,-2.716748468938129,5.3421913072645815,2000
C3,C0,fixed512,irregular,MEAN,0.6901169930376534,0.6900209157532283,-0.013923822051131397,-3.361757941941754,5.421537808860984,2000
C3,C1,fixed512,irregular,73101,0.6977351539060915,0.677703681710203,-2.9557862435302957,-7.6759423179810025,2.8761485686884924,2000
