dataset,seed,role,channel,head_mse,lora_head_mse,lora_added_gain_percent
electricity,41001,matched_old_epoch,column_020,0.44030259464617283,0.3828119524956862,13.057075486163347
electricity,41001,matched_old_epoch,column_021,0.23304472551442593,0.20705788738679518,11.151008919110728
electricity,41001,matched_old_epoch,column_022,0.20854803548502274,0.17793700109698687,14.678169620175709
electricity,41001,matched_old_epoch,column_023,0.21535098364930005,0.18549030283794812,13.866052666831637
electricity,41001,matched_old_epoch,column_024,0.2510035415508408,0.22914141601096394,8.709887280793087
electricity,41001,matched_old_epoch,column_025,0.7262479891655217,0.686926239173346,5.414369551281977
electricity,41001,matched_old_epoch,column_026,0.19042214188570114,0.15817843676941046,16.932749940206335
electricity,41001,matched_old_epoch,column_027,0.367858548048358,0.34406223590031604,6.468875679059587
electricity,41001,matched_old_epoch,column_028,0.4369606211533887,0.38575123768628616,11.719450446571527
electricity,41001,matched_old_epoch,column_029,0.7084587747383972,0.6218233248684549,12.228721410350659
electricity,41001,matched_old_epoch,column_030,0.3694784671608041,0.3596963858289894,2.647537597247146
electricity,41001,matched_old_epoch,column_031,0.28881073866886214,0.22908752719669143,20.67901344231066
traffic,41000,selected,column_000,0.6568112907591049,0.5943330371892985,9.512359858734708
traffic,41000,selected,column_001,0.39626460437414823,0.35543676763096166,10.303175275437274
traffic,41000,selected,column_002,0.4228835872664281,0.38764479422847664,8.332977230386119
traffic,41000,selected,column_003,0.7540918487660856,0.68484213114806,9.183194027536343
traffic,41000,selected,column_004,0.3776114157166351,0.3341215391205142,11.517097944082371
traffic,41000,selected,column_005,0.4356273991411231,0.3460115770126051,20.571667967901764
traffic,41000,selected,column_006,0.32975049667621825,0.2672762233654941,18.945922429365613
traffic,41000,selected,column_007,0.19585728291957238,0.1718499120699329,12.25758393651258
traffic,41000,selected,column_008,0.5512617248967905,0.5206324697480422,5.556209285976238
traffic,41000,selected,column_009,0.4128593476523437,0.3729323023679718,9.670858976891388
traffic,41000,selected,column_010,0.46313810656991355,0.42782654065271813,7.624413844656274
traffic,41000,selected,column_011,0.24586031853261373,0.21407172775752875,12.929532900962288
traffic,41000,selected,column_012,1.1512054991433476,1.056656190668823,8.213069564459348
traffic,41000,selected,column_013,0.40928623915986767,0.3697362992284403,9.66314919666261
traffic,41000,selected,column_014,0.36175917672346347,0.3328438244569411,7.9929837657237615
traffic,41000,selected,column_015,0.6802499298439598,0.626637009465722,7.881356252478544
traffic,41000,selected,column_016,0.2931526919819031,0.26406978665225345,9.92073623238124
traffic,41000,selected,column_017,0.1938626988547092,0.17338051763555468,10.565302835541832
traffic,41000,selected,column_018,0.23292891326575837,0.18416156888200058,20.936578331998263
traffic,41000,selected,column_019,0.5342173222112885,0.4359356191381029,18.397326141797052
traffic,41000,selected,column_020,0.09454742940980919,0.04742545270336347,49.8395112385328
traffic,41000,selected,column_021,0.7600609649230918,0.6812538767936397,10.368521969474696
traffic,41000,selected,column_022,0.29862243416877016,0.27737285759183955,7.115867445150201
traffic,41000,selected,column_023,0.3962307566074191,0.3672874853689461,7.304650322021725
traffic,41000,selected,column_024,0.2955428211478854,0.2509396378637651,15.091952871966896
traffic,41000,selected,column_025,0.5407774438766366,0.479098609683306,11.405585586406403
traffic,41000,selected,column_026,0.26761825136807,0.23993056449863973,10.345963598480388
traffic,41000,selected,column_027,0.11919315972506768,0.11377366824809743,4.546814170771976
traffic,41000,selected,column_028,0.44655073083384406,0.408048353648284,8.622173143388338
traffic,41000,selected,column_029,0.891625490375156,0.7790897216475934,12.621416720624783
traffic,41000,selected,column_030,0.3107408270160337,0.28967753281606373,6.778412222891832
