method,baseline,policy,condition,seed,method_score,baseline_score,gain_percent,ci_low,ci_high,replicates
A3,A2,selected,d6_c3,73102,0.45060112272541153,0.4498146748559703,-0.17483819746277243,-0.2174882346390272,-0.026253255028567117,2000
A3,A2,selected,d6_c3,MEAN,0.4407386726257214,0.4397018208547479,-0.23580793205676273,-0.2879138962706714,-0.017936536280383344,2000
A3,A1,selected,d6_c3,73101,0.43087622252603136,0.42366434848695267,-1.7022612511141686,-2.0627900805376447,-0.050467096911556326,2000
A3,A1,selected,d6_c3,73102,0.45060112272541153,0.44127048450871453,-2.1144940675298503,-2.400378343040279,-0.5386343905626328,2000
A3,A1,selected,d6_c3,MEAN,0.4407386726257214,0.4324674164978336,-1.9125732511524947,-2.23587928161489,-0.2945932653144208,2000
A3,A0,selected,d6_c3,73101,0.43087622252603136,0.3966485614194533,-8.629215995159633,-23.552802117159455,14.973712154986213,2000
A3,A0,selected,d6_c3,73102,0.45060112272541153,0.3769632431522123,-19.534498631068207,-36.1867549116486,8.823089431552104,2000
A3,A0,selected,d6_c3,MEAN,0.4407386726257214,0.3868059022858328,-13.9431094564929,-29.733497869264873,11.997737913182334,2000
A3,A2,fixed512,PRIMARY,73101,0.3294897874067431,0.32830244920731144,-0.3616598664732816,-0.948338902766244,0.5570704437096827,2000
A3,A2,fixed512,PRIMARY,73102,0.3206470445031518,0.31800061105243016,-0.8322101778242499,-1.0937786854992362,-0.5576653414304273,2000
A3,A2,fixed512,PRIMARY,MEAN,0.32506841595494745,0.3231515301298708,-0.59318482085054,-0.8482756913236474,-0.24166721747036912,2000
A3,A1,fixed512,PRIMARY,73101,0.3294897874067431,0.3262205486651988,-1.002155981565577,-1.6310315303248677,-0.14149713902925168,2000
A3,A1,fixed512,PRIMARY,73102,0.3206470445031518,0.31849378741870954,-0.6760750662968065,-1.9573983149248455,0.5530852680665362,2000
A3,A1,fixed512,PRIMARY,MEAN,0.32506841595494745,0.32235716804195413,-0.8410695283935663,-1.231699697566814,-0.06857282083574312,2000
A3,A0,fixed512,PRIMARY,73101,0.3294897874067431,0.307619039803956,-7.109685933850269,-40.39698235115623,4.600978369361337,2000
A3,A0,fixed512,PRIMARY,73102,0.3206470445031518,0.2858558195856667,-12.170899640214843,-46.12469798299218,-0.41438201756064436,2000
A3,A0,fixed512,PRIMARY,MEAN,0.32506841595494745,0.2967374296948113,-9.547493313962452,-43.20423582532152,0.5469672114068709,2000
A3,A2,fixed512,all24,73101,0.43418698948103246,0.42783220940420036,-1.4853440056983496,-2.2464199955165887,0.6265739098326633,2000
A3,A2,fixed512,all24,73102,0.4314388026345302,0.43005129044333934,-0.3226387693803898,-0.9926904820644279,-0.08237032000763285,2000
A3,A2,fixed512,all24,MEAN,0.43281289605778134,0.4289417499237699,-0.9024876069301783,-1.1472370831127123,-0.16111994094878757,2000
A3,A1,fixed512,all24,73101,0.43418698948103246,0.42959033812739555,-1.0700080857669947,-2.305014632555687,0.23365011242504738,2000
A3,A1,fixed512,all24,73102,0.4314388026345302,0.43679911496134244,1.2271802169944004,-1.753134468419886,3.9969945873782082,2000
A3,A1,fixed512,all24,MEAN,0.43281289605778134,0.43319472654436897,0.08814292122933377,-1.3136422941372419,2.1727036144332215,2000
A3,A0,fixed512,all24,73101,0.43418698948103246,0.3031273788478691,-43.235820905157624,-120.09823622128867,-8.011717469442052,2000
A3,A0,fixed512,all24,73102,0.4314388026345302,0.2836844880002766,-52.08403028159563,-134.71176260937864,-4.033839267617746,2000
A3,A0,fixed512,all24,MEAN,0.43281289605778134,0.29340593342407284,-47.51334133117796,-127.25257639084681,-6.023295224527812,2000
A3,A2,fixed512,d0_c0,73101,0.4372727390740325,0.44045311698047585,0.7220695651438197,-0.10739157787626122,1.265069732508242,2000
A3,A2,fixed512,d0_c0,73102,0.41404131577213255,0.409565473003958,-1.0928271700606162,-1.6766677979734863,-0.07078844414542741,2000
A3,A2,fixed512,d0_c0,MEAN,0.42565702742308253,0.42500929499221696,-0.15240429762305296,-0.26028156734612296,0.25406513045009826,2000
A3,A1,fixed512,d0_c0,73101,0.4372727390740325,0.4334505922588123,-0.8817952688222552,-1.0068287702180723,-0.6634420269499813,2000
A3,A1,fixed512,d0_c0,73102,0.41404131577213255,0.40793219375910283,-1.497582712640068,-2.3056444249641532,-0.45746161901937904,2000
A3,A1,fixed512,d0_c0,MEAN,0.42565702742308253,0.4206913930089575,-1.1803508454519958,-1.5179525405757806,-0.7326599848275427,2000
A3,A0,fixed512,d0_c0,73101,0.4372727390740325,0.4487151193863161,2.5500322627712433,-6.081509357483153,12.647998527123011,2000
A3,A0,fixed512,d0_c0,73102,0.41404131577213255,0.43854836505554984,5.588220419043871,-3.9136980618641317,8.252091294310933,2000
A3,A0,fixed512,d0_c0,MEAN,0.42565702742308253,0.44363174222093293,4.051719723179505,-4.601189235146066,10.514097936005768,2000
A3,A2,fixed512,d0_c1,73101,0.2802267099751977,0.2800528231019358,-0.06209074107373898,-0.17927514647506196,0.16985701627886604,2000
A3,A2,fixed512,d0_c1,73102,0.27497770887530887,0.2737829255546104,-0.4363980398989951,-1.0555178779361574,0.18274771042772714,2000
A3,A2,fixed512,d0_c1,MEAN,0.27760220942525327,0.2769178743282731,-0.24712565002898115,-0.6143323311020037,0.17617998334449556,2000
A3,A1,fixed512,d0_c1,73101,0.2802267099751977,0.27865841758986676,-0.5628010088104335,-1.3516577207178246,0.26489161796956806,2000
A3,A1,fixed512,d0_c1,73102,0.27497770887530887,0.2705554596966269,-1.6345074624036797,-2.744358580353489,1.3644681023311822,2000
A3,A1,fixed512,d0_c1,MEAN,0.27760220942525327,0.2746069386432468,-1.090748397256536,-1.6716037851863152,0.8072520713531005,2000
A3,A0,fixed512,d0_c1,73101,0.2802267099751977,0.3063310542852116,8.521612139822194,-20.09043643203469,21.426035633653257,2000
A3,A0,fixed512,d0_c1,73102,0.27497770887530887,0.3038960435675654,9.515864159589524,-22.452668684847087,20.530939038237452,2000
A3,A0,fixed512,d0_c1,MEAN,0.27760220942525327,0.30511354892638853,9.01675445024981,-21.245332520027894,20.982203401719012,2000
A3,A2,fixed512,d0_c2,73101,0.010981676077776448,0.01107891684884044,0.877710090171585,-1.1100754541183167,4.959964665715736,2000
A3,A2,fixed512,d0_c2,73102,0.010515437509660426,0.010472207876060813,-0.4128034327740412,-0.617622827701916,0.2449839616006632,2000
A3,A2,fixed512,d0_c2,MEAN,0.010748556793718438,0.010775562362450627,0.2506186482321853,-0.8438483856185316,2.7685693813617878,2000
A3,A1,fixed512,d0_c2,73101,0.010981676077776448,0.010787707194653596,-1.7980547638425255,-4.2079470298230115,2.9250752883548303,2000
A3,A1,fixed512,d0_c2,73102,0.010515437509660426,0.009982248583761545,-5.341370948888577,-6.490888402453343,-2.004675443240924,2000
