panel,kind,condition,factor,excluded,removed_cells,gain_pct,change_pp
electricity,shape,STEP6_D17,index_week,149,36,0.16788666926738824,-0.0018536901311082266
electricity,shape,STEP6_D17,index_week,150,24,0.15906814984983986,-0.010672209548656608
electricity,shape,STEP6_D17,index_week,151,24,0.164306048539527,-0.005434310858969477
electricity,shape,STEP6_D17,index_week,152,24,0.14480841580639753,-0.024931943592098937
electricity,shape,STEP6_D17,index_week,153,24,0.16230976557829946,-0.007430593820197007
electricity,shape,STEP6_D17,index_week,154,24,0.16109021378298072,-0.008650145615515747
electricity,shape,STEP6_D17,index_week,155,12,0.16677400877975515,-0.0029663506187413147
electricity,shape,STEP6_D17,index_week,156,12,0.17835017941385525,0.008609820015358788
electricity,shape,STEP6_D63,seed,81551,256,-0.1064459869360088,-0.07876455473424439
electricity,shape,STEP6_D63,seed,81552,256,0.16488553870245284,0.19256697090421726
electricity,shape,STEP6_D63,seed,81553,256,-0.14269875213215819,-0.11501731993039377
electricity,shape,STEP6_D63,channel,0,192,-0.019843353100469245,0.007838079101295175
electricity,shape,STEP6_D63,channel,1,192,-0.012457033728071778,0.015224398473692642
electricity,shape,STEP6_D63,channel,2,192,-0.03676781907862626,-0.009086386876861838
electricity,shape,STEP6_D63,channel,3,192,-0.038892163898866704,-0.011210731697102284
electricity,shape,STEP6_D63,index_week,125,24,-0.020422395664840227,0.007259036536924193
electricity,shape,STEP6_D63,index_week,126,24,-0.016278103215236716,0.011403328986527704
electricity,shape,STEP6_D63,index_week,127,24,-0.02900925149141314,-0.0013278192896487191
electricity,shape,STEP6_D63,index_week,128,24,-0.018670926335113778,0.009010505866650642
electricity,shape,STEP6_D63,index_week,129,24,-0.027298475865145402,0.00038295633661901765
electricity,shape,STEP6_D63,index_week,130,24,-0.031707552444448,-0.004026120242683579
electricity,shape,STEP6_D63,index_week,131,24,-0.03376511913963159,-0.006083686937867167
electricity,shape,STEP6_D63,index_week,132,24,-0.03323347050852778,-0.0055520383067633634
electricity,shape,STEP6_D63,index_week,133,24,-0.03027244479476007,-0.0025910125929956493
electricity,shape,STEP6_D63,index_week,134,24,-0.033468410336837624,-0.005786978135073204
electricity,shape,STEP6_D63,index_week,135,24,-0.04156405137477735,-0.013882619173012933
electricity,shape,STEP6_D63,index_week,136,36,-0.020802900400239688,0.006878531801524732
electricity,shape,STEP6_D63,index_week,137,24,-0.03567166907255737,-0.007990236870792953
electricity,shape,STEP6_D63,index_week,138,24,-0.03396261987424985,-0.0062811876724854325
