panel,kind,stage,condition,baseline,seed,TRP_nmae,baseline_nmae,gain_pct
electricity,standard,selected,BURST8,B0,81551,0.17872290330736126,0.17872762209688764,0.002640212783566742
electricity,standard,selected,BURST8,B0,81552,0.1777213730773606,0.17771955864932934,-0.0010209501109859076
electricity,standard,selected,BURST8,C3,81551,0.17872290330736126,0.17960613445699813,0.4917600127117838
electricity,standard,selected,BURST8,C3,81552,0.1777213730773606,0.17805907156351627,0.18965531112252743
electricity,standard,selected,BURST8,MAG_ONLY,81551,0.17872290330736126,0.17956678607337842,0.4699548198586756
electricity,standard,selected,BURST8,MAG_ONLY,81552,0.1777213730773606,0.17816976161134337,0.2516636548916096
electricity,standard,selected,FAULT,PLAIN,81551,0.1721358368310377,0.1725517992898465,0.2410652688182635
electricity,standard,selected,FAULT,PLAIN,81552,0.17078098717530385,0.1710933026205127,0.18254101149801638
electricity,standard,selected,FAULT,ANCHOR,81551,0.1721358368310377,0.1721422278324687,0.0037126285115984814
electricity,standard,selected,FAULT,ANCHOR,81552,0.17078098717530385,0.17077919925103932,-0.0010469215644404173
electricity,standard,selected,FAULT,SHUFFLE,81551,0.1721358368310377,0.1721355494755131,-0.0001669356071154482
electricity,standard,selected,FAULT,SHUFFLE,81552,0.17078098717530385,0.17078325889180757,0.001330175169655945
electricity,standard,selected,FAULT,IDEAL,81551,0.1721358368310377,0.1735083318720501,0.7910254373400982
electricity,standard,selected,FAULT,IDEAL,81552,0.17078098717530385,0.17312607309125924,1.3545538659097467
electricity,standard,selected,FAULT,B0,81551,0.1721358368310377,0.17214110393742862,0.0030597610160776334
electricity,standard,selected,FAULT,B0,81552,0.17078098717530385,0.17077919925103932,-0.0010469215644404173
electricity,standard,selected,FAULT,C3,81551,0.1721358368310377,0.1728421641129205,0.40865450019553773
electricity,standard,selected,FAULT,C3,81552,0.17078098717530385,0.1711469339711502,0.213820246355112
electricity,standard,selected,FAULT,MAG_ONLY,81551,0.1721358368310377,0.17279266810553473,0.38012682001985487
electricity,standard,selected,FAULT,MAG_ONLY,81552,0.17078098717530385,0.17124318181103884,0.26990542388134475
electricity,standard,selected,POINT16,PLAIN,81551,0.17026872797321613,0.1706895472212371,0.24654072547016792
electricity,standard,selected,POINT16,PLAIN,81552,0.16876983953284402,0.168978733893317,0.12362168638619941
electricity,standard,selected,POINT16,ANCHOR,81551,0.17026872797321613,0.17027730655204595,0.005038004772062177
electricity,standard,selected,POINT16,ANCHOR,81552,0.16876983953284402,0.16876769521055598,-0.0012705762707510004
electricity,standard,selected,POINT16,SHUFFLE,81551,0.17026872797321613,0.170270235734305,0.0008855106603755658
electricity,standard,selected,POINT16,SHUFFLE,81552,0.16876983953284402,0.16876901634165126,-0.00048776203749323344
electricity,standard,selected,POINT16,IDEAL,81551,0.17026872797321613,0.17070471261650386,0.2554028161291577
electricity,standard,selected,POINT16,IDEAL,81552,0.16876983953284402,0.17016914928745966,0.8223051948457738
electricity,standard,selected,POINT16,B0,81551,0.17026872797321613,0.17027529281283102,0.0038554270008539504
electricity,standard,selected,POINT16,B0,81552,0.16876983953284402,0.16876769521055598,-0.0012705762707510004
electricity,standard,selected,POINT16,C3,81551,0.17026872797321613,0.17104560266798138,0.4541915621609105
electricity,standard,selected,POINT16,C3,81552,0.16876983953284402,0.16887446805773837,0.061956390505746306
electricity,standard,selected,POINT16,MAG_ONLY,81551,0.17026872797321613,0.1709991345245697,0.42714049599392734
electricity,standard,selected,POINT16,MAG_ONLY,81552,0.16876983953284402,0.16894445841139932,0.10335874890319285
electricity,standard,selected,POINT4,PLAIN,81551,0.16817338235771373,0.16809097705759404,-0.04902422578663135
electricity,standard,selected,POINT4,PLAIN,81552,0.16643664874529085,0.16673550962385342,0.17924248963929745
electricity,standard,selected,POINT4,ANCHOR,81551,0.16817338235771373,0.1681806732554546,0.0043351578987937955
electricity,standard,selected,POINT4,ANCHOR,81552,0.16643664874529085,0.166434772362149,-0.0011273985088600114
electricity,standard,selected,POINT4,SHUFFLE,81551,0.16817338235771373,0.1681740565297422,0.00040087754460405023
electricity,standard,selected,POINT4,SHUFFLE,81552,0.16643664874529085,0.16643459615177847,-0.001233273345713215
electricity,standard,selected,POINT4,IDEAL,81551,0.16817338235771373,0.16802945875592099,-0.0856537912210964
electricity,standard,selected,POINT4,IDEAL,81552,0.16643664874529085,0.1674518798993837,0.6062823270200801
electricity,standard,selected,POINT4,B0,81551,0.16817338235771373,0.168178908770806,0.00328603219788004
electricity,standard,selected,POINT4,B0,81552,0.16643664874529085,0.166434772362149,-0.0011273985088600114
electricity,standard,selected,POINT4,C3,81551,0.16817338235771373,0.16838752774103136,0.12717413587006732
electricity,standard,selected,POINT4,C3,81552,0.16643664874529085,0.1668756511403832,0.2630715698139996
electricity,standard,selected,POINT4,MAG_ONLY,81551,0.16817338235771373,0.16836168083364886,0.11184164650932527
electricity,standard,selected,POINT4,MAG_ONLY,81552,0.16643664874529085,0.1669542799996041,0.3100437163482628
electricity,standard,selected,POINT8,PLAIN,81551,0.16976245437732448,0.16985882453251872,0.05673544218821602
electricity,standard,selected,POINT8,PLAIN,81552,0.16780440308680736,0.16798649030940324,0.10839396802713175
electricity,standard,selected,POINT8,ANCHOR,81551,0.16976245437732448,0.16977043057035077,0.00469822277029408
electricity,standard,selected,POINT8,ANCHOR,81552,0.16780440308680736,0.16780233712429604,-0.0012311881626425603
electricity,standard,selected,POINT8,SHUFFLE,81551,0.16976245437732448,0.16976318643773636,0.0004312244764270723
electricity,standard,selected,POINT8,SHUFFLE,81552,0.16780440308680736,0.1678034658408309,-0.0005585379132533319
electricity,standard,selected,POINT8,IDEAL,81551,0.16976245437732448,0.16946480383187087,-0.1756415130004907
electricity,standard,selected,POINT8,IDEAL,81552,0.16780440308680736,0.16882268524349847,0.6031666628346866
electricity,standard,selected,POINT8,B0,81551,0.16976245437732448,0.16976856010553898,0.0035965011487948395
electricity,standard,selected,POINT8,B0,81552,0.16780440308680736,0.16780233712429604,-0.0012311881626425603
electricity,standard,selected,POINT8,C3,81551,0.16976245437732448,0.1701542118742548,0.23023673208855122
electricity,standard,selected,POINT8,C3,81552,0.16780440308680736,0.16818500621149132,0.22630027090843052
electricity,standard,selected,POINT8,MAG_ONLY,81551,0.16976245437732448,0.17011918040100535,0.2096918306565998
electricity,standard,selected,POINT8,MAG_ONLY,81552,0.16780440308680736,0.168276861665601,0.2807626515714867
electricity,standard,selected,REFERENCE,PLAIN,81551,0.1672115108094925,0.16723609175491724,0.014698349600728022
electricity,standard,selected,REFERENCE,PLAIN,81552,0.16583339933873284,0.1659924363419048,0.0958097890944809
electricity,standard,selected,REFERENCE,ANCHOR,81551,0.1672115108094925,0.16721790138333362,0.0038217043679233953
electricity,standard,selected,REFERENCE,ANCHOR,81552,0.16583339933873284,0.16583180785731813,-0.0009596961133562232
electricity,standard,selected,REFERENCE,SHUFFLE,81551,0.1672115108094925,0.1672117332957065,0.0001330565801760386
electricity,standard,selected,REFERENCE,SHUFFLE,81552,0.16583339933873284,0.1658334453872129,2.776790890557379e-05
electricity,standard,selected,REFERENCE,IDEAL,81551,0.1672115108094925,0.167071996847947,-0.08350529363247983
electricity,standard,selected,REFERENCE,IDEAL,81552,0.16583339933873284,0.1667142722197487,0.5283728077310368
electricity,standard,selected,REFERENCE,B0,81551,0.1672115108094925,0.16721632685824064,0.0028801306897641155
electricity,standard,selected,REFERENCE,B0,81552,0.16583339933873284,0.16583180785731813,-0.0009596961133562232
electricity,standard,selected,REFERENCE,C3,81551,0.1672115108094925,0.1675442325905699,0.19858742729179646
electricity,standard,selected,REFERENCE,C3,81552,0.16583339933873284,0.16616170999686328,0.1975850261390799
electricity,standard,selected,REFERENCE,MAG_ONLY,81551,0.1672115108094925,0.1675246167036819,0.1869014240117428
electricity,standard,selected,REFERENCE,MAG_ONLY,81552,0.16583339933873284,0.16625464002449933,0.2533707845413624
electricity,standard,selected,SHIFT4,PLAIN,81551,0.19246347628163357,0.18927886158799068,-1.6824988627493598
electricity,standard,selected,SHIFT4,PLAIN,81552,0.19013785858027993,0.18890730360053112,-0.6514067779777255
electricity,standard,selected,SHIFT4,ANCHOR,81551,0.19246347628163357,0.19247475132206537,0.005857932198560789
electricity,standard,selected,SHIFT4,ANCHOR,81552,0.19013785858027993,0.19013963598199893,0.000934787589035313
electricity,standard,selected,SHIFT4,SHUFFLE,81551,0.19246347628163357,0.19244097148219022,-0.011694390892968975
electricity,standard,selected,SHIFT4,SHUFFLE,81552,0.19013785858027993,0.19004208973565997,-0.05039349164870366
electricity,standard,selected,SHIFT4,IDEAL,81551,0.19246347628163357,0.18802965835229224,-2.3580417941483134
electricity,standard,selected,SHIFT4,IDEAL,81552,0.19013785858027993,0.18793280302888088,-1.1733212700819395
electricity,standard,selected,SHIFT4,B0,81551,0.19246347628163357,0.19247533076026166,0.006158959998281421
electricity,standard,selected,SHIFT4,B0,81552,0.19013785858027993,0.19013963598199893,0.000934787589035313
electricity,standard,selected,SHIFT4,C3,81551,0.19246347628163357,0.18950369926989694,-1.5618571157923533
electricity,standard,selected,SHIFT4,C3,81552,0.19013785858027993,0.18875601381224014,-0.7320798633808634
electricity,standard,selected,SHIFT4,MAG_ONLY,81551,0.19246347628163357,0.18951514161766686,-1.5557251197979571
electricity,standard,selected,SHIFT4,MAG_ONLY,81552,0.19013785858027993,0.1888051048091325,-0.7058886318220825
electricity,standard,selected,SHIFT8,PLAIN,81551,0.20831734878914462,0.20165933133965336,-3.3016163473621907
electricity,standard,selected,SHIFT8,PLAIN,81552,0.21172860027753523,0.20714878098012218,-2.2108840205304015
electricity,standard,selected,SHIFT8,ANCHOR,81551,0.20831734878914462,0.20832701377523555,0.004639334052636279
electricity,standard,selected,SHIFT8,ANCHOR,81552,0.21172860027753523,0.21173237594266703,0.0017832252223959344
electricity,standard,selected,SHIFT8,SHUFFLE,81551,0.20831734878914462,0.20816085239483073,-0.07518051185582131
electricity,standard,selected,SHIFT8,SHUFFLE,81552,0.21172860027753523,0.21095683725136793,-0.36583930448659263
