panel,stage,arm,pulse_nmae,paired_shift_nmae,pair_nmae,oracle_pair_floor_nmae,avoidable_excess_nmae,prediction_inside_target_interval_fraction,floor_fraction_pct,oracle_joint_improvement_upper_bound_pct
ettm1,fixed1024,C3,6.456784661042727,0.5432033559148122,3.4999940084787693,3.312905524803628,0.1870884836751416,0.59130859375,94.65460560155482,5.345394398445196
ettm1,fixed1024,IDEAL,6.592698658078658,0.5329894753491169,3.5628440667138874,3.312905524803628,0.24993854191025974,0.5121612548828125,92.9848588029623,7.015141197037713
ettm1,fixed1024,MAG_ONLY,6.4530368059548096,0.5441964747093632,3.498616640332086,3.312905524803628,0.1857111155284587,0.5944366455078125,94.69187011267314,5.308129887326871
ettm1,fixed1024,PLAIN,6.4971803119283615,0.5320731198489881,3.514626715888675,3.312905524803628,0.20172119108504688,0.5587005615234375,94.26052302587014,5.7394769741298575
ettm1,fixed1024,SHUFFLE,6.518403966052988,0.5387722502198788,3.528588108136433,3.312905524803628,0.21568258333280557,0.5475311279296875,93.88756701765584,6.112432982344171
ettm1,fixed1024,TRP,6.519527965622114,0.5391680606438928,3.5293480131330033,3.312905524803628,0.21644248832937557,0.5469207763671875,93.86735205698122,6.132647943018787
ettm1,selected,ANCHOR,6.5197745480877005,0.5391435495455101,3.529459048816605,3.312905524803628,0.21655352401297773,0.5467681884765625,93.86439901928922,6.135600980710801
ettm1,selected,B0,6.520033788023088,0.5390620718343305,3.529547929928709,3.312905524803628,0.21664240512508176,0.546539306640625,93.86203532503221,6.13796467496781
ettm1,selected,C3,6.498709059417222,0.54246510657104,3.5205870829941306,3.312905524803628,0.2076815581905031,0.5629119873046875,94.10093960766689,5.899060392333132
ettm1,selected,IDEAL,6.582900301083189,0.5356802231807949,3.559290262131992,3.312905524803628,0.24638473732836427,0.5185089111328125,93.07770035083396,6.9222996491660505
ettm1,selected,MAG_ONLY,6.520033788023088,0.5390620718343305,3.529547929928709,3.312905524803628,0.21664240512508176,0.546539306640625,93.86203532503221,6.13796467496781
ettm1,selected,PLAIN,6.521059882203903,0.5340570074320272,3.5275584448179647,3.312905524803628,0.21465292001433722,0.5464019775390625,93.9149719736135,6.085028026386509
ettm1,selected,SHUFFLE,6.518625751102735,0.5388337232126698,3.528729737157702,3.312905524803628,0.21582421235407448,0.5474395751953125,93.88379874827379,6.1162012517262125
ettm1,selected,TRP,6.520043147196487,0.5389359323029275,3.5294895397497075,3.312905524803628,0.21658401494607982,0.5466156005859375,93.86358813344327,6.136411866556737
