dataset,seed,arm,role,channel,valid_count,standardized_mse,standardized_mae,raw_mae
electricity,41001,SHARED_BUDGET,selected,column_004,5184,0.33438164897665035,0.43335542578926023,30.191600007212475
electricity,41001,SHARED_BUDGET,selected,column_005,5184,0.3136708668654666,0.43356253470999856,110.5360658058245
electricity,41001,SHARED_BUDGET,selected,column_006,5184,0.6040311274678715,0.403029898673628,11.491899841419233
electricity,41001,SHARED_BUDGET,selected,column_007,5184,0.46352748767001384,0.5343985899431056,126.72130393628929
electricity,41001,SHARED_BUDGET,selected,column_008,5184,0.33405361357165697,0.44034640303333966,39.5181824486588
electricity,41001,SHARED_BUDGET,selected,column_009,5184,0.7683311014525867,0.6545025648390745,68.64068873587826
electricity,41001,SHARED_BUDGET,selected,column_010,5184,0.27055934109069596,0.3988640546934524,20.3132811697648
electricity,41001,SHARED_BUDGET,selected,column_011,5184,1.1543576911257962,0.8398428856669425,124.0506460625533
electricity,41001,SHARED_BUDGET,selected,column_012,5184,0.29956309243083756,0.39723938795618274,30.32630255778205
electricity,41001,SHARED_BUDGET,selected,column_013,5184,0.34972699754084924,0.4572142485144973,21.102149232543514
electricity,41001,SHARED_BUDGET,selected,column_014,5184,0.35430385969113204,0.47715383239146497,25.661456719439226
electricity,41001,SHARED_BUDGET,selected,column_015,5184,0.4655535249360979,0.5500821669884317,190.48867281563906
electricity,41001,SHARED_BUDGET,selected,column_016,5184,0.3832909014052929,0.47958847618680506,4.787116195125977
electricity,41001,SHARED_BUDGET,selected,column_017,5184,0.5196866467348891,0.5719729740575766,25.11934378964671
electricity,41001,SHARED_BUDGET,selected,column_018,5184,0.24786155213019115,0.39409579261034455,80.32624731906081
electricity,41001,SHARED_BUDGET,selected,column_019,5184,1.0658895978317589,0.7453048156824895,34.67196912064814
electricity,41001,SHARED_BUDGET,selected,column_020,5184,0.9316465788748453,0.7840452140296327,11.494031582697454
electricity,41001,SHARED_BUDGET,selected,column_021,5184,0.35331014695870655,0.47556078875465946,142.1247178202056
electricity,41001,SHARED_BUDGET,selected,column_022,5184,0.31242243425035554,0.4095637750972485,14.238566325860933
electricity,41001,SHARED_BUDGET,selected,column_023,5184,0.3284664127026852,0.4356752947932375,13.090439426395005
electricity,41001,SHARED_BUDGET,selected,column_024,5184,0.38060865119038717,0.47418618026957704,41.198910831942285
electricity,41001,SHARED_BUDGET,selected,column_025,5184,1.076168756498185,0.8545167451556613,104.38610416253304
electricity,41001,SHARED_BUDGET,selected,column_026,5184,0.32461521254358705,0.43795321179726515,45.9873602466388
electricity,41001,SHARED_BUDGET,selected,column_027,5184,0.5373480443191191,0.5781738989261399,9.824595381608582
electricity,41001,SHARED_BUDGET,selected,column_028,5184,0.49223766607218855,0.5543977301177945,71.04696067691829
electricity,41001,SHARED_BUDGET,selected,column_029,5184,0.9494065908984904,0.7205792893175924,72.38598232348708
electricity,41001,SHARED_BUDGET,selected,column_030,5184,0.5012628181156172,0.5119625637767451,76.30539630337996
electricity,41001,SHARED_BUDGET,selected,column_031,5184,0.5387039234974945,0.576029142485654,67.22326817385554
electricity,41001,INDIV_BUDGET,INIT,column_000,5184,0.4435832380221994,0.36824390209293606,9.076947805249302
electricity,41001,INDIV_BUDGET,INIT,column_001,5184,0.6000071331918606,0.6099985582348628,16.025694461291287
electricity,41001,INDIV_BUDGET,INIT,column_002,5184,0.000769502412646548,0.017313639335851703,1.0105790043123828
electricity,41001,INDIV_BUDGET,INIT,column_003,5184,0.7772703541522844,0.6894798495643808,105.70060187824106
