fit,dataset,arm,seed,lr,mode,updates,active_seconds,median_step_seconds,step_peak_allocated,step_peak_reserved,current_run_wall_seconds,current_validation_seconds,current_load_peak,current_validation_peak,current_checkpoint_seconds,current_resume_save_seconds
22_electricity_PRIOR_41002_0.001,electricity,PRIOR,41002,0.001,NEW,1280,48.989768710307544,0.03766964000533335,446556160,471859200,195.1516212290153,4.345495771034621,222680576,339703808,0.14639689802424982,26.512236707203556
23_electricity_SIDE_41002_0.0003,electricity,SIDE,41002,0.0003,NEW,1280,48.8643393322709,0.037439800493302755,446556160,471859200,195.3604742650059,4.333255432866281,222680576,339703808,0.1467391851474531,26.47634358238429
24_traffic_PRIOR_41001_0.001,traffic,PRIOR,41001,0.001,REUSE,1260,48.28106000972912,0.037784923988510855,447096832,490733568,8.132093522988725,3.2466790070175193,222680576,330035712,0.18943619102356024,0.0
25_electricity_LH_41001_0.0003,electricity,LH,41001,0.0003,NEW,1280,60.014261984440964,0.04612803700729273,1121556992,1195376640,208.17177589301718,3.3247699989005923,221992448,299907072,0.14575189002789557,27.199973950831918
26_traffic_SIDE_41002_0.001,traffic,SIDE,41002,0.001,NEW,1260,48.43641091804602,0.037649412493919954,446556160,469762048,192.9731994009926,3.249727683054516,222680576,339703808,0.1518553100177087,26.20263829184114
27_electricity_SIDE_41002_0.001,electricity,SIDE,41002,0.001,NEW,1280,50.525206883176,0.03890116848924663,446556160,471859200,202.65297803800786,4.499649659002898,222680576,339703808,0.1522670790727716,27.886280687205726
28_electricity_PRIOR_41000_0.0003,electricity,PRIOR,41000,0.0003,NEW,1280,52.20241090588388,0.04024727649812121,446556160,471859200,209.37911768999766,4.715650871017715,222680576,339703808,0.15657680100412108,29.018295807705726
29_electricity_LH_41002_0.001,electricity,LH,41002,0.001,NEW,1280,62.9019580205204,0.04884204150584992,1121556992,1195376640,216.76845722697908,3.5481013429234736,221992448,299907072,0.16863460509921424,28.94793502643006
30_traffic_LH_41001_0.0003,traffic,LH,41001,0.0003,NEW,1260,62.23340825282503,0.04887765500461683,1121556992,1195376640,213.04406956300954,2.6179394179198425,221992448,299907072,0.1668031790468376,28.27984205185203
31_electricity_LH_41001_0.001,electricity,LH,41001,0.001,NEW,1280,62.96914017992094,0.048803162993863225,1121556992,1195376640,217.68104437697912,3.519737902941415,221992448,299907072,0.1589324249071069,28.999035832704976
32_traffic_PRIOR_41002_0.0003,traffic,PRIOR,41002,0.0003,NEW,1260,51.242274559510406,0.040087014000164345,446556160,469762048,205.31246397798532,3.5100268970709294,222680576,339703808,0.16381610409007408,28.470974400406703
33_electricity_PRIOR_41000_0.001,electricity,PRIOR,41000,0.001,REUSE,1280,48.897787180671,0.03756199400231708,446310400,484442112,11.584755796007812,4.610470065003028,222680576,330035712,0.20463543207733892,0.0
34_traffic_PRIOR_41001_0.0003,traffic,PRIOR,41001,0.0003,NEW,1260,51.64174560018,0.040295217506354675,446556160,469762048,207.31238292800845,3.5245530299434904,222680576,339703808,0.16403012096998282,28.643740963714663
35_traffic_LH_41002_0.001,traffic,LH,41002,0.001,NEW,1260,62.0811796807684,0.04874326799472328,1121556992,1195376640,215.39311669699964,2.6040416829055175,221992448,299907072,0.1645500108716078,28.372354269813513
