target,seed,arm,variant,condition,metric,score,n
T2,61730,E1,RAW,S3,normalized_2pinball,0.1393433223053256,75
T2,61730,E2,CALIBRATED,DELAYED,normalized_2pinball,0.13881365836190637,75
T2,61730,E2,CALIBRATED,MEAN,normalized_2pinball,0.13814633374009938,75
T2,61730,E2,CALIBRATED,S0,normalized_2pinball,0.1361443598746784,75
T2,61730,E2,CALIBRATED,S1,normalized_2pinball,0.13653724133857464,75
T2,61730,E2,CALIBRATED,S2,normalized_2pinball,0.14062253760868862,75
T2,61730,E2,CALIBRATED,S3,normalized_2pinball,0.13928119613845594,75
T2,61730,E2,RAW,DELAYED,normalized_2pinball,0.13866246412352906,75
T2,61730,E2,RAW,MEAN,normalized_2pinball,0.13846616043963533,75
T2,61730,E2,RAW,S0,normalized_2pinball,0.1378772493879542,75
T2,61730,E2,RAW,S1,normalized_2pinball,0.13633785094444265,75
T2,61730,E2,RAW,S2,normalized_2pinball,0.1403062191208189,75
T2,61730,E2,RAW,S3,normalized_2pinball,0.1393433223053256,75
T2,61730,E3,CALIBRATED,DELAYED,normalized_2pinball,0.13881365836190637,75
T2,61730,E3,CALIBRATED,MEAN,normalized_2pinball,0.13637536366015376,75
T2,61730,E3,CALIBRATED,S0,normalized_2pinball,0.12906047955489597,75
T2,61730,E3,CALIBRATED,S1,normalized_2pinball,0.13653724133857464,75
T2,61730,E3,CALIBRATED,S2,normalized_2pinball,0.14062253760868862,75
T2,61730,E3,CALIBRATED,S3,normalized_2pinball,0.13928119613845594,75
T2,61730,E3,RAW,DELAYED,normalized_2pinball,0.13866246412352906,75
T2,61730,E3,RAW,MEAN,normalized_2pinball,0.13673673828625268,75
T2,61730,E3,RAW,S0,normalized_2pinball,0.13095956077442364,75
T2,61730,E3,RAW,S1,normalized_2pinball,0.13633785094444265,75
T2,61730,E3,RAW,S2,normalized_2pinball,0.1403062191208189,75
T2,61730,E3,RAW,S3,normalized_2pinball,0.1393433223053256,75
T2,61730,E4,CALIBRATED,DELAYED,normalized_2pinball,0.136967295724526,75
T2,61730,E4,CALIBRATED,MEAN,normalized_2pinball,0.1349905916821185,75
T2,61730,E4,CALIBRATED,S0,normalized_2pinball,0.12906047955489597,75
T2,61730,E4,CALIBRATED,S1,normalized_2pinball,0.13099815342643342,75
T2,61730,E4,CALIBRATED,S2,normalized_2pinball,0.14062253760868862,75
T2,61730,E4,CALIBRATED,S3,normalized_2pinball,0.13928119613845594,75
T2,61730,E4,RAW,DELAYED,normalized_2pinball,0.13683328604946718,75
T2,61730,E4,RAW,MEAN,normalized_2pinball,0.1353648547307063,75
T2,61730,E4,RAW,S0,normalized_2pinball,0.13095956077442364,75
T2,61730,E4,RAW,S1,normalized_2pinball,0.130850316722257,75
T2,61730,E4,RAW,S2,normalized_2pinball,0.1403062191208189,75
T2,61730,E4,RAW,S3,normalized_2pinball,0.1393433223053256,75
T2,61731,E0,CALIBRATED,DELAYED,normalized_2pinball,0.13465580993182136,75
T2,61731,E0,CALIBRATED,MEAN,normalized_2pinball,0.13342723798679737,75
T2,61731,E0,CALIBRATED,S0,normalized_2pinball,0.12974152215172544,75
T2,61731,E0,CALIBRATED,S1,normalized_2pinball,0.13131767514671805,75
T2,61731,E0,CALIBRATED,S2,normalized_2pinball,0.13678033842467044,75
T2,61731,E0,CALIBRATED,S3,normalized_2pinball,0.13586941622407558,75
T2,61731,E0,RAW,DELAYED,normalized_2pinball,0.13534861964870387,75
T2,61731,E0,RAW,MEAN,normalized_2pinball,0.13481382218278218,75
T2,61731,E0,RAW,S0,normalized_2pinball,0.13320942978501704,75
T2,61731,E0,RAW,S1,normalized_2pinball,0.13185271764346718,75
T2,61731,E0,RAW,S2,normalized_2pinball,0.1371756534777748,75
T2,61731,E0,RAW,S3,normalized_2pinball,0.1370174878248696,75
T2,61731,E1,CALIBRATED,DELAYED,normalized_2pinball,0.1396563464896815,75
T2,61731,E1,CALIBRATED,MEAN,normalized_2pinball,0.13894329906286454,75
T2,61731,E1,CALIBRATED,S0,normalized_2pinball,0.13680415678241375,75
T2,61731,E1,CALIBRATED,S1,normalized_2pinball,0.13727330097021745,75
T2,61731,E1,CALIBRATED,S2,normalized_2pinball,0.1415401111486521,75
T2,61731,E1,CALIBRATED,S3,normalized_2pinball,0.14015562735017498,75
T2,61731,E1,RAW,DELAYED,normalized_2pinball,0.1407082835052721,75
T2,61731,E1,RAW,MEAN,normalized_2pinball,0.14057519357418724,75
T2,61731,E1,RAW,S0,normalized_2pinball,0.14017592378093263,75
T2,61731,E1,RAW,S1,normalized_2pinball,0.13827207763950278,75
T2,61731,E1,RAW,S2,normalized_2pinball,0.14232695426612835,75
T2,61731,E1,RAW,S3,normalized_2pinball,0.14152581861018512,75
T2,61731,E2,CALIBRATED,DELAYED,normalized_2pinball,0.1396563464896815,75
T2,61731,E2,CALIBRATED,MEAN,normalized_2pinball,0.13894329906286454,75
T2,61731,E2,CALIBRATED,S0,normalized_2pinball,0.13680415678241375,75
T2,61731,E2,CALIBRATED,S1,normalized_2pinball,0.13727330097021745,75
T2,61731,E2,CALIBRATED,S2,normalized_2pinball,0.1415401111486521,75
T2,61731,E2,CALIBRATED,S3,normalized_2pinball,0.14015562735017498,75
T2,61731,E2,RAW,DELAYED,normalized_2pinball,0.1407082835052721,75
T2,61731,E2,RAW,MEAN,normalized_2pinball,0.14057519357418724,75
T2,61731,E2,RAW,S0,normalized_2pinball,0.14017592378093263,75
T2,61731,E2,RAW,S1,normalized_2pinball,0.13827207763950278,75
T2,61731,E2,RAW,S2,normalized_2pinball,0.14232695426612835,75
T2,61731,E2,RAW,S3,normalized_2pinball,0.14152581861018512,75
T2,61731,E3,CALIBRATED,DELAYED,normalized_2pinball,0.1396563464896815,75
T2,61731,E3,CALIBRATED,MEAN,normalized_2pinball,0.13717764040519248,75
T2,61731,E3,CALIBRATED,S0,normalized_2pinball,0.12974152215172544,75
T2,61731,E3,CALIBRATED,S1,normalized_2pinball,0.13727330097021745,75
T2,61731,E3,CALIBRATED,S2,normalized_2pinball,0.1415401111486521,75
T2,61731,E3,CALIBRATED,S3,normalized_2pinball,0.14015562735017498,75
T2,61731,E3,RAW,DELAYED,normalized_2pinball,0.1407082835052721,75
T2,61731,E3,RAW,MEAN,normalized_2pinball,0.13883357007520833,75
T2,61731,E3,RAW,S0,normalized_2pinball,0.13320942978501704,75
T2,61731,E3,RAW,S1,normalized_2pinball,0.13827207763950278,75
T2,61731,E3,RAW,S2,normalized_2pinball,0.14232695426612835,75
T2,61731,E3,RAW,S3,normalized_2pinball,0.14152581861018512,75
T2,61731,E4,CALIBRATED,DELAYED,normalized_2pinball,0.1379620616417175,75
T2,61731,E4,CALIBRATED,MEAN,normalized_2pinball,0.1359069267692195,75
T2,61731,E4,CALIBRATED,S0,normalized_2pinball,0.12974152215172544,75
T2,61731,E4,CALIBRATED,S1,normalized_2pinball,0.13219044642632555,75
T2,61731,E4,CALIBRATED,S2,normalized_2pinball,0.1415401111486521,75
T2,61731,E4,CALIBRATED,S3,normalized_2pinball,0.14015562735017498,75
T2,61731,E4,RAW,DELAYED,normalized_2pinball,0.13893185750177858,75
T2,61731,E4,RAW,MEAN,normalized_2pinball,0.13750125057258822,75
T2,61731,E4,RAW,S0,normalized_2pinball,0.13320942978501704,75
T2,61731,E4,RAW,S1,normalized_2pinball,0.13294279962902228,75
