arm,seed,policy,detailed_context_blocks,origins,normalized_RMSE,daily_mean_RMSE_normalized,pattern_RMSE_normalized
I4,73102,selected,1,5,0.6729523458325011,0.15011237094304986,0.6534610267206158
I4,73102,selected,2,16,0.724201118666401,0.2621723071798899,0.6578499438585901
I4,73102,selected,3,16,0.5425762222821583,0.14893246889182693,0.521397942958516
I4,73102,selected,4,11,0.466891339645905,0.18942060931732801,0.418940670897856
I4,73102,selected,5,11,0.5084159855203962,0.24310901322546766,0.42285488915958236
I4,73102,selected,6,5,0.44937904518966226,0.15567073905884,0.42122027358859065
I4,73102,fixed512,1,5,0.6685317727355854,0.14594828694661954,0.6503128479555057
I4,73102,fixed512,2,16,0.7498658121837984,0.27062928084023874,0.679744465764532
I4,73102,fixed512,3,16,0.5883130001395939,0.16095186948205759,0.5643380818807402
I4,73102,fixed512,4,11,0.4629253415937136,0.1847377560066415,0.42126318942188234
I4,73102,fixed512,5,11,0.5841379282634152,0.32167174958051664,0.4445752013811369
I4,73102,fixed512,6,5,0.563736561292366,0.2917831539425073,0.46505652129993535
FROZEN,73101,selected,1,5,0.6852551444333723,0.1735230250449168,0.6596486749918256
FROZEN,73101,selected,2,16,0.833084498230372,0.2633737141268091,0.7772435258833401
FROZEN,73101,selected,3,16,0.6999123432239374,0.14936377812193696,0.6833208201426384
FROZEN,73101,selected,4,11,0.6817907556582261,0.19808737771654933,0.6401071652397174
FROZEN,73101,selected,5,11,0.6286647462826105,0.20205560535649147,0.576761318762758
FROZEN,73101,selected,6,5,0.5999996930948001,0.14867650314291705,0.5789986384302177
FROZEN,73102,selected,1,5,0.6852551444333723,0.1735230250449168,0.6596486749918256
FROZEN,73102,selected,2,16,0.833084498230372,0.2633737141268091,0.7772435258833401
FROZEN,73102,selected,3,16,0.6999123432239374,0.14936377812193696,0.6833208201426384
FROZEN,73102,selected,4,11,0.6817907556582261,0.19808737771654933,0.6401071652397174
FROZEN,73102,selected,5,11,0.6286647462826105,0.20205560535649147,0.576761318762758
FROZEN,73102,selected,6,5,0.5999996930948001,0.14867650314291705,0.5789986384302177
