arm,seed,policy,condition,channel,origin,normalized_MSE,raw_MAE
I0,73101,fixed512,standard,0,23952,0.01884453483210258,2.4000866413116455
I0,73101,fixed512,standard,0,24024,0.02406240810373397,2.670198361078898
I0,73101,fixed512,standard,0,24120,0.016181753107155906,1.961790382862091
I0,73101,fixed512,standard,0,24192,0.028952580990785255,3.0985377430915833
I0,73101,fixed512,standard,0,24264,0.25954595661839674,5.6205993592739105
I0,73101,fixed512,standard,0,24360,0.018654580757755303,2.287933071454366
I0,73101,fixed512,standard,0,24432,0.23244654703929135,4.7655418912569685
I0,73101,fixed512,standard,0,24528,0.023835422958726708,2.5502796371777854
I0,73101,fixed512,standard,0,24600,0.18026786417976104,3.7170692682266235
I0,73101,fixed512,standard,0,24696,0.015526542272690355,1.9224949677785237
I0,73101,fixed512,standard,0,24768,0.017684362084814793,2.0264764626820884
I0,73101,fixed512,standard,0,24864,0.011060505936107185,1.952910602092743
I0,73101,fixed512,standard,0,24936,0.021797428239544104,2.247091551621755
I0,73101,fixed512,standard,0,25032,0.02963595694762372,3.015068511168162
I0,73101,fixed512,standard,0,25104,1.2723691115786562,7.628974378108978
I0,73101,fixed512,standard,0,25200,0.02522268229919319,3.0410127441088357
I0,73101,fixed512,standard,0,25272,0.019399483515241116,1.9314251740773518
I0,73101,fixed512,standard,0,25344,0.01525196721125305,2.23971555630366
I0,73101,fixed512,standard,0,25440,0.01289927200606252,1.86520254611969
I0,73101,fixed512,standard,0,25512,0.026145736954966924,3.0060718059539795
I0,73101,fixed512,standard,0,25608,0.02809627976266013,2.7317726612091064
I0,73101,fixed512,standard,0,25680,0.030782990493848045,2.5006582935651145
I0,73101,fixed512,standard,0,25776,0.018269915969812988,2.051508128643036
I0,73101,fixed512,standard,0,25848,0.011950284694835426,2.0336632331212363
I0,73101,fixed512,standard,0,25944,0.047498007074223685,3.3693031072616577
I0,73101,fixed512,standard,0,26016,0.08068923727558754,4.599393010139465
I0,73101,fixed512,standard,0,26112,0.06047597104506738,4.6751402616500854
I0,73101,fixed512,standard,0,26184,0.0300150513312273,3.0061206022898355
I0,73101,fixed512,standard,0,26280,0.022671514707386948,2.141617218653361
I0,73101,fixed512,standard,1,21048,0.17293058462650937,6.678693135579427
I0,73101,fixed512,standard,1,21120,0.297061706373365,7.914426803588867
I0,73101,fixed512,standard,1,21192,0.18767460307135206,6.986862818400065
I0,73101,fixed512,standard,1,21288,0.625247563404339,12.957345326741537
I0,73101,fixed512,standard,1,21360,0.1349699364253027,6.013138771057129
I0,73101,fixed512,standard,1,21456,0.25793467819627897,7.7873226801554365
I0,73101,fixed512,standard,1,21528,0.42026308990984473,10.012844721476236
I0,73101,fixed512,standard,1,21624,0.25480553058527117,7.789329528808594
I0,73101,fixed512,standard,1,21696,0.27453473591882954,8.224753379821777
I0,73101,fixed512,standard,1,21792,0.7581806952991408,12.516961097717285
I0,73101,fixed512,standard,1,21864,0.4783037638036358,10.215731620788574
I0,73101,fixed512,standard,1,21960,0.13380653647552723,5.034230550130208
I0,73101,fixed512,standard,1,22032,0.11105437658750368,5.104377110799153
I0,73101,fixed512,standard,1,22104,0.15518228462948516,6.429215431213379
I0,73101,fixed512,standard,1,22200,1.1783431587510997,17.664199193318684
I0,73101,fixed512,standard,1,22272,0.1505533964180943,6.224372863769531
I0,73101,fixed512,standard,1,22368,0.3117128569812757,7.190170605977376
I0,73101,fixed512,standard,1,22440,0.290439782089337,7.237784703572591
I0,73101,fixed512,standard,1,22536,0.21331722132925957,6.8319886525472
I0,73101,fixed512,standard,1,22608,0.9857185054522354,11.297435442606607
I0,73101,fixed512,standard,1,22704,0.32933391697086273,7.3248395919799805
I0,73101,fixed512,standard,1,22776,0.18427914633131356,7.0703385670979815
I0,73101,fixed512,standard,1,22872,0.18698061765960897,6.672628084818522
I0,73101,fixed512,standard,1,22944,0.24906122206224557,7.608187675476074
I0,73101,fixed512,standard,1,23040,0.04418693172260454,3.3290201822916665
I0,73101,fixed512,standard,1,23112,0.1825712830981253,6.633059819539388
I0,73101,fixed512,standard,1,23184,0.6954333672612623,12.449329376220703
I0,73101,fixed512,standard,1,23280,8.566545289856796,44.80023797353109
I0,73101,fixed512,standard,1,23352,0.48383287900105904,10.513205210367838
I0,73101,fixed512,standard,1,23448,0.9760906553728068,11.660762468973795
I0,73101,fixed512,standard,1,23520,0.1994919923987223,6.661773045857747
I0,73101,fixed512,standard,1,23616,0.2661785408177084,8.269207318623861
I0,73101,fixed512,standard,1,23688,0.4544030623037907,10.41216786702474
I0,73101,fixed512,standard,1,23784,0.04184655989804953,3.4269959131876626
I0,73101,fixed512,standard,1,23856,0.36088367365580803,9.976044336954752
I0,73101,fixed512,standard,1,23952,0.24724156036271397,8.592767397562662
I0,73101,fixed512,standard,1,24024,0.603810481953361,12.303186734517416
I0,73101,fixed512,standard,1,24120,0.16549185774934652,6.5000794728597
I0,73101,fixed512,standard,1,24192,0.3578814386082347,6.71156628926595
I0,73101,fixed512,standard,1,24264,0.08863137669896588,4.867306391398112
I0,73101,fixed512,standard,1,24360,0.36629306509113274,7.485476493835449
I0,73101,fixed512,standard,1,24432,0.15462399556149056,6.616526921590169
I0,73101,fixed512,standard,1,24528,0.45206483250295837,8.65034039815267
I0,73101,fixed512,standard,1,24600,0.17499027141211052,7.115155220031738
I0,73101,fixed512,standard,1,24696,0.8540790864630855,10.834802627563477
I0,73101,fixed512,standard,1,24768,0.05934950054407139,3.907083829243978
I0,73101,fixed512,standard,1,24864,0.2712046487640447,6.623425801595052
I0,73101,fixed512,standard,1,24936,0.15920775266477735,6.471652030944824
I0,73101,fixed512,standard,1,25032,0.16103413336796657,5.965732256571452
I0,73101,fixed512,standard,1,25104,0.12284127457403508,5.435892740885417
I0,73101,fixed512,standard,1,25200,0.12318408327365575,5.3478749593098955
I0,73101,fixed512,standard,1,25272,0.25380182628681147,8.104756037394205
