cell,rule,candidate,loss
electricity_new_233_34000_native_anchor,ALL16,electricity_new_233_34000_native_anchor_0_step900,0.1841931229444588
electricity_new_233_34000_native_anchor,ALL16,electricity_new_233_34000_native_anchor_1_step150,0.18245764489663852
electricity_new_233_34000_native_anchor,ALL16,electricity_new_233_34000_native_anchor_1_step450,0.18633949573839015
electricity_new_233_34000_native_anchor,ALL16,electricity_new_233_34000_native_anchor_1_step900,0.19229106862284903
electricity_new_233_34001_native,RECENT4,electricity_new_233_34001_native_0_step0,0.224276534790259
electricity_new_233_34001_native,RECENT4,electricity_new_233_34001_native_0_step150,0.22181411033556575
electricity_new_233_34001_native,RECENT4,electricity_new_233_34001_native_0_step450,0.2220189334656436
electricity_new_233_34001_native,RECENT4,electricity_new_233_34001_native_0_step900,0.23427249260665883
electricity_new_233_34001_native,RECENT4,electricity_new_233_34001_native_1_step150,0.22155461950250147
electricity_new_233_34001_native,RECENT4,electricity_new_233_34001_native_1_step450,0.2320184080000794
electricity_new_233_34001_native,RECENT4,electricity_new_233_34001_native_1_step900,0.2616718396442181
electricity_new_233_34001_native,SPREAD4,electricity_new_233_34001_native_0_step0,0.1756964491990592
electricity_new_233_34001_native,SPREAD4,electricity_new_233_34001_native_0_step150,0.17740095658355431
electricity_new_233_34001_native,SPREAD4,electricity_new_233_34001_native_0_step450,0.17987195751656498
electricity_new_233_34001_native,SPREAD4,electricity_new_233_34001_native_0_step900,0.19793367856181862
electricity_new_233_34001_native,SPREAD4,electricity_new_233_34001_native_1_step150,0.17832514630691762
electricity_new_233_34001_native,SPREAD4,electricity_new_233_34001_native_1_step450,0.18672379113073445
electricity_new_233_34001_native,SPREAD4,electricity_new_233_34001_native_1_step900,0.20110887237848363
electricity_new_233_34001_native,ALL16,electricity_new_233_34001_native_0_step0,0.18307682648883952
electricity_new_233_34001_native,ALL16,electricity_new_233_34001_native_0_step150,0.18210722259836554
electricity_new_233_34001_native,ALL16,electricity_new_233_34001_native_0_step450,0.18315796620506677
electricity_new_233_34001_native,ALL16,electricity_new_233_34001_native_0_step900,0.1908464805000075
electricity_new_233_34001_native,ALL16,electricity_new_233_34001_native_1_step150,0.18339094812801782
electricity_new_233_34001_native,ALL16,electricity_new_233_34001_native_1_step450,0.18770714960115242
electricity_new_233_34001_native,ALL16,electricity_new_233_34001_native_1_step900,0.20200946869829253
electricity_new_233_34001_native_anchor,RECENT4,electricity_new_233_34001_native_anchor_0_step0,0.224276534790259
electricity_new_233_34001_native_anchor,RECENT4,electricity_new_233_34001_native_anchor_0_step150,0.22272025345774954
electricity_new_233_34001_native_anchor,RECENT4,electricity_new_233_34001_native_anchor_0_step450,0.22187240910022468
electricity_new_233_34001_native_anchor,RECENT4,electricity_new_233_34001_native_anchor_0_step900,0.22421025104252476
electricity_new_233_34001_native_anchor,RECENT4,electricity_new_233_34001_native_anchor_1_step150,0.22182229398477887
electricity_new_233_34001_native_anchor,RECENT4,electricity_new_233_34001_native_anchor_1_step450,0.2267594155067168
electricity_new_233_34001_native_anchor,RECENT4,electricity_new_233_34001_native_anchor_1_step900,0.23223217393066062
electricity_new_233_34001_native_anchor,SPREAD4,electricity_new_233_34001_native_anchor_0_step0,0.1756964491990592
electricity_new_233_34001_native_anchor,SPREAD4,electricity_new_233_34001_native_anchor_0_step150,0.17631535750869348
electricity_new_233_34001_native_anchor,SPREAD4,electricity_new_233_34001_native_anchor_0_step450,0.17653604282075597
electricity_new_233_34001_native_anchor,SPREAD4,electricity_new_233_34001_native_anchor_0_step900,0.17754274995737182
electricity_new_233_34001_native_anchor,SPREAD4,electricity_new_233_34001_native_anchor_1_step150,0.17604491299430367
electricity_new_233_34001_native_anchor,SPREAD4,electricity_new_233_34001_native_anchor_1_step450,0.17797604604128192
electricity_new_233_34001_native_anchor,SPREAD4,electricity_new_233_34001_native_anchor_1_step900,0.18286176275805893
electricity_new_233_34001_native_anchor,ALL16,electricity_new_233_34001_native_anchor_0_step0,0.18307682648883952
electricity_new_233_34001_native_anchor,ALL16,electricity_new_233_34001_native_anchor_0_step150,0.18241428268143817
electricity_new_233_34001_native_anchor,ALL16,electricity_new_233_34001_native_anchor_0_step450,0.18241094764921287
electricity_new_233_34001_native_anchor,ALL16,electricity_new_233_34001_native_anchor_0_step900,0.1830419705235421
electricity_new_233_34001_native_anchor,ALL16,electricity_new_233_34001_native_anchor_1_step150,0.182018156556184
electricity_new_233_34001_native_anchor,ALL16,electricity_new_233_34001_native_anchor_1_step450,0.18488528766340762
electricity_new_233_34001_native_anchor,ALL16,electricity_new_233_34001_native_anchor_1_step900,0.19212676020671107
ettm2_later_233_34000_native,RECENT4,ettm2_later_233_34000_native_0_step0,0.08513311930673345
ettm2_later_233_34000_native,RECENT4,ettm2_later_233_34000_native_0_step150,0.07817720749055425
ettm2_later_233_34000_native,RECENT4,ettm2_later_233_34000_native_0_step450,0.07617186395764536
ettm2_later_233_34000_native,RECENT4,ettm2_later_233_34000_native_0_step900,0.07790140378429271
ettm2_later_233_34000_native,RECENT4,ettm2_later_233_34000_native_1_step150,0.07549608969816285
ettm2_later_233_34000_native,RECENT4,ettm2_later_233_34000_native_1_step450,0.07822132491855632
ettm2_later_233_34000_native,RECENT4,ettm2_later_233_34000_native_1_step900,0.0843519967728425
ettm2_later_233_34000_native,SPREAD4,ettm2_later_233_34000_native_0_step0,0.0963318979311693
ettm2_later_233_34000_native,SPREAD4,ettm2_later_233_34000_native_0_step150,0.09599058305170119
ettm2_later_233_34000_native,SPREAD4,ettm2_later_233_34000_native_0_step450,0.09641670964003471
