canonical,source,split,origin,channel,numerator,count
beijing_233_34000_native_1_step450,beijing,S,18912,3,5.4833283033925735,48
beijing_233_34000_native_1_step450,beijing,S,19008,0,10.870756002804034,46
beijing_233_34000_native_1_step450,beijing,S,19008,1,4.767757436922879,48
beijing_233_34000_native_1_step450,beijing,S,19008,2,2.715127798471407,48
beijing_233_34000_native_1_step450,beijing,S,19008,3,7.970156000920415,48
beijing_233_34000_native_1_step450,beijing,S,19104,0,19.565603076621482,47
beijing_233_34000_native_1_step450,beijing,S,19104,1,11.490053010034648,48
beijing_233_34000_native_1_step450,beijing,S,19104,2,6.301615815359651,48
beijing_233_34000_native_1_step450,beijing,S,19104,3,21.619693140649048,48
beijing_233_34000_native_1_step450,beijing,S,19200,0,4.981638555318011,48
beijing_233_34000_native_1_step450,beijing,S,19200,1,4.644086843008645,48
beijing_233_34000_native_1_step450,beijing,S,19200,2,9.212737828038934,48
beijing_233_34000_native_1_step450,beijing,S,19200,3,16.69644975470799,48
beijing_233_34000_native_1_step450,beijing,S,19296,0,38.13176168765599,48
beijing_233_34000_native_1_step450,beijing,S,19296,1,11.409476328988166,48
beijing_233_34000_native_1_step450,beijing,S,19296,2,4.789857102402927,48
beijing_233_34000_native_1_step450,beijing,S,19296,3,21.23940584407089,48
beijing_233_34000_native_1_step450,beijing,S,19392,0,9.504374608746632,48
beijing_233_34000_native_1_step450,beijing,S,19392,1,3.925269680228351,48
beijing_233_34000_native_1_step450,beijing,S,19392,2,4.266636919094591,48
beijing_233_34000_native_1_step450,beijing,S,19392,3,6.921308082500861,48
beijing_233_34000_native_1_step450,beijing,S,19488,0,10.34270371042321,48
beijing_233_34000_native_1_step450,beijing,S,19488,1,14.024908620257746,48
beijing_233_34000_native_1_step450,beijing,S,19488,2,6.468627251170706,48
beijing_233_34000_native_1_step450,beijing,S,19488,3,8.146122525593288,48
beijing_233_34000_native_1_step450,beijing,S,19584,0,20.81607960230647,48
beijing_233_34000_native_1_step450,beijing,S,19584,1,7.29076213456622,48
beijing_233_34000_native_1_step450,beijing,S,19584,2,19.292194483073462,48
beijing_233_34000_native_1_step450,beijing,S,19584,3,7.035326005224026,48
beijing_233_34000_native_1_step450,beijing,S,19680,0,12.706787880139041,48
beijing_233_34000_native_1_step450,beijing,S,19680,1,9.908347606813786,48
beijing_233_34000_native_1_step450,beijing,S,19680,2,20.7536542140702,48
beijing_233_34000_native_1_step450,beijing,S,19680,3,23.1256509922613,48
beijing_233_34000_native_1_step450,beijing,S,19776,0,7.199457146363107,48
beijing_233_34000_native_1_step450,beijing,S,19776,1,4.78157825660046,48
beijing_233_34000_native_1_step450,beijing,S,19776,2,6.472118213323885,48
beijing_233_34000_native_1_step450,beijing,S,19776,3,5.326074203173359,48
beijing_233_34000_native_1_step450,beijing,S,19872,0,23.039185920495953,48
beijing_233_34000_native_1_step450,beijing,S,19872,1,19.082959211164102,48
beijing_233_34000_native_1_step450,beijing,S,19872,2,9.244745235905192,48
beijing_233_34000_native_1_step450,beijing,S,19872,3,8.92166946056583,48
beijing_233_34000_native_1_step900,beijing,S,18432,0,6.713265833465433,48
beijing_233_34000_native_1_step900,beijing,S,18432,1,3.5667274820725874,48
beijing_233_34000_native_1_step900,beijing,S,18432,2,7.9244746624000415,48
beijing_233_34000_native_1_step900,beijing,S,18432,3,9.99199241210213,48
beijing_233_34000_native_1_step900,beijing,S,18528,0,33.46144926022526,48
beijing_233_34000_native_1_step900,beijing,S,18528,1,11.478386448455904,48
beijing_233_34000_native_1_step900,beijing,S,18528,2,6.580674019355551,48
