source,arm,seed,variant,step,origin,pinball
Electricity,PCA,92341,selected_cal,512,23347,0.26283547060147683
Electricity,PCA,92341,selected_cal,512,23411,0.18763547411617765
Electricity,PCA,92341,selected_cal,512,23475,0.24640414432643074
Electricity,PCA,92341,selected_cal,512,23539,0.175085941156501
Electricity,PCA,92341,selected_cal,512,23603,0.22163022122144926
Electricity,PCA,92341,selected_cal,512,23667,0.19118775371312835
Electricity,PCA,92341,selected_cal,512,23731,0.18934707123568462
Electricity,PCA,92341,selected_cal,512,23795,0.21017749177517564
Electricity,PCA,92341,selected_cal,512,23859,0.17578952823999072
Electricity,PCA,92341,selected_cal,512,23923,0.17536806702302007
Electricity,PCA,92341,selected_cal,512,23987,0.189925535361752
Electricity,PCA,92341,selected_cal,512,24051,0.19456372830455212
Electricity,PCA,92341,selected_cal,512,24115,0.17006279731811785
Electricity,PCA,92341,selected_cal,512,24179,0.21867453588696295
Electricity,PCA,92341,selected_cal,512,24243,0.2083771016905533
Electricity,PCA,92341,selected_cal,512,24307,0.21942245561129967
Electricity,PCA,92341,selected_cal,512,24371,0.22465563998670987
Electricity,PCA,92341,selected_cal,512,24435,0.17185656477011324
Electricity,PCA,92341,selected_cal,512,24499,0.18145549338395367
Electricity,PCA,92341,selected_cal,512,24563,0.21715235775701935
Electricity,PCA,92341,selected_cal,512,24627,0.16335107429268042
Electricity,PCA,92341,selected_cal,512,24691,0.23394331427151183
Electricity,PCA,92341,selected_cal,512,24755,0.1672998010897843
Electricity,PCA,92341,selected_cal,512,24819,0.1837154971482355
Electricity,PCA,92341,selected_cal,512,24883,0.19336385689300487
Electricity,PCA,92341,selected_cal,512,24947,0.16684610196661878
Electricity,PCA,92341,selected_cal,512,25011,0.16811378627281143
Electricity,PCA,92341,selected_cal,512,25075,0.15757684179413228
Electricity,PCA,92341,selected_cal,512,25139,0.14899981397582898
Electricity,PCA,92341,selected_cal,512,25203,0.1470510769333794
Electricity,PCA,92341,selected_cal,512,25267,0.15500620430503426
Electricity,PCA,92341,selected_cal,512,25331,0.14224262485085057
Electricity,PCA,92341,selected_cal,512,25395,0.1298346585623676
Electricity,PCA,92341,selected_cal,512,25459,0.12425849944750053
Electricity,PCA,92341,selected_cal,512,25523,0.15668590675214678
Electricity,PCA,92341,selected_cal,512,25587,0.24193519699983876
Electricity,PCA,92341,selected_cal,512,25651,0.14873928347590826
Electricity,PCA,92341,selected_cal,512,25715,0.2785908746616984
Electricity,PCA,92341,selected_cal,512,25779,0.16827373999320988
Electricity,PCA,92341,selected_cal,512,25843,0.1852441211037889
Electricity,PCA,92341,selected_cal,512,25907,0.15408595276116432
Electricity,PCA,92341,selected_cal,512,25971,0.16088035387853256
Electricity,PCA,92341,selected_cal,512,26035,0.14459951134984958
Electricity,PCA,92341,selected_cal,512,26099,0.6823251637927258
Electricity,PCA,92341,selected_cal,512,26163,0.3093507413061301
Electricity,PCA,92341,selected_cal,512,26227,0.23854619682001166
Electricity,PCA,92342,raw128,128,21043,0.12306001211183196
Electricity,PCA,92342,raw128,128,21107,0.17321192768882748
Electricity,PCA,92342,raw128,128,21171,0.18677295399968688
Electricity,PCA,92342,raw128,128,21235,0.12554565743951107
Electricity,PCA,92342,raw128,128,21299,0.15349932141980963
Electricity,PCA,92342,raw128,128,21363,0.16498535049341737
Electricity,PCA,92342,raw128,128,21427,0.2942548690097053
Electricity,PCA,92342,raw128,128,21491,0.37387767972383423
Electricity,PCA,92342,raw128,128,21555,0.2247209890941799
Electricity,PCA,92342,raw128,128,21619,0.19571757808818416
Electricity,PCA,92342,raw128,128,21683,0.23164194499140406
Electricity,PCA,92342,raw128,128,21747,0.19093541443376688
Electricity,PCA,92342,raw128,128,21811,0.1800986786322598
Electricity,PCA,92342,raw128,128,21875,0.16025129277377842
Electricity,PCA,92342,raw128,128,21939,0.2139940853685826
Electricity,PCA,92342,raw128,128,22003,0.1541680295636039
Electricity,PCA,92342,raw128,128,22067,0.23395114997795574
Electricity,PCA,92342,raw128,128,22131,0.263485728305805
Electricity,PCA,92342,raw128,128,22195,0.20895768304627008
Electricity,PCA,92342,raw128,128,22259,0.1849670698478224
Electricity,PCA,92342,raw128,128,22323,0.23381147298343724
Electricity,PCA,92342,raw128,128,22387,0.17546252603007229
Electricity,PCA,92342,raw128,128,22451,0.2103456448447033
Electricity,PCA,92342,raw128,128,22515,0.19178990086210562
Electricity,PCA,92342,raw128,128,22579,0.25088639838834115
Electricity,PCA,92342,raw128,128,22643,0.2369113935530594
Electricity,PCA,92342,raw128,128,22707,0.19149412402330662
Electricity,PCA,92342,raw128,128,22771,0.20553557635411904
Electricity,PCA,92342,raw128,128,22835,0.22070080550118218
Electricity,PCA,92342,raw128,128,22899,0.1984866651414818
Electricity,PCA,92342,raw128,128,22963,0.22267682926016757
Electricity,PCA,92342,raw128,128,23027,0.1999111329927078
Electricity,PCA,92342,raw128,128,23091,0.1732971331987031
Electricity,PCA,92342,raw128,128,23155,0.2223170080465417
Electricity,PCA,92342,raw128,128,23219,0.23762299736860185
Electricity,PCA,92342,raw128,128,23283,0.1738515828278394
Electricity,PCA,92342,raw128,128,23347,0.25752532005638795
Electricity,PCA,92342,raw128,128,23411,0.18769769130327335
Electricity,PCA,92342,raw128,128,23475,0.2423325024366216
