source,variant,candidate,control,candidate_score,control_score,improvement_pct,ci_low,ci_high
ETTh1,selected_raw,TEMP,F0,0.31902080789776044,0.32595430835586114,2.127138767722947,1.3121169599086078,2.862413541282362
ETTh1,selected_raw,TEMP,RANDOM,0.31902080789776044,0.31918197075823884,0.0504924698896847,-0.21975658001574916,0.3887434191413671
ETTh1,selected_raw,TEMP,PCA,0.31902080789776044,0.31793089754794546,-0.34281359824444024,-0.5983851387670897,-0.09679848878515752
ETTh1,selected_raw,TEMP,SHUFFLE,0.31902080789776044,0.3187866484543883,-0.07345334081820809,-0.2045253244994477,0.05659313496351192
ETTh1,selected_raw,SHUFFLE,F0,0.3187866484543883,0.32595430835586114,2.1989768865541492,1.3549343938683474,2.9659682025985985
ETTh1,selected_raw,SHUFFLE,RANDOM,0.3187866484543883,0.31918197075823884,0.1238548351936708,-0.04639114858179416,0.348489123725865
ETTh1,selected_raw,SHUFFLE,PCA,0.3187866484543883,0.31793089754794546,-0.2691625485421012,-0.5744271917274424,-0.04668731493863212
ETTh1,selected_raw,SHUFFLE,TEMP,0.3187866484543883,0.31902080789776044,0.07339942648730835,-0.05662518131283156,0.2041078721149752
ETTh1,selected_cal,RANDOM,F0,0.31918197076102345,0.3259543083563332,2.077695376833688,1.1228757606709434,2.9435160310477855
ETTh1,selected_cal,RANDOM,PCA,0.31918197076102345,0.31793089753748877,-0.39350476258355194,-0.8948585358384709,-0.07046316661165923
ETTh1,selected_cal,RANDOM,TEMP,0.31918197076102345,0.31902080789144166,-0.05051798051889378,-0.3902605295910688,0.21927470587322326
ETTh1,selected_cal,RANDOM,SHUFFLE,0.31918197076102345,0.3187866484362118,-0.12400843220721214,-0.34970782235711817,0.04636962392840905
ETTh1,selected_cal,PCA,F0,0.31793089753748877,0.3259543083563332,2.461513964734363,1.5322320773750773,3.249487056992929
ETTh1,selected_cal,PCA,RANDOM,0.31793089753748877,0.31918197076102345,0.39196237198227957,0.07041355009561934,0.8869218392991773
ETTh1,selected_cal,PCA,TEMP,0.31793089753748877,0.31902080789144166,0.34164240293811377,0.09670487692956281,0.5948257925287322
ETTh1,selected_cal,PCA,SHUFFLE,0.31793089753748877,0.3187866484362118,0.26844000616740304,0.046665527552163244,0.5711463694192302
ETTh1,selected_cal,TEMP,F0,0.31902080789144166,0.3259543083563332,2.1271387698032385,1.3121169700561273,2.8624135450634336
ETTh1,selected_cal,TEMP,RANDOM,0.31902080789144166,0.31918197076102345,0.05049247274133695,-0.2197565765641779,0.38874341744297236
ETTh1,selected_cal,TEMP,PCA,0.31902080789144166,0.31793089753748877,-0.34281359955723456,-0.5983851417378672,-0.0967984857884824
ETTh1,selected_cal,TEMP,SHUFFLE,0.31902080789144166,0.3187866484362118,-0.07345334454202934,-0.20452533504294323,0.056593138170146044
ETTh1,selected_cal,SHUFFLE,F0,0.3187866484362118,0.3259543083563332,2.1989768922721975,1.3549344063409439,2.9659682118286024
ETTh1,selected_cal,SHUFFLE,RANDOM,0.3187866484362118,0.31918197076102345,0.1238548417597296,-0.0463911356536334,0.3484891244924801
ETTh1,selected_cal,SHUFFLE,PCA,0.3187866484362118,0.31793089753748877,-0.2691625461228142,-0.574427192038765,-0.04668731443946585
ETTh1,selected_cal,SHUFFLE,TEMP,0.3187866484362118,0.31902080789144166,0.0733994302056784,-0.05662518452310639,0.2041078826154726
