source,arm,seed,variant,step,series_index,pinball,nmae,raw_mae,coverage,width,crossing
Electricity,SHUFFLE,92342,raw128,128,6,0.14716754492559928,0.18227096198422288,59.53985436369733,0.8004954268292683,0.5568944811820984,0.0
Electricity,SHUFFLE,92342,raw128,128,7,0.20651925472990623,0.2578257564134692,47.086939462801304,0.7863948170731707,0.781070351600647,2.381859756097561e-05
Electricity,SHUFFLE,92342,selected_raw,512,0,0.1486911868951844,0.18408262368358988,86.28259526229486,0.7993521341463414,0.5687891244888306,0.0
Electricity,SHUFFLE,92342,selected_raw,512,1,0.16951790365419012,0.21049624080788104,76.16270211847817,0.8025914634146342,0.6592461466789246,2.381859756097561e-05
Electricity,SHUFFLE,92342,selected_raw,512,2,0.2113235615000808,0.258624151914064,110.24227005243301,0.8071646341463414,0.7362155318260193,0.0025247713414634147
Electricity,SHUFFLE,92342,selected_raw,512,3,0.39196865210582776,0.5010835363829131,20.656418721850326,0.778391768292683,1.5607247352600098,0.0
Electricity,SHUFFLE,92342,selected_raw,512,4,0.1614245326333313,0.1963461226957071,54.47293254224265,0.877858231707317,0.7695025205612183,0.003215510670731707
Electricity,SHUFFLE,92342,selected_raw,512,5,0.1722055153835478,0.21568145391444443,56.0969637370691,0.8140243902439024,0.6859685182571411,4.763719512195122e-05
Electricity,SHUFFLE,92342,selected_raw,512,6,0.14705671761298636,0.1818975794747575,59.41788682705018,0.7785823170731707,0.5280338525772095,0.0
Electricity,SHUFFLE,92342,selected_raw,512,7,0.20723784715152183,0.2587714233787371,47.25964743335073,0.7787728658536586,0.7626513838768005,4.763719512195122e-05
Electricity,SHUFFLE,92342,selected_cal,512,0,0.1486911868951844,0.18408262368358988,86.28259526229486,0.7993521341463414,0.5687891244888306,0.0
Electricity,SHUFFLE,92342,selected_cal,512,1,0.16951790365419012,0.21049624080788104,76.16270211847817,0.8025914634146342,0.6592461466789246,2.381859756097561e-05
Electricity,SHUFFLE,92342,selected_cal,512,2,0.2113235614876515,0.258624151914064,110.24227005243301,0.8071646341463414,0.7362155318260193,0.0025247713414634147
Electricity,SHUFFLE,92342,selected_cal,512,3,0.39196865210582776,0.5010835363829131,20.656418721850326,0.778391768292683,1.5607247352600098,0.0
Electricity,SHUFFLE,92342,selected_cal,512,4,0.16142453263146817,0.1963461226957071,54.47293254224265,0.877858231707317,0.7695025205612183,0.003215510670731707
Electricity,SHUFFLE,92342,selected_cal,512,5,0.1722055153835478,0.21568145391444443,56.0969637370691,0.8140243902439024,0.6859685182571411,4.763719512195122e-05
Electricity,SHUFFLE,92342,selected_cal,512,6,0.14705671761298636,0.1818975794747575,59.41788682705018,0.7785823170731707,0.5280338525772095,0.0
Electricity,SHUFFLE,92342,selected_cal,512,7,0.20723784715152183,0.2587714233787371,47.25964743335073,0.7787728658536586,0.7626513838768005,4.763719512195122e-05
Electricity,TEMP,92341,raw128,128,0,0.15137536486020595,0.18732275822659636,87.80130035121266,0.8029725609756098,0.5890594720840454,0.0
Electricity,TEMP,92341,raw128,128,1,0.17031913163808138,0.21204012740615125,76.72131815189269,0.8065929878048781,0.6647586226463318,0.0
Electricity,TEMP,92341,raw128,128,2,0.2124202652346299,0.2592928960897985,110.52733189012946,0.801829268292683,0.7264629006385803,0.002310403963414634
Electricity,TEMP,92341,raw128,128,3,0.3927326930460608,0.5018215567908045,20.686842508432342,0.7764862804878049,1.558020830154419,0.0
Electricity,TEMP,92341,raw128,128,4,0.1621418034748517,0.19806394201327016,54.94951264741944,0.8892911585365854,0.7901875376701355,0.0017625762195121952
Electricity,TEMP,92341,raw128,128,5,0.17389259026764903,0.21756858168020765,56.587790073418034,0.8279344512195121,0.7137449383735657,0.0
Electricity,TEMP,92341,raw128,128,6,0.14712811042967652,0.18174030784424136,59.36651314758673,0.7823932926829268,0.5322874784469604,0.0
Electricity,TEMP,92341,raw128,128,7,0.2070820732480867,0.2577197890695386,47.06758655571356,0.7823932926829268,0.7651656270027161,2.381859756097561e-05
Electricity,TEMP,92341,selected_raw,512,0,0.1474067082181242,0.1822660546927412,85.43113908535096,0.8027820121951219,0.5643013715744019,0.0
Electricity,TEMP,92341,selected_raw,512,1,0.1696071113015964,0.21037676712080078,76.1194736085287,0.8102134146341463,0.6758220195770264,2.381859756097561e-05
Electricity,TEMP,92341,selected_raw,512,2,0.20999178430819432,0.2555886153976539,108.94832888754402,0.8182164634146342,0.7455722093582153,0.0021913109756097563
Electricity,TEMP,92341,selected_raw,512,3,0.39236179382189845,0.5019636449859821,20.692699881588542,0.7825838414634146,1.565226435661316,0.0
Electricity,TEMP,92341,selected_raw,512,4,0.1627945443138186,0.1988249087873814,55.160630092388246,0.8931021341463414,0.8086821436882019,0.002381859756097561
Electricity,TEMP,92341,selected_raw,512,5,0.17323274165103875,0.21728740085614426,56.514657264802516,0.8113567073170732,0.6978847980499268,0.00011909298780487805
Electricity,TEMP,92341,selected_raw,512,6,0.14699753512445815,0.1815461126861395,59.30307818622124,0.788109756097561,0.5422177314758301,0.0
Electricity,TEMP,92341,selected_raw,512,7,0.20760075063115427,0.25815060251135374,47.14626638482257,0.7936356707317073,0.7830105423927307,0.0
Electricity,TEMP,92341,selected_cal,512,0,0.1474067082181242,0.1822660546927412,85.43113908535096,0.8027820121951219,0.5643013715744019,0.0
Electricity,TEMP,92341,selected_cal,512,1,0.1696071113015964,0.21037676712080078,76.1194736085287,0.8102134146341463,0.6758220195770264,2.381859756097561e-05
Electricity,TEMP,92341,selected_cal,512,2,0.20999178431228696,0.2555886153976539,108.94832888754402,0.8182164634146342,0.7455722093582153,0.0021913109756097563
Electricity,TEMP,92341,selected_cal,512,3,0.39236179382189845,0.5019636449859821,20.692699881588542,0.7825838414634146,1.565226435661316,0.0
Electricity,TEMP,92341,selected_cal,512,4,0.1627945443110239,0.1988249087873814,55.160630092388246,0.8931021341463414,0.8086821436882019,0.002381859756097561
Electricity,TEMP,92341,selected_cal,512,5,0.17323274165103875,0.21728740085614426,56.514657264802516,0.8113567073170732,0.6978847980499268,0.00011909298780487805
Electricity,TEMP,92341,selected_cal,512,6,0.14699753512445815,0.1815461126861395,59.30307818622124,0.788109756097561,0.5422177314758301,0.0
Electricity,TEMP,92341,selected_cal,512,7,0.20760075063115427,0.25815060251135374,47.14626638482257,0.7936356707317073,0.7830105423927307,0.0
Electricity,TEMP,92342,raw128,128,0,0.15102206241551125,0.18680138515524353,87.55692409887547,0.823170731707317,0.6216326355934143,0.0
Electricity,TEMP,92342,raw128,128,1,0.1709979172949264,0.21271709111580692,76.96626022385388,0.8142149390243902,0.6900179982185364,0.0
Electricity,TEMP,92342,raw128,128,2,0.21343134329373106,0.2616273806073412,111.52243954234007,0.8062118902439024,0.7398613691329956,0.0018340320121951218
Electricity,TEMP,92342,raw128,128,3,0.3925418333686915,0.5017511557439105,20.683940330656565,0.7863948170731707,1.5862475633621216,0.0
Electricity,TEMP,92342,raw128,128,4,0.16321417954760692,0.19928073204193428,55.28709059517558,0.8839557926829268,0.7847267985343933,0.0016911204268292683
Electricity,TEMP,92342,raw128,128,5,0.17374376541907177,0.21719284673463227,56.49006451920765,0.8220274390243902,0.7116767764091492,0.0
Electricity,TEMP,92342,raw128,128,6,0.14707106394682923,0.1821083900920994,59.48674932340296,0.8014481707317073,0.5577983260154724,0.0
Electricity,TEMP,92342,raw128,128,7,0.20638249174105783,0.257684680569577,47.06117466019421,0.7884908536585366,0.7834206819534302,2.381859756097561e-05
Electricity,TEMP,92342,selected_raw,512,0,0.14785738621005684,0.18289053317426682,85.72384256269874,0.8071646341463414,0.5707657337188721,0.0
Electricity,TEMP,92342,selected_raw,512,1,0.16993750052249024,0.21116535526035085,76.40480413669493,0.8022103658536586,0.6633626222610474,2.381859756097561e-05
Electricity,TEMP,92342,selected_raw,512,2,0.21157698203991143,0.25897120768898785,110.39020757558869,0.8084984756097561,0.738753616809845,0.0021913109756097563
Electricity,TEMP,92342,selected_raw,512,3,0.39223190313312856,0.5016741170751633,20.680764526855654,0.7797256097560976,1.5616388320922852,0.0
Electricity,TEMP,92342,selected_raw,512,4,0.16114173549750282,0.19670438782885824,54.572327183514105,0.8786204268292683,0.7671167254447937,0.0026200457317073172
Electricity,TEMP,92342,selected_raw,512,5,0.17177894598321639,0.21519148202947877,55.96952609899567,0.8031631097560976,0.6744848489761353,7.145579268292682e-05
Electricity,TEMP,92342,selected_raw,512,6,0.14664337319000686,0.18123010614588128,59.19985283874884,0.7795350609756098,0.5302109122276306,0.0
Electricity,TEMP,92342,selected_raw,512,7,0.2075873211799662,0.2589664226239453,47.295260313080576,0.7835365853658537,0.7671573758125305,4.763719512195122e-05
Electricity,TEMP,92342,selected_cal,512,0,0.14785738621005684,0.18289053317426682,85.72384256269874,0.8071646341463414,0.5707657337188721,0.0
Electricity,TEMP,92342,selected_cal,512,1,0.16993750052249024,0.21116535526035085,76.40480413669493,0.8022103658536586,0.6633626222610474,2.381859756097561e-05
Electricity,TEMP,92342,selected_cal,512,2,0.211576982044004,0.25897120768898785,110.39020757558869,0.8084984756097561,0.738753616809845,0.0021913109756097563
Electricity,TEMP,92342,selected_cal,512,3,0.39223190313312856,0.5016741170751633,20.680764526855654,0.7797256097560976,1.5616388320922852,0.0
Electricity,TEMP,92342,selected_cal,512,4,0.16114173549750282,0.19670438782885824,54.572327183514105,0.8786204268292683,0.7671167254447937,0.0026200457317073172
Electricity,TEMP,92342,selected_cal,512,5,0.17177894598321639,0.21519148202947877,55.96952609899567,0.8031631097560976,0.6744848489761353,7.145579268292682e-05
Electricity,TEMP,92342,selected_cal,512,6,0.14664337319000686,0.18123010614588128,59.19985283874884,0.7795350609756098,0.5302109122276306,0.0
Electricity,TEMP,92342,selected_cal,512,7,0.2075873211799662,0.2589664226239453,47.295260313080576,0.7835365853658537,0.7671573758125305,4.763719512195122e-05
Electricity,F0,0,raw128,0,0,0.15797482220209227,0.19623351043628404,91.977918496946,0.8245045731707317,0.6578572988510132,0.0
Electricity,F0,0,raw128,0,1,0.1716660391073808,0.21352130605839406,77.25724491258947,0.8208841463414634,0.7021616697311401,0.0
Electricity,F0,0,raw128,0,2,0.2133220674563381,0.26094765926834645,111.23269853068561,0.809641768292683,0.7441308498382568,0.0015720274390243903
Electricity,F0,0,raw128,0,3,0.3925534079340285,0.5017118768412794,20.682321116691682,0.7955411585365854,1.6184625625610352,0.0
Electricity,F0,0,raw128,0,4,0.16535102636998597,0.200866972057701,55.72716623399316,0.8860518292682927,0.8049326539039612,0.001405297256097561
Electricity,F0,0,raw128,0,5,0.17580294177415173,0.21908881279726153,56.983189623530315,0.8395579268292683,0.7465164065361023,0.0
Electricity,F0,0,raw128,0,6,0.14693656001196798,0.18173073160580358,59.363385014417695,0.8090701219512195,0.5668818950653076,0.0
Electricity,F0,0,raw128,0,7,0.2070021003099417,0.2588030144408698,47.26541693617658,0.8014481707317073,0.7974867224693298,2.381859756097561e-05
Electricity,F0,0,selected_raw,0,0,0.15797482220209227,0.19623351043628404,91.977918496946,0.8245045731707317,0.6578572988510132,0.0
Electricity,F0,0,selected_raw,0,1,0.1716660391073808,0.21352130605839406,77.25724491258947,0.8208841463414634,0.7021616697311401,0.0
Electricity,F0,0,selected_raw,0,2,0.2133220674563381,0.26094765926834645,111.23269853068561,0.809641768292683,0.7441308498382568,0.0015720274390243903
Electricity,F0,0,selected_raw,0,3,0.3925534079340285,0.5017118768412794,20.682321116691682,0.7955411585365854,1.6184625625610352,0.0
