dataset,source,budget,seed,arm,candidate_id,origin,channel,scaled_quantile_mean_pinball_numerator,valid_target_count,train_scale,quantile_count,active
beijing_32,beijing,32,34000,native,beijing_32_34000_native_0_step150,11520,3,8.70384504978184,48,10.041996353100474,21,True
beijing_32,beijing,32,34000,native,beijing_32_34000_native_0_step150,11616,0,14.873709481786067,48,91.44184586689721,21,True
beijing_32,beijing,32,34000,native,beijing_32_34000_native_0_step150,11616,1,8.962574946937416,48,14.591262213468674,21,True
beijing_32,beijing,32,34000,native,beijing_32_34000_native_0_step150,11616,2,10.16575783475887,48,12.361013236800593,21,True
beijing_32,beijing,32,34000,native,beijing_32_34000_native_0_step150,11616,3,10.331862092089297,48,10.041996353100474,21,True
beijing_32,beijing,32,34000,native,beijing_32_34000_native_0_step150,11712,0,10.584614845892672,48,91.44184586689721,21,True
beijing_32,beijing,32,34000,native,beijing_32_34000_native_0_step150,11712,1,9.410105379806057,48,14.591262213468674,21,True
beijing_32,beijing,32,34000,native,beijing_32_34000_native_0_step150,11712,2,10.021907374920353,48,12.361013236800593,21,True
beijing_32,beijing,32,34000,native,beijing_32_34000_native_0_step150,11712,3,15.736353153996895,48,10.041996353100474,21,True
beijing_32,beijing,32,34000,native,beijing_32_34000_native_0_step150,11808,0,8.357765535546992,48,91.44184586689721,21,True
beijing_32,beijing,32,34000,native,beijing_32_34000_native_0_step150,11808,1,26.96058451788617,48,14.591262213468674,21,True
beijing_32,beijing,32,34000,native,beijing_32_34000_native_0_step150,11808,2,6.556204769999428,48,12.361013236800593,21,True
beijing_32,beijing,32,34000,native,beijing_32_34000_native_0_step150,11808,3,15.544690659350458,48,10.041996353100474,21,True
beijing_32,beijing,32,34000,native,beijing_32_34000_native_0_step150,11904,0,8.431714752865455,48,91.44184586689721,21,True
beijing_32,beijing,32,34000,native,beijing_32_34000_native_0_step150,11904,1,8.139999394106631,48,14.591262213468674,21,True
beijing_32,beijing,32,34000,native,beijing_32_34000_native_0_step150,11904,2,5.443208116221393,48,12.361013236800593,21,True
beijing_32,beijing,32,34000,native,beijing_32_34000_native_0_step150,11904,3,6.431545871507521,48,10.041996353100474,21,True
beijing_32,beijing,32,34000,native,beijing_32_34000_native_0_step150,12000,0,21.028253015333043,48,91.44184586689721,21,True
beijing_32,beijing,32,34000,native,beijing_32_34000_native_0_step150,12000,1,15.032528954165427,48,14.591262213468674,21,True
beijing_32,beijing,32,34000,native,beijing_32_34000_native_0_step150,12000,2,7.609508076497302,48,12.361013236800593,21,True
beijing_32,beijing,32,34000,native,beijing_32_34000_native_0_step150,12000,3,19.357698506059634,48,10.041996353100474,21,True
beijing_32,beijing,32,34000,native,beijing_32_34000_native_0_step150,12096,0,7.906314451460244,48,91.44184586689721,21,True
beijing_32,beijing,32,34000,native,beijing_32_34000_native_0_step150,12096,1,15.234397663981692,48,14.591262213468674,21,True
beijing_32,beijing,32,34000,native,beijing_32_34000_native_0_step150,12096,2,8.43510899652336,48,12.361013236800593,21,True
beijing_32,beijing,32,34000,native,beijing_32_34000_native_0_step150,12096,3,20.836051347195863,48,10.041996353100474,21,True
beijing_32,beijing,32,34000,native,beijing_32_34000_native_0_step150,12192,0,7.632190093718987,47,91.44184586689721,21,True
beijing_32,beijing,32,34000,native,beijing_32_34000_native_0_step150,12192,1,10.748789717195857,48,14.591262213468674,21,True
beijing_32,beijing,32,34000,native,beijing_32_34000_native_0_step150,12192,2,4.706365890066343,48,12.361013236800593,21,True
beijing_32,beijing,32,34000,native,beijing_32_34000_native_0_step150,12192,3,8.625049121265098,48,10.041996353100474,21,True
beijing_32,beijing,32,34000,native,beijing_32_34000_native_0_step450,10752,0,12.75973513400424,48,91.44184586689721,21,True
beijing_32,beijing,32,34000,native,beijing_32_34000_native_0_step450,10752,1,13.02793084831731,48,14.591262213468674,21,True
beijing_32,beijing,32,34000,native,beijing_32_34000_native_0_step450,10752,2,4.665791155226729,48,12.361013236800593,21,True
beijing_32,beijing,32,34000,native,beijing_32_34000_native_0_step450,10752,3,5.738675042470879,48,10.041996353100474,21,True
beijing_32,beijing,32,34000,native,beijing_32_34000_native_0_step450,10848,0,16.455836553209263,44,91.44184586689721,21,True
beijing_32,beijing,32,34000,native,beijing_32_34000_native_0_step450,10848,1,7.679730549388616,48,14.591262213468674,21,True
beijing_32,beijing,32,34000,native,beijing_32_34000_native_0_step450,10848,2,13.643580313972503,48,12.361013236800593,21,True
beijing_32,beijing,32,34000,native,beijing_32_34000_native_0_step450,10848,3,13.221391035673745,48,10.041996353100474,21,True
beijing_32,beijing,32,34000,native,beijing_32_34000_native_0_step450,10944,0,19.426756770827456,43,91.44184586689721,21,True
beijing_32,beijing,32,34000,native,beijing_32_34000_native_0_step450,10944,1,17.301868028358378,48,14.591262213468674,21,True
beijing_32,beijing,32,34000,native,beijing_32_34000_native_0_step450,10944,2,4.316425597585531,48,12.361013236800593,21,True
beijing_32,beijing,32,34000,native,beijing_32_34000_native_0_step450,10944,3,6.77496113844308,48,10.041996353100474,21,True
beijing_32,beijing,32,34000,native,beijing_32_34000_native_0_step450,11040,0,10.515009400576423,10,91.44184586689721,21,True
beijing_32,beijing,32,34000,native,beijing_32_34000_native_0_step450,11040,1,9.11892291011951,48,14.591262213468674,21,True
beijing_32,beijing,32,34000,native,beijing_32_34000_native_0_step450,11040,2,5.60438759068964,48,12.361013236800593,21,True
beijing_32,beijing,32,34000,native,beijing_32_34000_native_0_step450,11040,3,5.028320775981369,48,10.041996353100474,21,True
beijing_32,beijing,32,34000,native,beijing_32_34000_native_0_step450,11136,0,9.72050525079366,46,91.44184586689721,21,True
beijing_32,beijing,32,34000,native,beijing_32_34000_native_0_step450,11136,1,20.847981021963076,48,14.591262213468674,21,True
beijing_32,beijing,32,34000,native,beijing_32_34000_native_0_step450,11136,2,5.546785706357728,48,12.361013236800593,21,True
beijing_32,beijing,32,34000,native,beijing_32_34000_native_0_step450,11136,3,8.357862393442499,48,10.041996353100474,21,True
beijing_32,beijing,32,34000,native,beijing_32_34000_native_0_step450,11232,0,8.76071831472438,20,91.44184586689721,21,True
beijing_32,beijing,32,34000,native,beijing_32_34000_native_0_step450,11232,1,11.732931618868207,48,14.591262213468674,21,True
beijing_32,beijing,32,34000,native,beijing_32_34000_native_0_step450,11232,2,10.979412009167527,48,12.361013236800593,21,True
beijing_32,beijing,32,34000,native,beijing_32_34000_native_0_step450,11232,3,10.757222844220319,48,10.041996353100474,21,True
beijing_32,beijing,32,34000,native,beijing_32_34000_native_0_step450,11328,0,6.676947000389939,47,91.44184586689721,21,True
beijing_32,beijing,32,34000,native,beijing_32_34000_native_0_step450,11328,1,18.076669343589547,48,14.591262213468674,21,True
beijing_32,beijing,32,34000,native,beijing_32_34000_native_0_step450,11328,2,4.4593398524701335,48,12.361013236800593,21,True
beijing_32,beijing,32,34000,native,beijing_32_34000_native_0_step450,11328,3,10.407621497180893,48,10.041996353100474,21,True
beijing_32,beijing,32,34000,native,beijing_32_34000_native_0_step450,11424,0,2.2605254394479304,15,91.44184586689721,21,True
beijing_32,beijing,32,34000,native,beijing_32_34000_native_0_step450,11424,1,39.894847513134934,48,14.591262213468674,21,True
beijing_32,beijing,32,34000,native,beijing_32_34000_native_0_step450,11424,2,6.117043130970171,48,12.361013236800593,21,True
beijing_32,beijing,32,34000,native,beijing_32_34000_native_0_step450,11424,3,21.705824503020622,48,10.041996353100474,21,True
beijing_32,beijing,32,34000,native,beijing_32_34000_native_0_step450,11520,0,13.109187411247166,48,91.44184586689721,21,True
beijing_32,beijing,32,34000,native,beijing_32_34000_native_0_step450,11520,1,24.811280679553754,48,14.591262213468674,21,True
beijing_32,beijing,32,34000,native,beijing_32_34000_native_0_step450,11520,2,9.039619556911555,48,12.361013236800593,21,True
beijing_32,beijing,32,34000,native,beijing_32_34000_native_0_step450,11520,3,10.294349378596753,48,10.041996353100474,21,True
beijing_32,beijing,32,34000,native,beijing_32_34000_native_0_step450,11616,0,27.22766688638746,48,91.44184586689721,21,True
