dataset,source,budget,seed,arm,checkpoint_id,alpha,S_loss,D_loss,S_gain_vs_f0_percent,D_gain_vs_f0_percent
electricity_new_32,electricity_new,32,34000,native,electricity_new_32_34000_native_0_step150,0.5,0.16863605878012838,0.11929914710230557,1.0140012345841642,0.08569502883046479
electricity_new_32,electricity_new,32,34000,native,electricity_new_32_34000_native_0_step150,0.75,0.16825201866794975,0.11961164201123757,1.239425110977933,-0.17602278216271916
electricity_new_32,electricity_new,32,34000,native,electricity_new_32_34000_native_0_step150,1.0,0.16819892567256803,0.12016908070730167,1.2705896389758269,-0.6428836209373447
electricity_new_32,electricity_new,32,34000,native_anchor,electricity_new_32_34000_native_anchor_0_step150,0.0,0.17036354725255062,0.11940146822492492,0.0,0.0
electricity_new_32,electricity_new,32,34000,native_anchor,electricity_new_32_34000_native_anchor_0_step150,0.25,0.16988026147532215,0.11936536207058823,0.2836790997971195,0.030239288405293805
electricity_new_32,electricity_new,32,34000,native_anchor,electricity_new_32_34000_native_anchor_0_step150,0.5,0.16947284661193068,0.11939282282656724,0.5228234883484472,0.007240613106528808
electricity_new_32,electricity_new,32,34000,native_anchor,electricity_new_32_34000_native_anchor_0_step150,0.75,0.16913972625369297,0.11949274049444703,0.7183584860694588,-0.0764414968082021
electricity_new_32,electricity_new,32,34000,native_anchor,electricity_new_32_34000_native_anchor_0_step150,1.0,0.16888478332863793,0.11966135601645192,0.8680048917510145,-0.21765879045760825
electricity_new_32,electricity_new,32,34001,native,electricity_new_32_34001_native_0_step150,0.0,0.17036354725255062,0.11940146822492492,0.0,0.0
electricity_new_32,electricity_new,32,34001,native,electricity_new_32_34001_native_0_step150,0.25,0.16922606727411837,0.11900696712795851,0.6676780313490559,0.33039886596977447
electricity_new_32,electricity_new,32,34001,native,electricity_new_32_34001_native_0_step150,0.5,0.16840334772208498,0.11885297611261858,1.1505979783103466,0.45936797969109505
electricity_new_32,electricity_new,32,34001,native,electricity_new_32_34001_native_0_step150,0.75,0.16792886796790008,0.11896944166348988,1.4291081184411631,0.3618268417111929
electricity_new_32,electricity_new,32,34001,native,electricity_new_32_34001_native_0_step150,1.0,0.1677916611045926,0.11932989149567289,1.5096458071194128,0.05994627228302034
electricity_new_32,electricity_new,32,34001,native_anchor,electricity_new_32_34001_native_anchor_0_step150,0.0,0.17036354725255062,0.11940146822492492,0.0,0.0
electricity_new_32,electricity_new,32,34001,native_anchor,electricity_new_32_34001_native_anchor_0_step150,0.25,0.1695778424700799,0.11920093757030567,0.4611930164297292,0.16794655677223194
electricity_new_32,electricity_new,32,34001,native_anchor,electricity_new_32_34001_native_anchor_0_step150,0.5,0.16891350343739703,0.11907621700459761,0.8511467614630136,0.27240135750643535
electricity_new_32,electricity_new,32,34001,native_anchor,electricity_new_32_34001_native_anchor_0_step150,0.75,0.1683424523777197,0.11903020537862968,1.186342329345148,0.31093658379130273
electricity_new_32,electricity_new,32,34001,native_anchor,electricity_new_32_34001_native_anchor_0_step150,1.0,0.16787456813204119,0.11906896813612691,1.4609810376980008,0.27847236197435726
electricity_new_233,electricity_new,233,34000,native,electricity_new_233_34000_native_0_step450,0.0,0.17036354725255062,0.11940146822492492,0.0,0.0
electricity_new_233,electricity_new,233,34000,native,electricity_new_233_34000_native_0_step450,0.25,0.16904155973586704,0.118929884215844,0.7759802716034307,0.39495662498267753
electricity_new_233,electricity_new,233,34000,native,electricity_new_233_34000_native_0_step450,0.5,0.16806433509130891,0.11867650378901168,1.3495916223400228,0.6071654282739457
electricity_new_233,electricity_new,233,34000,native,electricity_new_233_34000_native_0_step450,0.75,0.16746774066212367,0.11863961231230141,1.699780638010637,0.6380624325224785
electricity_new_233,electricity_new,233,34000,native,electricity_new_233_34000_native_0_step450,1.0,0.16724828551580764,0.11882887865975922,1.8285964262794132,0.47954985284358237
electricity_new_233,electricity_new,233,34000,native_anchor,electricity_new_233_34000_native_anchor_0_step450,0.0,0.17036354725255062,0.11940146822492492,0.0,0.0
electricity_new_233,electricity_new,233,34000,native_anchor,electricity_new_233_34000_native_anchor_0_step450,0.25,0.1697713823229414,0.11920455196523126,0.34758898787860465,0.16491946256700613
electricity_new_233,electricity_new,233,34000,native_anchor,electricity_new_233_34000_native_anchor_0_step450,0.5,0.16927034901697657,0.11906376413328437,0.6416855326177666,0.28283076972252436
electricity_new_233,electricity_new,233,34000,native_anchor,electricity_new_233_34000_native_anchor_0_step450,0.75,0.16884671321742123,0.11898378424339434,0.8903512867578451,0.3498147784445669
electricity_new_233,electricity_new,233,34000,native_anchor,electricity_new_233_34000_native_anchor_0_step450,1.0,0.16850490630010384,0.11895961132032376,1.090985121184107,0.3700598587019092
electricity_new_233,electricity_new,233,34001,native,electricity_new_233_34001_native_1_step450,0.0,0.17036354725255062,0.11940146822492492,0.0,0.0
electricity_new_233,electricity_new,233,34001,native,electricity_new_233_34001_native_1_step450,0.25,0.1687414232744619,0.11865455045698765,0.9521543805870938,0.6255515774146493
electricity_new_233,electricity_new,233,34001,native,electricity_new_233_34001_native_1_step450,0.5,0.16807668538239995,0.11844582329832562,1.3423422481104959,0.8003627935287089
electricity_new_233,electricity_new,233,34001,native,electricity_new_233_34001_native_1_step450,0.75,0.16844160804374,0.11879593090162159,1.1281399335748126,0.5071439508286771
electricity_new_233,electricity_new,233,34001,native,electricity_new_233_34001_native_1_step450,1.0,0.1700163949848782,0.11974623716079126,0.20377144833560148,-0.2887476519274224
electricity_new_233,electricity_new,233,34001,native_anchor,electricity_new_233_34001_native_anchor_1_step450,0.0,0.17036354725255062,0.11940146822492492,0.0,0.0
electricity_new_233,electricity_new,233,34001,native_anchor,electricity_new_233_34001_native_anchor_1_step450,0.25,0.16939279688595285,0.11893282450932335,0.5698110788681283,0.3924940979107156
electricity_new_233,electricity_new,233,34001,native_anchor,electricity_new_233_34001_native_anchor_1_step450,0.5,0.16874430119428635,0.11866958297079958,0.9504650991235042,0.6129616871600303
electricity_new_233,electricity_new,233,34001,native_anchor,electricity_new_233_34001_native_anchor_1_step450,0.75,0.16844201110025772,0.11861792020221237,1.127903347448134,0.6562298055133834
electricity_new_233,electricity_new,233,34001,native_anchor,electricity_new_233_34001_native_anchor_1_step450,1.0,0.16850566342143045,0.11878271161303397,1.0905407060854455,0.5182152456662906
